X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	X_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Pd_[¦Ìm]	Y_Vit1:Zr41.2Ti13.8Cu12.5Ni10Be22.5_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00134851838824046	0.00262257877969973	0.00196238797929589	0.00301592066761856	0.000513474072632028	0.00390435142990023	0.00046569679078614	0.00419245023390747	7.34981085761459E-5	0.00398336104987989	0.00241057790652906	0.00265180266206904	0.00139145768576672	0.00296585116767473	0.00220450581083995	0.00109351816981153	0.00152173817206889	0.00301215172175342	0.00113797708650607	0.00255535621049519	0.00154654933329766	0.00273784631373811	0.00200519470487377	0.00241117584126073	0.00113201786729275	0.00303039254662579	0.00168254049992121	0.00252076267166166	0.000729933438943989	0.00390808399597902	0.00225240114655214	0.00189861739349599	0.00116595030125014	0.00249283027170753	0.0017459365452332	0.00293286561539756	0.00166125911274292	0.00160337905641894	-7.23442829017679E-6	0.00413217984187308	0.00188375898508242	0.00259294380574475	0.00128281607390657	0.00253579843735721	0.000119788271627844	0.00492402954737143	0.00198207213970824	0.00171567799989173	0.00109558167554173	0.00359442839206583	0.000875899480184706	0.0039866716104371	0.000820324913248273	0.00494057143622158	0.000909226010224304	0.0049606749061547	0.000845887688722536	0.0039713338925149	0.00140444728885606	0.00267281562666074	0.0019743388379345	0.00174164589138335	0.00166399067367309	0.003846347498555	0.000778518409565721	0.00463804440895071	0.00154585704975759	0.00283947142789788	0.00100869436536867	0.00390008771894083	0.000783991582075523	0.00447600156462185	0.00114451469050735	0.00311768220597711	0.00100144297864537	0.00365437864198041	0.000185640220759536	0.00578819863014097	0.000434632562609755	0.00560653252905872	0.00107635397997159	0.00487749616266014	
0.00314241668758433	0.00569635967850746	0.00311145384460305	0.00609659007897033	0.000399969086991951	0.00890703771332379	0.000910662768835001	0.00878298264189426	0.00111082459468298	0.00805307316062345	0.0037529559354983	0.0052870816251811	0.00294660146152827	0.0061612697011095	0.00341272121210381	0.00612412230127469	0.00173200856733978	0.00806217538316646	0.00289483197378054	0.00544416590463141	0.00200444844463589	0.0076000411382624	0.00304164056509365	0.00619219979545829	0.00169676883951988	0.00803025575862914	0.00226754835447132	0.00731437432297218	0.00152947324189515	0.00751597654697038	0.00456717339100066	0.00309012815580095	0.00210531372343762	0.00621263795942577	0.00198740518308785	0.00750239961070718	0.00233573587691099	0.00528644134094146	-0.00132947604116062	0.0115902579588786	0.00336340083897925	0.0059269766011035	0.00252444362067856	0.00541051460226416	0.000837999136559296	0.0100972788210854	0.00314183832043964	0.00465882090493118	0.00235234577932762	0.00744393729405403	0.000788690231799239	0.00978544948244661	0.00212171807968498	0.0104255954788948	0.00136573511315756	0.0100805332054317	0.00106060043374902	0.0100725951360517	0.0021540625373474	0.00757790221928338	0.00282200607964678	0.00610734394381331	0.00216915411548147	0.00900248372077321	0.00156310047998542	0.010030372756022	0.00201773416774145	0.00661954223169325	0.00171309354404425	0.00849225721731305	0.000471648158141661	0.0106171423299478	0.0015607763564932	0.0082605034263938	0.00129516212799379	0.00867825251297012	0.00104009006288265	0.0105399953550289	0.00253921683091821	0.00774503823370026	0.00161307873901424	0.0104698696788742	
0.00447670593331639	0.00963868432939248	0.00422968607211318	0.00828543813195327	0.0017472517014851	0.0125186701063512	0.00247634145895063	0.0112211486466428	0.00324197968383137	0.0105105713838347	0.00428800479775557	0.00944852900516709	0.00365153499562787	0.00995735852483168	0.00393450087622843	0.0111008188653348	0.00311021028593937	0.0117109660899646	0.00486037226026512	0.00876932930807975	0.00231772227545474	0.0126184616792793	0.00341639910718265	0.0102724329404122	0.00230822901720978	0.0120541002347515	0.00388909083811358	0.0104538480209687	0.00303733199945582	0.0106243309757292	0.00415505740777291	0.00878642416968231	0.00422843674107369	0.00941006465706667	0.00346568130699493	0.0108513117386802	0.00321176438201567	0.0102566004573958	-0.000380394183118075	0.0158963877491506	0.00449506551382447	0.0102155567824436	0.00394236580116903	0.00975861939001867	0.00344166663884418	0.0122556333371556	0.00423428883236224	0.00773257088092052	0.00260449263843346	0.0120968865014695	0.00116965790259826	0.0154390247132254	0.00447173501414897	0.0184206137764721	0.00258338669804718	0.0207937181713249	0.0027591605791182	0.013832213223965	0.00260747743379713	0.0118075107669616	0.0037567630810514	0.0104166242235826	0.00286267555559778	0.0132326743450329	0.00276891250802531	0.0140836048235522	0.00270312576275569	0.0102936605457434	0.00286949790893105	0.0132212438161639	0.000949862619213594	0.0169621481419824	0.00237002810987476	0.0125195723250525	0.00233030339154632	0.014136559240553	0.00379606291473559	0.0130484834867784	0.00487138765230173	0.0100285101109613	0.00327779005700092	0.0139309843438862	
0.00492598472406484	0.0143020881779082	0.00515130422271287	0.0121064944030426	0.00441982417201036	0.0145695805614361	0.00496196234394743	0.0137762974923559	0.00480254056793794	0.0141045886843148	0.00470048917725852	0.013710690185665	0.00455135639842172	0.0134671638958851	0.00513279674762899	0.0152823042316385	0.00550187074264076	0.014817115903671	0.00602728581754081	0.0129982830196038	0.0042737390944637	0.0156813559270239	0.00500808937275388	0.0140745717226033	0.00221676300182631	0.0172195496822735	0.00648404008787332	0.0133927308530274	0.00471205451927973	0.0140178447217587	0.00326985057932364	0.0160187111427502	0.00642585647348921	0.013152264103279	0.00580262018492351	0.013202690125129	0.00542001021479348	0.0126034240945944	0.00280021951962375	0.0170628983222807	0.00594194040575256	0.0138011157825991	0.00663359757163556	0.0116629447719919	0.00602029089813478	0.014735374161737	0.00552011211667219	0.0120285798146319	0.00306860631944572	0.0162042771569284	0.00396208011495784	0.0172517894489306	0.014014303197842	0.0760402799904772	0.008919587032727	0.0914985023169558	0.00424746374462218	0.0169551268432183	0.00350813645938462	0.0160360351970067	0.0061530083078322	0.0131498084677009	0.00529827748422403	0.0157552996617553	0.00570393312210762	0.0155453009830691	0.00537438139699976	0.0118705132809503	0.0055026851252982	0.0157682363137789	0.00417992369364472	0.019329555462294	0.00483165086315407	0.016313678450419	0.00569459152883412	0.0157380265391997	0.00548029146665764	0.016878620152539	0.00552241097549028	0.0163248324929118	0.00602117863226846	0.0149529798537474	
0.0064660608685941	0.0181071928221808	0.00672361850396883	0.016400851694454	0.00525609786870172	0.0191838907977767	0.00583235566097517	0.0182549184015944	0.00546844808555368	0.0193518562713222	0.00665357178809172	0.0165570883248826	0.00647055267067225	0.0163901705891837	0.00785806528964785	0.0178794280748341	0.00682975841967586	0.0191104982168084	0.00692481607439024	0.0166821802202229	0.00668225162182916	0.0185233193702863	0.00760369432453951	0.0172776445630846	0.00341187870712363	0.0213703814406046	0.00759862684887679	0.0179301924286971	0.00554308525548881	0.0187658142931233	0.00624143186041945	0.0179453555236448	0.00737650434316882	0.0177144348298328	0.00694092467969861	0.0170314370830513	0.00664315443902602	0.0161386880401307	0.0043989395229657	0.0210534989496428	0.00824305753018345	0.01511962110307	0.00862911546204033	0.0153453212975418	0.00612283160568875	0.0216047873179483	0.00756976683387065	0.0154920373378844	0.00624709646155546	0.0181427631582777	0.00618910133521638	0.0205648893152276	0.0299942226605503	0.222858038215656	0.0224782081485148	0.263288073483676	0.00479348075430356	0.0228482011214287	0.00589558017631401	0.0181085843490085	0.0079301923647945	0.0173832296169878	0.00761922705962843	0.0188381300324158	0.00743231072538743	0.0189898555693378	0.00729644321930644	0.0156965972385123	0.00745570363785401	0.0192556171845305	0.00620667804432878	0.0221492653902503	0.00731922843432819	0.0197655963054435	0.00761982323486077	0.019697587932854	0.00588623953545791	0.0228392589699456	0.00608770300247708	0.0227353583001501	0.00719124544187974	0.0194817248326093	
0.00995495971002108	0.0196093633129936	0.00922649993298174	0.0191545541380697	0.00548537743888571	0.0251360531249654	0.00618885924009246	0.0229858404050787	0.00588947375392104	0.0246031256348273	0.00915237115749053	0.0192041252349407	0.00846796520225555	0.0193160294577316	0.0102768410518385	0.0204071974933454	0.00736107236844252	0.0242412922798601	0.00783096510614339	0.020580325258573	0.00731456350920356	0.023213848896994	0.00884770486239516	0.0213335541828896	0.0067829779258317	0.0230731373403873	0.00794367941018368	0.0234844544807382	0.00630085368089619	0.0239936550742235	0.00878407869564157	0.0209489288917786	0.00802814661825066	0.0223687118994498	0.00759446182078356	0.0232006848713058	0.00721545596971179	0.0206662797797655	0.00457453923069269	0.0272024104373316	0.0102098508595376	0.0172830396853992	0.00944233716198647	0.020832186157404	0.00623574197386504	0.0270957485417526	0.00935637569523299	0.0187006217159967	0.0089245025490036	0.0218797130013207	0.00675377054750633	0.0263823518455029	0.0433489202934762	0.407982983864255	0.0360842312725799	0.474922067221696	0.00529201444829068	0.0283634494905957	0.00831074782458449	0.0203377048254731	0.00883555010559491	0.0223730738358323	0.00823183947761427	0.0227082553593246	0.00806068529122519	0.0244000754953326	0.00789893305000176	0.0207481779547808	0.00802848638764211	0.0257922280552763	0.00661468276441729	0.0280070221718791	0.00792167035866271	0.0252962406001908	0.00805479850962553	0.0264244723621308	0.00668772035362685	0.0297743667443351	0.00743538889346935	0.0268616991863151	0.00743700063304543	0.0266604607601804	
0.0118477209845055	0.0231288834512426	0.0107190327821862	0.0231816291392193	0.00613737363109751	0.0307986323528641	0.00733181243878519	0.0280760200746571	0.00680150111406077	0.031108879170797	0.0103731892398775	0.0232634400027474	0.00954869472923459	0.0236390540207813	0.0107923784674546	0.0264154865549041	0.00818932628271397	0.0294726400723638	0.00875242538301206	0.0259801187378019	0.00765729915676196	0.029199880805268	0.0096262092591941	0.0261117262528762	0.00845604217050941	0.0271332451875363	0.00898432507974958	0.0284683833463233	0.00685459857249028	0.0299149600666361	0.00822151428109131	0.0281895395599617	0.00874549697677097	0.0293258148926622	0.00862824135539583	0.028633860442483	0.00748807102604728	0.0275473017257989	0.00497624164287962	0.0346923536091949	0.0110478187425894	0.0231453803201072	0.00985622413002267	0.0269846192084108	0.00782025373452384	0.0321970968057383	0.010173125983248	0.0230076573629486	0.00957493031396064	0.0273104074710693	0.00724382487248209	0.0325630301626264	0.0537482465330274	0.599612664414806	0.0476541129124518	0.698026898631945	0.00588240872628939	0.03386250885484	0.00930451150579433	0.0257517446290339	0.00959423401600216	0.0275410116607402	0.00855940051526408	0.0281000234576862	0.00872151454547921	0.0304077679283953	0.0086411772302687	0.0266043704055968	0.00877300306484634	0.031660818737278	0.00734878131148175	0.0334650233092567	0.0083644290221666	0.0314962875155633	0.00861532965925469	0.0326952997898121	0.00791197162717929	0.0358815578930458	0.00842878187337026	0.0314352786138661	0.00818307214965596	0.0306230780558875	
0.0123269819499253	0.0281037929151421	0.011184849585527	0.0284476905238515	0.00678522383494808	0.0369938334806957	0.00827662457935027	0.034152062850301	0.00827647426388442	0.0356552174143343	0.0109395615493963	0.027966087636286	0.010252731512104	0.0295814447373583	0.011379612663176	0.0316830540626908	0.00882012417900023	0.0356606598303712	0.00923176481627594	0.0301703498047424	0.00830046443042888	0.0344959118578895	0.0106518404976026	0.0311733405142181	0.00892838034919142	0.0331239191565478	0.0103760235920716	0.033573442348516	0.00744515757162082	0.0360405448353218	0.00745420618609005	0.0365038705182286	0.00987906757125445	0.0350188294498154	0.00955090708236691	0.0333478367414887	0.00803901187780171	0.0342241639488541	0.00601470341848103	0.041051591193647	0.0116679231523014	0.0294026380874826	0.0105751021609785	0.0323074185078234	0.00950677022077934	0.0381589943637525	0.0108533638806808	0.0281965426688328	0.00998949001194645	0.0335567513025419	0.00803330685289444	0.038978467241021	0.063014653523266	0.794952035434494	0.0580039258993839	0.925494277605127	0.0067793107325716	0.0392814381016853	0.00985825161199149	0.031720903592402	0.0101211392444867	0.0335580100431493	0.00949789103026247	0.0337276926426102	0.00949293708536685	0.0355186695242746	0.00998259007798951	0.0320702514046963	0.00945530511217008	0.0366718359917741	0.0085812019880662	0.0374589708769624	0.00898109708949559	0.035737181072965	0.00938665948234351	0.0364596326980356	0.0089073443791465	0.0388473108352974	0.00916096775016325	0.0355563517069687	0.0112439481067936	0.0650138214084274	
0.0131678796497067	0.0365002807428112	0.0118258552487383	0.0348761952215005	0.00798368851874872	0.0440346681901551	0.0086327000862291	0.0408899703548397	0.00955677208264895	0.0406361995172257	0.0115441762704015	0.0345061327588626	0.0106758896144945	0.0362457413822107	0.0121382268364389	0.0375483632879643	0.00959079631517909	0.0414543881880363	0.01008110898578	0.0336829273155152	0.00908640603208604	0.0399353483902963	0.011528876922563	0.0374329847955776	0.0093554645968838	0.0391802877437373	0.0117637710920512	0.0395350997999403	0.00888917918184304	0.0431478163106007	0.00937641271555154	0.0411566196368191	0.0114411587987955	0.041499306310234	0.0103190650426725	0.039272219463826	0.00992931353386023	0.0396025006300979	0.00746970977040745	0.0474508101632899	0.0126192591442188	0.0339047967184851	0.0122829431555583	0.0387554882545677	0.00992440855178895	0.0454513225362008	0.0117564204623638	0.0334606104411733	0.0106760283982894	0.0394053767577985	0.00911985054667966	0.0488244526879423	0.0714340644752382	0.992856094079874	0.0674453449298596	1.15559660084739	0.00850535236999914	0.0501694934245719	0.0105011585527824	0.0373265266268022	0.0116431117933306	0.045595077261935	0.0108551575668443	0.0375445215825265	0.0114843574780164	0.0506174450097702	0.0109731589924317	0.0375996442347934	0.0112166701669309	0.0535761257215567	0.0105828985765605	0.0589351520122096	0.0114655839633569	0.0587273870524049	0.011825118179646	0.0627105152716522	0.0118041207874567	0.0680481284200637	0.0120415821858308	0.0672153223511005	0.0360616522348365	0.537003394088547	
