X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	X_Ce68Al10Cu20Co2_Pd_[¦Ìm]	Y_Ce68Al10Cu20Co2_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00243498776067723	0.00184309456357935	0.414865838571299	0.219985613977289	0.0706263951876504	0.104204979432324	0.00262010668890829	0.00374927167667741	0.00283113879946328	0.00118214296732164	0.00210431442395778	0.00256321242535595	0.00286639639266964	0.0010354087370859	0.0488677671413047	0.266681478090346	0.112609926804794	0.412241070508682	0.0629965831757663	0.440190525306652	0.538653353394333	1.32218782796377	0.062009688767908	0.819694211888681	0.0957971357116149	1.38184654482252	
0.00464395188872604	0.00382817579527668	0.566907986035392	0.58279551882523	0.108572738753261	0.234300215892204	0.00541504603663488	0.00767552373795611	0.00430111697144877	0.00565605087523945	0.00434958974025702	0.00523429273620813	0.00590086455302165	0.00164460644929211	0.0884571708630087	0.553084809431038	0.171786384669255	0.803748063867771	0.109591047140422	0.920814883931019	0.65554030722598	2.61763063399199	0.112293375628984	1.74284718103222	0.191332803948541	2.74992814264602	
0.00698033007044684	0.00496530605295616	0.607624738338298	0.823425162704956	0.13279441099127	0.366084147464445	0.00780769984053727	0.0144906218731574	0.00824267395043987	0.00531299858497183	0.00657127509342201	0.0073363813652257	0.00917827181681515	0.00121362967240148	0.123719963258882	0.845485799659718	0.20893669791631	1.17026269698199	0.150360423134023	1.41850991887599	0.722831128809949	3.7268449644846	0.157148248601125	2.70277993954553	0.287027703375052	4.10821863029231	
0.00930416190405584	0.00651039559670708	0.629772179286894	0.992875047948558	0.151652537004295	0.49360641989724	0.00985372460720575	0.0224212697767794	0.0120466979977537	0.0046885231814909	0.00873668168341538	0.00833938526237393	0.0119644409311245	0.00189274569598024	0.155164391491842	1.1432144786311	0.238828150464032	1.51587462536096	0.187970332889504	1.92297939390694	0.777509578179347	4.79467609475508	0.198753802923423	3.68693825971908	0.38079029757468	5.47189387201417	
0.0114576070342033	0.00889368633173592	0.645420349042828	1.13071299433581	0.167960181314142	0.616893011996016	0.0121061484489199	0.0286404088040247	0.0136519313707037	0.00721005710462303	0.011148527942196	0.00967634928853143	0.0149460530762423	0.0035551673266445	0.182499518310907	1.44526030319205	0.2639843642079	1.85193787845892	0.22341084957831	2.42993084348135	0.820191668769044	5.82736376934168	0.237870772911902	4.69135470757346	0.471909322073433	6.84135002185698	
0.0133719745153072	0.0123561324969281	0.658037532190341	1.25131611880649	0.183571565319876	0.738326948923362	0.0147263890591034	0.0333242044322803	0.0161112073702615	0.00946059618029706	0.0136085048073932	0.0117394422540377	0.0181508082186892	0.00432337744697719	0.208689236268656	1.74403520661099	0.286508502757844	2.18342886180163	0.2574609200897	2.94085438364784	0.855742562980188	6.84034559050796	0.275670998493601	5.70282685491799	0.562660934429184	8.2105689973207	
0.0150395735313656	0.0164988442869475	0.668342645352064	1.36416877717934	0.198500020635704	0.85874255742331	0.0172765708818681	0.0382849520980077	0.0198035378412556	0.00936713469019265	0.0160898068020261	0.0142824962987205	0.0213964478605604	0.00551921012789969	0.236041426779985	2.03915315569908	0.307343533139244	2.51213740266952	0.291512676961428	3.45537795105551	0.887861363121399	7.8408430331545	0.312543053216159	6.72370908510949	0.652155008708054	9.58595193095175	
0.0169521096713927	0.0223585437491669	0.676796622155322	1.47107284572002	0.212244558289906	0.978987471965737	0.0194619124402095	0.0445745805992711	0.0224207599605754	0.0101297877981615	0.0186083538434418	0.0172679111512485	0.0244637797734887	0.00718271223821833	0.264303106678111	2.33659801412933	0.327044786351535	2.83721867511221	0.325383647089408	3.96787449497581	0.918691933368732	8.83609945826132	0.347914176960188	7.75633342976402	0.738066467293152	10.9715903554567	
0.023034258183801	0.0460691204298985	0.684573790060634	1.57487782212555	0.224410644971747	1.1017352576009	0.0213889811960215	0.0529010114744756	0.0242574434510265	0.0128141685589006	0.0210073923508317	0.0193531304733389	0.0274652804413867	0.00777500426371096	0.292747670588582	2.63328710432617	0.346004100716939	3.15566415811063	0.358367627367503	4.48496990955112	0.949106519702487	9.82570927486646	0.38224301705505	8.79353243068778	0.820214909182888	12.3706947724284	
0.0353177485240946	0.102090127864763	0.691759113422967	1.67631770496517	0.235577481545249	1.2261848023297	0.0234896272693092	0.0603154156579765	0.0278076257490985	0.0131169611586118	0.0232113061292753	0.0218194989979552	0.0307407326670046	0.00870451508073111	0.320724375437716	2.93149029212677	0.364014068794158	3.48154275905464	0.390892498815345	5.00361597613952	0.979448667719641	10.812106494403	0.415694257496693	9.83919901605775	0.899135232886956	13.7821089449455	
0.0480053831177769	0.175288717260375	0.698698020659233	1.77718820049279	0.246231159160563	1.35040006123446	0.0260870346438722	0.065957891415942	0.0313502543114832	0.0139237975170941	0.0265567529589917	0.0276613641794146	0.0338990842436864	0.00966608376547669	0.347681024420501	3.23026903725116	0.381008219372581	3.81108797680076	0.423415561639111	5.52102152111745	1.0102590917949	11.7996408587492	0.448470036594293	10.8955758105271	0.973164335120563	15.2113025302287	
0.0597586156683663	0.251997126578956	0.70529626025408	1.87867744342652	0.256151370251957	1.47420577105647	0.0284744445341414	0.0729161803901892	0.0334454402385953	0.0168225079700836	0.0435305673769415	0.0830834839335222	0.0367100008878816	0.0107072077669971	0.372994961309903	3.53069436060925	0.397419719401224	4.13727763946991	0.456648482330551	6.03277021304585	1.04142442499957	12.7851132750131	0.481256864483852	11.9506040499724	1.03691685650506	16.678877779634	
0.0713519924669961	0.331099849707827	0.711689089460111	1.97881254340109	0.265604451234018	1.59678353212219	0.0305329011067938	0.0815842902187269	0.0363622521451525	0.0184723385566946	0.0823885570330354	0.234865853357738	0.0394619906127723	0.0121197039034638	0.396561431274252	3.82984819588274	0.413172343555591	4.46293691395802	0.489885662679001	6.54512333329647	1.07253073986181	13.7695975580723	0.513712500700561	13.006988295022	1.09037230409041	18.1805804118425	
0.0827886780371872	0.412783966060279	0.718131580330794	2.07800561063617	0.274990367970497	1.72025140469631	0.0326466972831551	0.0893743957317488	0.0409303718944998	0.0189200936910466	0.123823558810066	0.437081658832401	0.042689050751222	0.0126641565099154	0.419384097179597	4.12737594201819	0.42801454411639	4.78879013636308	0.521881281859225	7.06758037167918	1.10222651262959	14.753239925564	0.545564134720561	14.0688971453218	1.13684564970406	19.6995842226978	
0.0942298534844175	0.495044047190113	0.724739594045495	2.17725059910232	0.284216101926916	1.84483639864562	0.0347665738550732	0.0977514381657137	0.0437179782607327	0.0211428477049011	0.161793026554914	0.651984507340568	0.0456083851660791	0.0141000084692143	0.441972643466977	4.41960353163324	0.442554242111107	5.11559912851494	0.551905563503465	7.5992100056636	1.12963819420443	15.7403822031249	0.577204177483941	15.1321433747752	1.17839232371692	21.2361658149916	
0.105754826645021	0.576062122414198	0.731400797484315	2.27665274824548	0.293335739059485	1.96855456414979	0.0368885083064617	0.106013316748031	0.0454349219807207	0.0229656605375943	0.197346036283677	0.875288176111053	0.0480909280234121	0.015603119377504	0.464562717082628	4.71929520566803	0.457780472931163	5.43921740967772	0.579717711559023	8.13894866492005	1.15478541879873	16.7347711012947	0.609066089754526	16.1913141368357	1.21657534653271	22.7852401677079	
0.117476078282625	0.656530251684093	0.738021910233597	2.37678412292992	0.302308941595876	2.09233221788058	0.0387754771206278	0.115161494237151	0.0493717418483606	0.0222452498185376	0.22921231334401	1.10409817292709	0.051247144076696	0.0174562911419004	0.486816786870031	5.02298970393839	0.473183906206898	5.76432580688911	0.606329418761027	8.68345010759686	1.17822202131789	17.7277853674096	0.640806784419611	17.2530329973393	1.25262341982708	24.3379690300334	
0.129211746525964	0.738351476175314	0.744653476141662	2.4769758007482	0.311109498338184	2.21680161142081	0.0407593833902769	0.123546976781547	0.0536323062926889	0.0218802186803509	0.256341892526494	1.3379502335073	0.0545569620253687	0.0180628222157676	0.5085420303011	5.32168858815579	0.487909579291054	6.09130057445138	0.631641208139599	9.23499793653852	1.20059286861796	18.7190738928758	0.671619848282055	18.3233088492521	1.28710953122404	25.8942927973262	
0.140159371749929	0.8221050202941	0.751138675544871	2.57654605360809	0.319767420935264	2.34197950857602	0.0428797588804311	0.13148231040165	0.0554621700469683	0.0245498583516639	0.279194403595213	1.57349497278646	0.0574513015910813	0.0193361220137289	0.530073576412781	5.62013694661252	0.502120569549189	6.41736357725641	0.655810742318816	9.79266548582731	1.2230675888629	19.7084569324448	0.70202351499237	19.3993775273038	1.32026211290592	27.4527213535376	
0.150178708509096	0.905076020656734	0.75750331705075	2.67661479685236	0.328241225290574	2.46661304771224	0.0450841435029115	0.140608921953426	0.0584253057620613	0.0268039026197521	0.300580238498142	1.80565179353074	0.06052867645085	0.0206145731894362	0.551979461272177	5.9177685352101	0.516370828173952	6.74182563663171	0.679078186908571	10.3535889386823	1.24579511995083	20.6981268193531	0.731976139757223	20.4747719278435	1.3522155456402	29.0154991859659	
0.159610176803298	0.986848408922768	0.764258667300978	2.77587585063216	0.336580998991686	2.59004844041311	0.0473471987294427	0.149653577122528	0.0635052919604789	0.0267686142269994	0.321826500085329	2.03746740098295	0.0636220839552953	0.020728150882399	0.574390582965973	6.21527486092735	0.530246763510954	7.06694986632611	0.701300591015009	10.9170968115591	1.26910291797318	21.6877035740084	0.761559052392833	21.5547391220073	1.38321832972481	30.5805438574331	
0.169160491605194	1.06932004578614	0.771008596415618	2.8747785780684	0.34488292367924	2.71453366643636	0.0499707474789069	0.157635767907441	0.0663215905483159	0.0285599840103563	0.343251303160517	2.26647774855834	0.0665339149857293	0.0221645339865785	0.596810737161629	6.51340563840122	0.543637835771769	7.39309808514267	0.722772770603168	11.486339768578	1.29323319238836	22.6743485253381	0.790695398361532	22.6393014615361	1.41365997308587	32.1454134402647	
0.178979439879336	1.15301381064001	0.777701086687625	2.97508806818678	0.35306541774522	2.83961330906462	0.0524068064300716	0.164683114598655	0.0685443479337111	0.0313104341010729	0.364909862480717	2.49077956225076	0.0694847539224229	0.0246045771883024	0.618589594540072	6.81256692425496	0.557038451859644	7.71930497727864	0.743789006310967	12.0584530616355	1.31813375349733	23.6615466822508	0.819157706943489	23.7294293845064	1.443679348085	33.7129112152769	
0.188876543728415	1.23504353496272	0.78439996749725	3.07515681143105	0.360986382979798	2.96518399149703	0.0548111343260948	0.172991602963235	0.0726004396313314	0.0315835226052351	0.386775973242122	2.72230983576273	0.072308954371233	0.0269581238100172	0.639691764296227	7.11196383470888	0.570215284939131	8.04598498126004	0.764147375971734	12.6335801144013	1.34350450213414	24.6489571807004	0.847166187429535	24.8240071665269	1.4730707472415	35.2846539583827	
0.198596489152997	1.31741656805319	0.791077563819956	3.17433916845704	0.368830260505548	3.09083500049768	0.057276802709718	0.181804140543555	0.0754535958394778	0.0331440444543527	0.40861272021758	2.95643966328762	0.0751075207940279	0.0287196767204874	0.660166790887796	7.41182640642799	0.582764135068824	8.37243355159265	0.784039769481319	13.2073083207265	1.36878523221568	25.6361534749681	0.874714285898974	25.9203619119353	1.50171447152952	36.8570989186763	
0.208272856643787	1.39901148116953	0.797673687211259	3.27425307933064	0.376360672433516	3.21565899509135	0.0592548009352359	0.192426645254009	0.0768902320700365	0.0367980629364483	0.429805247262758	3.18899881536502	0.077707212726158	0.0319802077955188	0.679991659290818	7.71038372962077	0.59518061227522	8.69929656045127	0.80365117005024	13.7829010347575	1.39402122215433	26.6250987929478	0.902087536750222	27.018963007287	1.5298050244795	38.4315294586047	
0.217813858298494	1.48139138276366	0.804141602443234	3.373861050753	0.383820604831629	3.34041989258359	0.0612184355036159	0.203440305427224	0.0794268437326893	0.0387624695355669	0.450566390736893	3.4198413071883	0.0797380772107394	0.0346258404458241	0.699269024594542	8.00881392728816	0.607799843144724	9.02679612825941	0.823074600706608	14.3600863103155	1.41859575332941	27.616605247886	0.929013897317427	28.1208479458808	1.55740161749704	40.0070030797672	
0.226761815610626	1.56430923953441	0.810676939888415	3.47227297121573	0.391339646623513	3.4675321466344	0.0634728230375249	0.212759889917677	0.0815647368570079	0.0420517188139375	0.47165123534952	3.65147356051734	0.0826618882407422	0.0413177493485108	0.718378995375266	8.30771909944604	0.619772412755691	9.35440093551348	0.841751593462599	14.9415202792571	1.44235116449346	28.6047645296501	0.955552743850299	29.2234257884373	1.58452509631717	41.5842462137374	
0.235068082627578	1.64764491087534	0.817119742618282	3.57289492004305	0.398555068407743	3.59313216572652	0.0655159512498234	0.222371240294601	0.0834061895292255	0.0493402271088198	0.493113302701564	3.88073396819213	0.0977352814832316	0.108428465261961	0.73747084685616	8.60591832912589	0.63131815658353	9.68018593854319	0.860106978512804	15.5239675271117	1.46531988825673	29.5926686290408	0.982089563336296	30.3280842055266	1.61138790219716	43.1579689485427	
0.243473657991181	1.7292463432494	0.823282624333583	3.67148332612529	0.405901720356274	3.71837665244266	0.0672852068143439	0.233130009132782	0.0983734887273021	0.0973664272488674	0.515141464732234	4.11065212240401	0.132313768160504	0.288525899060936	0.756663222740696	8.90386517040001	0.643096636433237	10.0069171652638	0.878386936597333	16.1058038273864	1.48767908144009	30.5822640101468	1.00857402567145	31.4379021494342	1.63787471796064	44.7353797205683	
0.252291960325634	1.8104102868648	0.82949035441145	3.76724051171516	0.41351080103829	3.84322602557528	0.0690862353275124	0.244482437876422	0.133663987214787	0.226393349454914	0.538034088603586	4.34069903195571	0.169292335051504	0.526229851419132	0.776080234690176	9.2019032812821	0.654706896270536	10.3332833135524	0.896338841350728	16.6894450307249	1.50928687032029	31.5734761671654	1.03484561427805	32.5482397713138	1.66413086904514	46.3184156806774	
0.261142390221447	1.8931692367288	0.835865103060672	3.86628223903906	0.420972588095466	3.96763022653838	0.0712187917326215	0.255664143558711	0.167709905699887	0.404807475987886	0.561463348716143	4.57040228349371	0.201135453696179	0.779713958109113	0.795417610253091	9.50049739171484	0.666064784459103	10.6595181453643	0.914292743107109	17.2735798350046	1.53044262040227	32.5648876272056	1.06105919061506	33.6566234785246	1.69000688896877	47.9010753864843	
0.270032868070732	1.97562632167764	0.842006242939815	3.96855775101907	0.428265683148866	4.08956805261041	0.0732839816903764	0.267484241731748	0.194075577131289	0.594780537483694	0.584734753150183	4.80068900859698	0.231027853821066	1.04081680696653	0.81421742117425	9.79962421863495	0.677600841501865	10.9866740551587	0.932130033777362	17.8596722792431	1.55101992589199	33.5563586918877	1.08736550374693	34.7653238353957	1.71508955868185	49.4864433782095	
0.278868464684177	2.05892520577862	0.848114282747279	4.06986841285761	0.435890908162237	4.2121356855436	0.0750915389101418	0.279487970514329	0.21575535627264	0.791056818968944	0.607433572646615	5.03155594763668	0.260238629059629	1.30377944870945	0.832682924060056	10.0994383615825	0.68869797691849	11.3147342791302	0.949777983642783	18.4451500506116	1.5709624685258	34.5471852813787	1.11334508187551	35.8762882373382	1.73979392628175	51.0713345327991	
0.28761775217688	2.14129532848619	0.854391027023694	4.17124706124086	0.443639190853323	4.34103933848161	0.0769464245506508	0.2911447379986	0.234589485485002	0.990290573357074	0.62928104950008	5.26297888622702	0.287937493107981	1.57005201072534	0.850786024319332	10.3989423741274	0.6995273788348	11.6416676028398	0.967295501484442	19.0298231593138	1.59049119740225	35.5379485409377	1.13882498307816	36.9908959730196	1.76414528625683	52.6574624837091	
0.29622996985079	2.22330037276184	0.860547418922389	4.27106900401458	0.451277364460661	4.46827150030821	0.0790198175154456	0.302789289150616	0.251913222054812	1.18901745545804	0.650535511312706	5.49464676264285	0.313393955052763	1.83675367959711	0.868761144733014	10.6958573100379	0.710432613662834	11.9696998871354	0.984878501454678	19.6145111691765	1.60948592958029	36.529944871527	1.16396437926578	38.1090436656389	1.7879971466298	54.2454605302601	
0.304789121820733	2.30618179153859	0.866536374342001	4.37178548207874	0.458854042270719	4.59427897300736	0.0809042484581241	0.31457881375121	0.268083703402606	1.38790371012703	0.671767444280859	5.72422940791316	0.337139639088852	2.10363905183799	0.886613848050105	10.9936728348352	0.721067738994573	12.2976278633075	1.00244491096967	20.1991209479466	1.62758756664368	37.5216543547768	1.18869244747748	39.2295550548403	1.81116837117812	55.83679643676	
0.313460681556078	2.3882115158613	0.872469508294516	4.47137738818745	0.466462524036646	4.72057003341702	0.0827238290443486	0.331404399451218	0.282618948095213	1.58871547412757	0.693279444993453	5.95437829728194	0.360755731445181	2.37041126839144	0.904098069014495	11.2928583350747	0.7315301358628	12.6248005369074	1.01999490370363	20.7864632270209	1.64503980101903	38.5135985313044	1.21235631530148	40.3600772299208	1.8341241177522	57.4274096369763	
0.322123579834297	2.47045381455157	0.878374974696359	4.57024891631892	0.474106345579905	4.84589251839508	0.0859112373853196	0.394227519256549	0.29580615925739	1.78887729141722	0.715167044387687	6.1847534980256	0.38471709643726	2.63598952946093	0.921289937816079	11.5915399898253	0.741651891574095	12.952327113069	1.03746403187519	21.373000843429	1.6621557753011	39.5030132358394	1.23581526565077	41.4934110677205	1.8567277743918	59.0191776771303	
0.330468198016479	2.55226560940217	0.884210305418461	4.67016631965201	0.482039071064132	4.96982127920642	0.091733183121312	0.51658168106045	0.308083261848773	1.98835656570742	0.737318413916777	6.41496199203632	0.409290615323756	2.90092820478269	0.937988348930027	11.8907897513194	0.751461715375076	13.2796059574374	1.05490305066432	21.9582252950692	1.67908077096899	40.4922752034794	1.2592951706067	42.6263826210559	1.87900038762512	60.6108190574201	
0.338737092894871	2.63415610100658	0.890194816787927	4.76984856404618	0.490093482993281	5.09560849412714	0.099320058621805	0.656572823310072	0.31996410781595	2.18727890912446	0.759180038462404	6.64587968815393	0.435759172853068	3.16480261128286	0.954642590877506	12.1906262460077	0.761407459926143	13.6073718834892	1.07217026262968	22.5448467305049	1.6955631297147	41.4877621309125	1.28256401826236	43.7598994637328	1.90092162148815	62.2056045825725	
0.346864628672669	2.71764707037946	0.896225206929433	4.87003791355814	0.498262319202029	5.22084250346481	0.107911735739009	0.803011751544104	0.33144833073878	2.38703478620618	0.780389658635456	6.87576408192408	0.463854778293584	3.42905816152858	0.971371136481757	12.4886643568898	0.770817313724802	13.9371215265308	1.08930156995682	23.1308199654596	1.71154993938897	42.4819936355747	1.3060048250043	44.8927704342349	1.92251909051023	63.8002373708299	
0.354794676843187	2.80013686803218	0.901859024038617	4.97056067653597	0.506401371842825	5.34377894012004	0.117135365651435	0.950910920746199	0.342499609828387	2.5870342041296	0.801225824037257	7.1067204279267	0.489720795214738	3.69748370840408	0.987795014398662	12.7865720826176	0.780355229901705	14.264087446529	1.1061609780418	23.7163964570163	1.72732562596502	43.4774284089461	1.32918627646457	46.0271343147533	1.94402284134465	65.3952724904205	
0.362615154767005	2.88238801428649	0.907729472566046	5.0694554877307	0.514510460928845	5.4684914088407	0.126836261297542	1.10099994935934	0.353044600431233	2.78630672481806	0.821619810355047	7.33932335216303	0.510868616482797	3.9678280125228	1.00368620817082	13.08622976338	0.790091730786793	14.5924522129679	1.12272455772095	24.3089466916804	1.74281426201934	44.4693651348933	1.35165968162364	47.1660924093139	1.96527123501866	66.9881990958022	
0.370204429774348	2.96427804022964	0.913820363523448	5.16945065649507	0.522881929411536	5.59330213208831	0.137065603282539	1.25306355635986	0.363246450047278	2.98592034238327	0.841534232490332	7.56998353760098	0.528980351988327	4.2355492467347	1.01879931106286	13.3860690520359	0.799214875934786	14.9198325714921	1.13899272739968	24.9020128790264	1.75805084212583	45.4625610089017	1.37408908968391	48.3084640337791	1.98599825874936	68.5834204798989	
0.377816373510817	3.04685445087768	0.919473787248797	5.26944861922704	0.531081739430134	5.7180262423406	0.147834500544362	1.40515172699211	0.373649453384096	3.18398004830654	0.861057488968592	7.80147306575224	0.545527176516954	4.49997639315664	1.03344503519116	13.6848931991336	0.808189053754853	15.2453148946994	1.15512331234883	25.4953156222952	1.77282517466016	46.4579995075632	1.39680900953791	49.4470058271687	2.00669200497395	70.1839988311902	
0.38544800744092	3.13034402326676	0.925139596813542	5.36836997311388	0.539215532246229	5.84353871711486	0.158900674310925	1.55624879582907	0.384176511338708	3.38295384729337	0.880068526888723	8.03469299116495	0.561390125644441	4.76830484965835	1.04786979094253	13.9833289847362	0.817714944682998	15.574298990621	1.17119015723156	26.0893727368135	1.7874489527765	47.4492209778072	1.41956119768193	50.5811878669629	2.02813205169101	71.7794288315336	
