X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	X_Zr55Al10Ni5Cu30_Pd_[¦Ìm]	Y_Zr55Al10Ni5Cu30_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.000621276702731579	0.00362927477041444	0.00170131917977242	0.00345411519411963	0.000905937513571293	0.00373959010603689	0.000971707907859589	0.00314557095018763	0.000733579699346255	0.00382526814085322	0.00089693120297476	0.0028532257156195	0.000689213298035602	0.0041106129950343	0.00166879834667087	0.00351808950315107	0.00195200961666743	0.00220765603304005	0.0015023561112375	0.00356513538810247	0.00175961682078307	0.00255431574860578	0.000376992327292858	0.00447974868261518	0.000926428967220505	0.00346136204755915	0.00160223894894819	0.00290719603815396	0.00219464087484978	0.00197219733036397	0.000828663893840794	0.00340528897337407	0.00124919864929357	0.00447074069579802	0.00108651805095365	0.00328120388862081	0.00101903568522651	0.00280504341709221	0.00113269946590688	0.00303561668394464	0.00113747340251741	0.00304472254446629	0.00183773361559379	0.00127807646390805	0.00169199171481708	0.00350555757625058	0.000653347698616325	0.00351619911850322	0.00165565572651044	0.00306755904584843	0.000493603116196242	0.0047988175987362	0.00123682242758999	0.00317743600504544	0.000757481738490491	0.00354723653322173	0.000593027146206743	0.00418148172832507	0.00167436150426942	0.00245619582686016	0.00105335239615672	0.00297218488847704	0.00255298546629499	0.00193541691162389	0.00139328814279482	0.00285117497569466	0.0140538510913689	0.17168847901643	0.0151281652209504	0.190143267964193	0.00197384762602872	0.00210629140383484	0.0019754785686761	0.0017130222754887	0.000760997631101992	0.00476809850714819	0.00173772645141043	0.00317928046021303	0.00132592345878582	0.00347193401347042	0.00199594076469635	0.00400110710965799	
0.00112931665346479	0.00730516296107014	0.00472115923212159	0.00482524023755709	0.00208606195708926	0.00773641349585299	0.00298667355553712	0.00561799943771402	0.00190168453543239	0.00751011758237984	0.00196715170618842	0.0054008603164634	0.0021800336483856	0.00707278252833112	0.00242852783924214	0.00732515281522521	0.00305685079004208	0.00643031322777763	0.00205972119611798	0.00739055905254231	0.0027537673344671	0.00637376767111742	0.0018877755052294	0.00790247721606741	0.00160578207600979	0.00840318676742024	0.00357519193323108	0.00486495786929703	0.00348505404638626	0.00584406922807769	0.00175462662897373	0.00698149836843934	0.00188614615264117	0.00827984575232639	0.00175520393300949	0.0080296682250797	0.00198549894130688	0.00610118666497476	0.00142540023075346	0.0068746518454447	0.00195845615437882	0.00595438149415566	0.00263547396108178	0.00469064958000264	0.00224881246873049	0.00822681733585586	0.00101041014094853	0.00720596255967012	0.003688270405956	0.00640113709387789	0.00144792865867927	0.00896404847650186	0.000838338405370358	0.00897832754264147	-0.00254986300305443	0.0123146850063475	0.00226962843943644	0.00697715553144465	0.00258600992744587	0.00593010890070763	0.00190832646557123	0.00702918226389373	0.00296418190711732	0.00770828100707398	0.00248545875915402	0.00645014379246976	0.0426769698745224	0.613231342844853	0.045913287887541	0.682632355483482	0.00358118182533243	0.00635692928700857	0.00360902633548152	0.0053077126020162	0.0026219938358455	0.00761516967241312	0.00314652620938858	0.00780213994634418	0.00346663292149576	0.00588264055548732	0.00344153229083712	0.00905164008807983	
0.00225485595096373	0.011456624089705	0.00639267743330291	0.00615588913070937	0.00385047133820606	0.0101135978837442	0.00480301983709206	0.0093118974415988	0.00411297221108123	0.0112708270638835	0.00227292409635628	0.0104003742825179	0.00435096298530521	0.00969173606232178	0.00272939523262026	0.0113524260151561	0.00346657867249548	0.010972603765337	0.00322554577809587	0.0111405819718077	0.00371404257921039	0.0101591317338257	0.00393412147232807	0.0103473843952253	0.00325431041421162	0.0122587892836209	0.004936834500308	0.00812248033599789	0.00513285713483183	0.010130958999908	0.00363826840965505	0.0107464861128169	0.00311480139618704	0.0112745988412613	0.0033870582821568	0.0126423777508212	0.00398723925796484	0.00895019323487314	0.0022633229832252	0.0109145616352161	0.00317354209473651	0.00821796090424433	0.00322076896712095	0.00888648313404001	0.00291439879947534	0.0121384801933164	0.00187386344658842	0.0105988578493318	0.00495693386269378	0.00949142804922273	0.00339420266992204	0.0116843397243402	0.00303004109591205	0.0130475266983976	-0.000485833377177525	0.0152744716636389	0.00404145272369162	0.0102386215669851	0.0034207454401287	0.0100101019390717	0.00353963531871397	0.0102756416375677	0.00412888924060794	0.0112621050101078	0.00436349863758298	0.00939073511024458	0.0693047135316174	1.16107728114357	0.074113561092308	1.29173713916345	0.00430648748564712	0.0110680643247009	0.00417993211775925	0.0101503678432957	0.00436071066405001	0.0122593659032344	0.00381631384459763	0.0129017565325	0.00424483115254478	0.0114487333140472	0.00396763211155855	0.014027769127473	
0.00455398615142552	0.014454474917447	0.00710088840869539	0.00900987973133673	0.0052700024206487	0.0142888404787114	0.00531092031262655	0.0143825375279324	0.00497901325452529	0.0160711853465713	0.00346445303120996	0.014039122349296	0.00563272058017828	0.0137173776998895	0.00428676763697783	0.0149989261596566	0.00532258283424931	0.0137178961118449	0.00556522349509752	0.0133884107533992	0.00480867368308353	0.0141643297504579	0.00462715974411002	0.0148617848243322	0.00501269078840294	0.0158088870870385	0.00577214008517913	0.0133229616987789	0.00697016897545999	0.0133530482368318	0.00525682392751589	0.0141970397258536	0.00534888869416896	0.0144127610479602	0.00537874585489663	0.0159744060199524	0.00515706659580132	0.0135999191932186	0.00432690244342075	0.0138285315895871	0.00476601590764078	0.0110058367001613	0.00482961879023786	0.0116233035378033	0.00501913698812024	0.0150115192500729	0.00364572962526226	0.0134413797223145	0.00596048581863248	0.0125196646387604	0.00469784421095214	0.0151492488010678	0.00484524364822293	0.0168100333413466	0.00422186080222585	0.016052296961502	0.00528981183476079	0.0140097975130196	0.00521999559684694	0.0141349912717617	0.00539006117118746	0.0142343444682643	0.00549053362012573	0.0145015030672525	0.00597671630419381	0.0139238556679089	0.0912275191802301	1.73287962889125	0.096962588338914	1.92591795659688	0.00503366903117581	0.0152102413318611	0.00506259358629417	0.0147292587196527	0.00511458620328579	0.0177625434592928	0.0049890418764574	0.0181031201050997	0.00499508932866292	0.0167457538968572	0.00486574624436189	0.0186941170101986	
0.00617430687627004	0.0184428527398636	0.00883778020553925	0.0114407588648808	0.00624038151308776	0.0193538817159268	0.00593100109985289	0.018602283515533	0.00532643155434882	0.0207054298868385	0.00577876726940223	0.0175369587706426	0.0063814160734099	0.0187250698419138	0.00694131033023616	0.0177224051862732	0.00787298974167622	0.0164277972927036	0.00677941099329192	0.0178152013810349	0.00703087415558688	0.0156626985535979	0.00499196725234573	0.0206816757053459	0.0055631487790533	0.0204931501955486	0.00685597657867087	0.0184086357318187	0.00796065327733803	0.0174548300387314	0.00608685457461857	0.0175772166422098	0.0065254813622941	0.0196212868909962	0.00637084530631905	0.0198408497124833	0.00598040944967442	0.0179196622995401	0.00573892517705478	0.0180539491858786	0.00601229698701962	0.0150936986863114	0.00681061852000055	0.0149681338537486	0.00662241011258108	0.0189456438971162	0.00554624030062299	0.0167739409553157	0.00709964261493453	0.0169203433336879	0.00548089569273488	0.0199313062322358	0.00529712431805416	0.0227394874059	0.00549129724242235	0.0205077002910965	0.00638815737739718	0.0172503961031137	0.00652860430536782	0.0179504341418183	0.00633179189640209	0.0192922261635274	0.00624172762791369	0.0195351540058219	0.00653418971789568	0.0189397278048924	0.110079363628936	2.32112144911457	0.116938368799043	2.5798188301192	0.00610816028632117	0.0205250916479578	0.00618601313139786	0.0196146129161629	0.00582871275996826	0.0228516135453877	0.00632400561510092	0.0243954625384243	0.00621101376128848	0.0219930942434372	0.00580898285269927	0.0246093247504201	
0.00655331731301176	0.0232051377571542	0.0108013456748873	0.0140504628381938	0.00687266832605663	0.0242951552820248	0.00731191028668873	0.0224612329720772	0.00677486957517921	0.0245758571659739	0.00705071120723426	0.0219284901093547	0.00728514098272435	0.0241270715741737	0.00793589600312069	0.0217377386113806	0.00891638414007031	0.0212092790137527	0.007357596207833	0.0248968469348138	0.00861109882924289	0.0181601817999787	0.00600851015355762	0.0256771915328812	0.00642374797935195	0.0251422576975262	0.00793666918271115	0.0231008896603991	0.00869745741189694	0.0208680607194641	0.00644760157426268	0.0230749317733487	0.00726322152178822	0.0250429518977745	0.00704274107203625	0.0243227920962149	0.00690496054970936	0.0219698020852311	0.00627729815004945	0.0230803405380832	0.00659029691020786	0.0194807844151324	0.00773857111203845	0.0191094050042288	0.0069742646874635	0.0246918729867426	0.0063158643112774	0.0216802408138129	0.008312706032847	0.021219252986926	0.00642069331678632	0.0261303054097615	0.00633209711699454	0.0276087035291885	0.00518143301664984	0.0268679637855234	0.00691210828223238	0.0209783164831864	0.00719825203846422	0.0221753351451437	0.00674827215398313	0.024522868188176	0.00720894957319703	0.0243393521749582	0.00727540052318717	0.0237609862748343	0.126615163236177	2.91862399133404	0.134548231977297	3.24148274259351	0.00745123423517003	0.0252961187279066	0.00695324115374395	0.0234696915634402	0.00698079441585237	0.0276066917270038	0.00740521225645129	0.0307685535455158	0.00717648882044667	0.028349996245606	0.0066003972889005	0.0276163614742137	
0.00716846727615334	0.0289846525322951	0.0112296600279922	0.0191744611571566	0.00755377580792877	0.0298831432149952	0.00854648359171711	0.0276662636271404	0.00826780247472364	0.0291499022547901	0.00766956656130424	0.0270338838055818	0.00848292135252609	0.028916099372405	0.00830748974710858	0.0279073747538544	0.00948373677847002	0.0252035849223539	0.00850903895023367	0.0314935863164273	0.00915196866005843	0.023229099303429	0.00683886226956521	0.030390152835848	0.00747462532063822	0.0301276235646719	0.00881584420188699	0.0284382226844557	0.00944369370430003	0.0254566568133228	0.00756642043094677	0.0284924349325693	0.00820130195799414	0.030223935514065	0.00774998694694234	0.0300065771015729	0.00746992257964117	0.0271328250010041	0.00724903919407307	0.0281682864887802	0.00732519931416767	0.0237214269520084	0.00836198047271133	0.0241494678801411	0.00777491340401724	0.0308530499193969	0.00675118809313625	0.0271957911352065	0.00962000179867905	0.0245217022160238	0.00753885383827573	0.0313099502499146	0.00768454852485901	0.0318283476533874	0.0057965543707284	0.0306598325540298	0.00740333680125092	0.026785738192431	0.00780791620640093	0.0282431197092877	0.00759922716156947	0.0301169588303055	0.00832420277917747	0.0290335742499798	0.0080884000390342	0.0291959553694782	0.141574814505015	3.51606669608094	0.150583281457694	3.90565656928719	0.00850248823932457	0.0287885927687462	0.00939641183688383	0.0458017144483631	0.00797936076388561	0.0304687986579642	0.00796644072658665	0.0346136495794206	0.00838674274058432	0.0334590424723819	0.0100238483840699	0.0605921203129011	
0.00830177440384497	0.0350385982257142	0.011830361896873	0.0239157659516632	0.0090378095670023	0.034772859347888	0.00960093349368409	0.0333058108123053	0.00850475361272705	0.0356934361988769	0.00824176133913821	0.0326290039956647	0.00972387605074819	0.0339718273843166	0.00907567716976802	0.0335371339575038	0.0101541096840699	0.0312717078185109	0.00964923382720273	0.0368821420796549	0.00971273918760266	0.0293798843501144	0.00752337235538875	0.0360581526519118	0.00839469958724101	0.0357450991334626	0.0100191549601447	0.0347667848330633	0.0104915462886624	0.03113101399705	0.00910976847948879	0.0336845507634807	0.00878225642311085	0.0368979164580419	0.00869598323687965	0.0356098099840104	0.00848205806696935	0.0330014811666212	0.00862329723449551	0.0326003339955425	0.00862649111960434	0.0279463243173551	0.00913964287531849	0.0305263714888413	0.00905505043812462	0.0351681418700345	0.00772478798790261	0.0318851237669435	0.0111425151740102	0.028876768275895	0.00838053795379696	0.036389754404428	0.00822372494692934	0.0379151952255751	0.0071731535334661	0.0344180245543185	0.00861244719914539	0.0319613230484282	0.00833974617044615	0.0350349711610158	0.0089754728058968	0.0351365980941649	0.0091450126149933	0.0336723935483796	0.00884286267729396	0.0333756162894968	0.155689973584694	4.11377296510393	0.16586915029855	4.56967416662641	0.0105730039179326	0.0487423744329847	0.0286560301340861	0.328434353694178	0.0108035013831964	0.0561580064342745	0.0107297473791768	0.0638285461415017	0.0099282223450341	0.0391457051188397	0.0388544614513909	0.53039864387798	
0.00964904871064658	0.04100704414527	0.0132965173336517	0.027963501033477	0.0103018138419863	0.0389802325701533	0.0108389225712378	0.0384591676188469	0.00910343557062922	0.0424439565753408	0.00917295896098443	0.0384260283619725	0.0107581544297425	0.0412377692977304	0.0105283412408677	0.0383480569301456	0.0111659275822128	0.0380425190208075	0.0103043122511273	0.0435547187638789	0.0105928767181122	0.0341870511098163	0.00893549744646559	0.0415337325020504	0.00975074308190695	0.0426973999948777	0.0120296183419988	0.0458820828533627	0.0119802689338574	0.0368803408254835	0.0100390937347738	0.0400153466309699	0.00962762310124026	0.0438056193393791	0.00993117482513825	0.0414532185779054	0.00997255103887561	0.0392374349311141	0.00962635362181911	0.0383105198118496	0.00955613074064328	0.0334071994578539	0.0105434558283566	0.0372688082767797	0.0102388156338696	0.0414109677761677	0.00882481753637949	0.0364755579495072	0.0125680857849536	0.0363213549491352	0.00958424998402495	0.0455268069548838	0.00961770548841539	0.0474848034356488	0.00899191153558744	0.0390058212023723	0.0101201425052262	0.0367041921737475	0.00954463742676476	0.0482959198759944	0.0106741094157501	0.0472265178665496	0.0106154400029554	0.0472965616881851	0.0109178941044355	0.0468254379412322	0.168728061712984	4.71377145170482	0.18112145821148	5.23506173940781	0.0272551761779056	0.287554476911059	0.0685606231099485	1.06454414381483	0.0330537283960959	0.389185300878295	0.0335005970864817	0.445234546303319	0.0109310815349911	0.0422803912369535	0.0945439163619058	1.75636956216782	
