X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	X_Hf48Cu29.25Ni9.75Al13_Pd_[¦Ìm]	Y_Hf48Cu29.25Ni9.75Al13_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00193149734601204	0.00269405414592776	0.00142056922826639	0.00288873147759558	0.000874370389679252	0.00336141938483091	0.00149513848591263	0.00298181234418537	0.000325849940599269	0.00431284458933624	0.00187514042404688	0.00237655729132409	0.00161693057514976	0.00378382337875665	0.00212580225797793	0.00141612774863838	0.00256893848802922	0.00156677280590598	0.000953238127332684	0.00367069861413387	0.000209468879780876	0.00397023158498871	0.00184539356316257	0.0019856505753536	0.0034517577598144	2.01580396126397E-5	0.00108308515907757	0.0035040712346048	0.0017106714533335	0.00315458677073808	0.00177743177421872	0.00175624873762141	0.00105009266163533	0.00373721541548335	0.0018730631160416	0.00268600648244137	0.000168885394521297	0.00507994080608584	-0.00445518745118986	0.00937137952913788	0.00156647599955851	0.00128628192471771	0.00108850721011734	0.00385324305968264	0.00223461487021278	0.00240991346267463	0.00013302850199003	0.00439845805003181	0.00151444724851905	0.00316181088681113	7.53775886598295E-5	0.00337845433347284	0.00176569718996463	0.00314151642299971	-0.00085621406759381	0.00606924703155495	0.00156814259603306	0.00281021116574223	0.00170207116554731	0.00275546777274799	0.00128123496374793	0.0024307427093453	0.00164601304274328	0.00172371611368421	0.00146534688762064	0.00303827968430495	0.0016642712755273	0.00331406574962442	0.00176526285767666	0.00293736579496818	0.0141182232918113	0.239646076338179	0.00182469802335869	0.00203100343599806	0.00152857034030583	0.00290257216730976	0.0195727716966215	0.384352311746247	-3.23635115788372E-5	0.00531196903701832	0.001102079596652	0.00455358327798755	
0.00364583000274607	0.0056163950891363	0.00328575354789333	0.00478191555000125	0.00279385224463207	0.00570233585422212	0.00437418698437744	0.00255168503530586	-0.000283708542700495	0.00855689682168724	0.0045188905064963	0.00388677999309657	0.00329969255722201	0.00636350129541143	0.00249145884045823	0.00556648656974703	0.00418486368849847	0.00403565926648455	0.00265143139116808	0.00655165857355876	0.00396498781447131	0.00409095244899991	0.00464545370731925	0.00245241051009117	0.0049108885056992	0.00382896250815635	0.00184671734079873	0.00693776798942236	0.00281014692911186	0.00646453773915344	0.00324756992978081	0.0046303209803101	0.00321413884877401	0.00697556391579214	0.00404127936532119	0.00515099530366062	0.00310147764328326	0.00581418584839408	-0.00621204702400962	0.0156243717665646	0.00297814398405684	0.00451171741986406	0.00308663118806651	0.00648584856324582	0.00380524898915292	0.00531599991734513	0.000884654210536607	0.00738883828864828	0.00232410514658247	0.00790690645505467	0.0013267401633808	0.00667357167138052	0.00306570832390679	0.00425697160397605	0.00117858355521233	0.00803702239888893	0.00269183569968201	0.00723371669867118	0.0026771185185891	0.00661263825774002	0.00247034248518604	0.00527252061569732	0.00332461806958497	0.00494568461519208	0.00314602249266125	0.00601809705195674	0.00325742900489335	0.00608398721148647	0.00313074900685286	0.00641259217910264	0.0438309802318802	0.857905382142007	0.00282609243625987	0.0061710394927319	0.00337362028709089	0.00605064968477643	0.0604434662713369	1.37748584535273	0.00358130023663309	0.00517281635425646	0.00280747215873186	0.00820113707205002	
0.00468466440706295	0.00824934574592241	0.00473786726828765	0.00827513537646094	0.00452021224191357	0.00885931959813287	0.00608765560399638	0.00501945011739211	0.00118869718342899	0.0114926309832379	0.00659888445879722	0.00636487565552737	0.00497628561934296	0.0092414861841213	0.00479294222004248	0.00776991382210692	0.00589310269897463	0.00650357029404181	0.0042151584537015	0.0103162062362084	0.0066907589225279	0.00620988946656756	0.0063512129816648	0.00698031511588854	0.00608645267201197	0.00795382273701722	0.00357979552852716	0.00885121338592783	0.00354943802987262	0.010019210755451	0.00443136065668201	0.00834409871844199	0.00521530288794255	0.00876613516283883	0.00527652313338573	0.00819886924711887	0.00523834491525056	0.00799327491000369	0.00109821445031143	0.0113727316202771	0.0042465393544062	0.00800913547366773	0.00482192806662091	0.00894975326683205	0.0056551030164776	0.00817174402367422	0.00372995582051226	0.00791455530513327	0.00356224356353208	0.0115668693942387	0.0041115916288638	0.00916049204679663	0.00412809418344262	0.00784399307154245	0.004247357810872	0.00891951779902875	0.0040859323867407	0.011094396014056	0.00376807672682767	0.00869326781503585	0.00356339684483871	0.00912900352272747	0.00449739310581413	0.00967700452258952	0.00446218011127271	0.00937775213083685	0.00501491927326212	0.00944019621510524	0.00419977448186388	0.00954182496724364	0.0723985994068241	1.61797568535152	0.0040166910073256	0.0100184783848772	0.00489898123195203	0.0092148616374862	0.0969835372920756	2.60091198303596	0.00509279963055389	0.0082545953490917	0.00381845682075593	0.0142093624689826	
0.00556336329339441	0.0115267970595819	0.00618404977281122	0.0119633581336762	0.00556753417186121	0.0130190107439332	0.00650939018951886	0.0100027582244511	0.00291637649504671	0.0150988919008118	0.00793095706142494	0.00973626378393725	0.00593936043794342	0.0123159528419016	0.00659877395901767	0.00974360999966822	0.00757492638727251	0.0093712388985263	0.00482363298371778	0.0146379495486578	0.00727867101476528	0.0115197020917504	0.0073650900900528	0.011348918094258	0.00711896591549483	0.0124074891023441	0.0052290809256197	0.0119574373234489	0.00472727400324824	0.0141633679598565	0.00601488749878808	0.0119259487993797	0.00626845402783722	0.0114771459271811	0.00669321254110013	0.0112322813160111	0.00551075545307146	0.0123720086356882	0.00428246496371411	0.0125509237428019	0.00574752242622715	0.0116622444611048	0.00547333854378984	0.0136482727041153	0.0067292886322913	0.0119955142268248	0.00474877681969349	0.0128664590448007	0.0044759546362966	0.014877917440586	0.00507224165145352	0.0137455511159281	0.00541224297194995	0.0129688026597407	0.00483967419296997	0.0133874303181572	0.00522765142877028	0.014883721835497	0.00483404979998027	0.0127879412482685	0.00472309105870856	0.0127918149991822	0.00538849565091336	0.0139733899018244	0.00561023551741255	0.0134680661145864	0.00627097786545239	0.0135236107723749	0.00528217816231207	0.0130394722137013	0.095781010518103	2.41166585879288	0.00519836646454889	0.0144213220181526	0.00602290791094225	0.0113026139022007	0.125666001980316	3.86780748340936	0.00536496744359918	0.0127868400633998	0.00465198849878066	0.0189590182434442	
0.00702904852013715	0.0157291589662786	0.0078994214028249	0.015864650023545	0.00725751482558626	0.0161715484232055	0.0074289012386123	0.0144311986753974	0.00412838594241865	0.0185688232070441	0.00949964587662456	0.013905493482343	0.00702743625923854	0.0159356106157963	0.00675431437887854	0.0141228285996925	0.00873033418092179	0.0126972541574092	0.0054047596269615	0.0195901493288366	0.0080318080008749	0.0153134639733886	0.00910264680719696	0.0139518044956103	0.00804389427413072	0.0172325163476208	0.00637320362108825	0.0167213330557798	0.00597011390986973	0.0185569060985328	0.00827967009405746	0.0150656007583294	0.00707007947058415	0.0146922713908778	0.00881080596317757	0.0128822446888422	0.00731898678650204	0.0153608645612569	0.00410042624829107	0.0184961429877671	0.00716592854048263	0.0157184851369655	0.00605096624117121	0.0194838796528292	0.00763355407577346	0.0165396478553097	0.0051074927545003	0.0182111917173995	0.00500610821242938	0.0202437540272423	0.00571072126806902	0.0181496807746508	0.00659164206451917	0.017397925231681	0.0055083951997115	0.0177846478174748	0.00608029955242611	0.0194628091627003	0.00565518024807244	0.0187681112218835	0.00589497852610506	0.0173038762080272	0.00667162444410444	0.0179294689256962	0.0073807314035257	0.0163710930292255	0.00721104369458401	0.0170405593144768	0.00640764011965491	0.01796433485818	0.116234134564473	3.22841336619544	0.00588720088118614	0.0200470121426996	0.00730128849559086	0.0149923064027842	0.150835253121546	5.16943782170645	0.00716250238753038	0.0158739632488488	0.00551854445156074	0.0231577567234211	
0.00834690360038174	0.0203040917218815	0.00971034051811445	0.0192605284556868	0.00881655131435116	0.019093361859512	0.00850621331795882	0.0188226481595903	0.00454811537419623	0.0231400379484827	0.0112186578045295	0.0177835946226601	0.00833103191880702	0.0198593342819241	0.00818703925888589	0.0182368276433407	0.00977907226372353	0.0163378373570347	0.00651315462168806	0.0246543811158059	0.00972863803771857	0.0181842732903028	0.0109980430469567	0.01613277632485	0.00917601563355205	0.0215017242927333	0.00748552664531658	0.0211587947842446	0.00672961131281205	0.024684865557772	0.00975880982938755	0.0188733456655958	0.00839099306505903	0.0182406397902021	0.010485478072802	0.0167798604013011	0.00878719988647263	0.0192955985697214	0.00455533136527266	0.0237397034745461	0.00824462234000867	0.0199351533946415	0.00727463470469759	0.0245979608420349	0.00878721285331804	0.0214396667436948	0.00703487725668467	0.0211064224438252	0.00584936283394663	0.0255346555299895	0.0075339167328699	0.0215638491443765	0.00772693935179834	0.0217401692358557	0.00717056101718993	0.0216896631784757	0.00710093733094304	0.0244368136225711	0.00681882048765898	0.0238979271234299	0.00679009664510959	0.0223717841724064	0.00771829463264849	0.0217853638444296	0.00898220715144742	0.0200890890035838	0.00838034554056779	0.0223977302360262	0.0071102927563582	0.0241057666617966	0.13437370412013	4.0522554558038	0.00694869966906208	0.0256835398055981	0.00853428203742214	0.020078811713942	0.17337040693177	6.48899099643944	0.00860927891287535	0.0204431880159745	0.00666134677818194	0.0252091837714721	
0.00952924116665718	0.0249070551028617	0.011244817551403	0.0222133265560217	0.00933693926513197	0.0243447712851945	0.00956100710742372	0.023297057199065	0.00509874724349854	0.0283592512632517	0.0127431992108991	0.0200482445079619	0.00997769327156411	0.0241948971383369	0.0102012777155245	0.0211599562089236	0.0108657811503121	0.0199844216297911	0.00750858269021268	0.0293407051392123	0.0106954168959516	0.0228718684461815	0.0123409845177622	0.019954847137231	0.0105392124848772	0.0251325615749712	0.00891730278046612	0.0256652953427471	0.0077932613050476	0.0292729805289563	0.0107386958353612	0.0243661954550587	0.00993692909688086	0.0225640272416206	0.0109897084079683	0.0221721159887997	0.00911513759189884	0.0254681623755011	0.00629323188305491	0.0274520569440426	0.00952348591764099	0.0233423895960796	0.00838639973873557	0.0300678508935894	0.0100409565823071	0.0259343456906251	0.00814734528974706	0.0263675325395361	0.00700941510569411	0.0301643616919104	0.00842577592953144	0.027388665848461	0.00914128744656721	0.0254493431120259	0.00770698531556127	0.02801290660232	0.00840342042091992	0.028117549419757	0.00833609482079252	0.0283474696694445	0.00756856938130597	0.0274665622469786	0.00873171928679366	0.0261310357339724	0.00951146149233996	0.0253523309547744	0.00959473066159297	0.0271220292994068	0.00778874569112708	0.0289543845500577	0.150906195841021	4.88065194541635	0.00812569740639431	0.029115110446121	0.0100759333282802	0.0240486103794732	0.19389411711182	7.81632630223628	0.00874841544341578	0.0274259896902596	0.00947608713452641	0.0584990238575728	
0.010981258836406	0.0293607813243057	0.0121017675911933	0.026974250969303	0.0104156382804286	0.0285092818431906	0.0107963522363981	0.0276050587293443	0.00677067532192592	0.0324123378116365	0.0141924347246177	0.0227649532563401	0.0112041468512556	0.0287426578315203	0.0101726731517409	0.027535972150837	0.0122419809149969	0.0254628572931576	0.00827077179084306	0.0358365288124998	0.0111938858412366	0.0290346037979333	0.0138155241776493	0.0242886112405827	0.0115605507032829	0.0299233774397012	0.0105313883064773	0.0306147689126868	0.00918011608068065	0.0327931977948611	0.0123382796924504	0.0288132056268834	0.0113518033770577	0.0278325572221297	0.0123076383623652	0.0259983072667314	0.00967248439775195	0.0317501129228568	0.00771866457258618	0.0317283844133425	0.0111215910283494	0.0266607063237382	0.00948367255492196	0.034940766841149	0.0111359108676634	0.031255202309447	0.00824600773143905	0.0333660793853504	0.00803154803165786	0.0361030489462377	0.00854704735091546	0.0333973550876695	0.0102233890216141	0.0296943075675194	0.00814455934593374	0.0337633393762584	0.0100602095103371	0.0380413730575377	0.00965016084422924	0.0389806554851696	0.00878686337832872	0.0317556262794771	0.0102343176370346	0.0295475178581095	0.00998483842966346	0.0300503656314047	0.0104324526820356	0.0308955226378314	0.00971359437253903	0.0458391383345741	0.165885575868704	5.71281703164809	0.0101660125839341	0.053214386954034	0.0113578998515514	0.0259849681633214	0.212410738881133	9.1488188065451	0.0102922422346907	0.03237815172641	0.0314772265696675	0.538179487097399	
0.0119687349249775	0.0339861182738868	0.0126910918704985	0.0340783501272128	0.0121039970031436	0.0319649722820589	0.0119727003805963	0.032985087070653	0.00843618618034371	0.0369729951390785	0.0153234626029224	0.0266002885935691	0.0116356938952392	0.0333720620412145	0.0103917299956305	0.0333972432198265	0.0135357110550406	0.032544832084003	0.00968256397356946	0.0423674553416295	0.0119303483936824	0.0358636554001864	0.0148709210408869	0.029553492783269	0.0122644830528758	0.0369101008549541	0.0118662343968809	0.0426310669114493	0.0101996549629467	0.0396612176052555	0.0136533059427234	0.034391596913277	0.0125538695463505	0.0420595350110333	0.0136877434973094	0.0310765652803252	0.0103618190763131	0.0369206573594562	0.00764102680826746	0.0373092655550508	0.0123574871082955	0.0322804083354531	0.0109943547503844	0.041647056673377	0.0121061182424099	0.0357636837473159	0.0093330848162259	0.03787815514611	0.00945403845488441	0.0447909348266314	0.00925825329018359	0.0381340214594173	0.0110054416428283	0.0399174968291378	0.00910534928027153	0.0437704909146577	0.0154968208373852	0.11882855669164	0.0155567827956636	0.130844161655472	0.010629267351443	0.0431735459144918	0.0114731356073162	0.0423281042362369	0.0113588974289759	0.045567770594306	0.012391255767159	0.0470230166177043	0.0218122397584391	0.240459637500167	0.179615615210242	6.54647921884741	0.0256100139051792	0.345535159753828	0.013176594786375	0.0516670673293803	0.228812861831937	10.480547626379	0.0117366504623826	0.0378929853660127	0.0775457773017291	1.78048481303991	
