X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	X_Ti40Zr10Cu38Pd12_Pd_[¦Ìm]	Y_Ti40Zr10Cu38Pd12_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0077347629432454	0.0685597737351912	0.000887887565898572	0.0012032577953151	0.00341341278667518	0.0992527882923445	0.000779425332040999	0.00125316176723107	0.00460378342528615	0.0917371318874939	0.000248286233261545	0.00119507780035588	0.00187730385624467	0.00120586622599589	0.00433328412361211	0.359284325201529	0.303212895095593	0.381050904343281	-0.000221850157885766	0.00274510590010285	0.02379751138648	0.385258153874273	0.000943044856935703	0.00214838008814968	0.0363023587016914	0.446876489752251	-0.000443353318300862	0.003157105616195	0.00898335775030827	0.315537544812621	0.000536156640088832	0.00104174791485617	0.0324696223367403	0.466323202678484	-7.28027505866289E-5	0.00156861089461096	0.000509837494076413	0.00161661220370119	0.000788212251277845	0.0020597029946967	4.06472786932003E-5	0.00166296141574412	0.00282653183222919	0.0245144462676376	0.00159110589135356	0.00055093412013595	0.000600332439639229	0.00161438712501899	0.000645662068372825	0.0019285834235067	0.000771578820458942	0.00127435935923846	0.00325623151775151	0.0317012776071647	0.000972692318008314	0.00125954823872358	0.00495071412504748	0.0455408295435297	0.00125756331807203	0.00495231301226377	0.000923876240778971	0.00170378544773622	0.00435875103951834	0.0534561078969166	0.00513279849562738	0.0584658200265776	0.00572875662948516	0.0663066080389433	0.00022191783588195	0.002262455729438	0.00926562199201625	0.0951868633173592	0.00959452403010789	0.120137808813454	0.00995095420355131	0.118781577654546	0.000128097052085988	0.00255388010066432	0.00977168724890151	0.131115240176439	0.000488799435383759	0.00167654881119589	0.000441635584887984	0.00151467604236819	0.000515124979043457	0.00103770805326961	0.000659897581981222	0.00168199486521144	0.000933440681900997	0.00155631816480567	0.000392574981276136	0.0021304403060093	0.016981182590104	0.25913627038505	0.000217210432857267	0.00158801405365698	0.000550570301061517	0.00242429075423737	0.0225053366881678	0.327378845125138	-0.00215792269045605	0.00601252366868899	0.000773599372173999	0.00153247303384717	0.0256793445430751	0.395740698270709	0.0248216242205365	0.419146230442954	-0.0005682398739573	0.00374118081219474	0.000253713052280498	0.00263343814592311	0.00221593798242789	0.0322909530165246	0.00109398785046794	0.00134278518987629	
0.0111220216192526	0.10193557925642	0.00129028702083647	0.00285964220043574	0.00624890107823662	0.156984424212756	0.00119782063513505	0.00324950618078018	0.00756372042961896	0.141894438083641	0.00111815287864673	0.000708600021420418	0.00329361215730374	0.00236600306055867	0.0101146543530814	0.571344137062737	0.340334974279095	0.670655769659491	0.00226797625154484	0.00189853553897672	0.0284990494910728	0.554462344592829	0.00147187077944152	0.00487459578419394	0.0407874951579431	0.633689661213967	0.000982815386054199	0.00348389023025203	0.0142052845451086	0.483164540825978	0.00143021715227066	0.00304330373279891	0.0375861116461969	0.669690981363654	0.000912350911794266	0.00213336887880991	0.000708825888307832	0.00352607168302205	0.00231400529421175	0.00203980279681977	0.000599785469066977	0.00367348757950439	0.00857547844143608	0.0810520139267643	0.00241264693471866	0.00469888823736734	0.00212056134158458	0.00152934619121099	0.000976449756221584	0.00461242758239731	0.00184174257484155	0.00325261392402853	0.0104682002096691	0.109977699372871	0.00121845647625148	0.0038011401570559	0.0129316795416306	0.157733776870838	0.00535025153056774	0.0519434718510676	0.00146481623674964	0.00379731482252194	0.0157346849660289	0.18559115170109	0.0167554510759582	0.206334866765581	0.0196548157994196	0.236937373871281	0.000387700764186545	0.00426100748652347	0.0284902824684218	0.339725595275168	0.0304163607254742	0.426169111727854	0.0311059093501158	0.42920019549042	9.91855693143801E-5	0.00517787587304211	0.032150369720006	0.471070431921196	0.00160382246990447	0.00298814379125104	0.000636263561601896	0.00382731223009836	0.00114016035708437	0.00232314966176621	0.00170003676786511	0.00377268206918911	0.00195059813123401	0.00381695808815783	0.000761018125111425	0.00342629011453521	0.0527640461005571	0.935123574130654	0.000569425705887002	0.0025903935827221	0.000730783723359378	0.00450018684658266	0.0649517499488636	1.19185514791439	0.000172269985042879	0.00534008697388281	0.000729316285304616	0.00439527845670543	0.0733422216160307	1.43813595504506	0.0736917985976233	1.52122779450601	0.00208573952057816	0.00186583193004371	0.00118542186399749	0.00445543243342354	0.0284714618472255	0.491552009706709	0.00173526346280915	0.002798062136093	
0.0130117717526146	0.121924089064702	0.00152857786728117	0.00510103903580178	0.00798447790104358	0.190754935863892	0.00146717538652074	0.00521692138822936	0.00982349019163923	0.172425053274559	0.00244058600798938	0.00270404039727891	0.00330317241856719	0.0045340709795825	0.0137558577979789	0.684616996519764	0.344743164890674	0.79019226426044	0.00317566410286583	0.00291403725697575	0.0322611429778644	0.659367794983315	0.00180982886860355	0.00747713475858665	0.0448211855184705	0.751110485702162	0.00193331551291561	0.0049760158073082	0.0176657311591885	0.585016301054664	0.00189507775963091	0.00536577292203026	0.0419169822447076	0.798452054643021	0.0027489637541538	0.00325049389197939	0.00108490554180578	0.00576387465024473	0.0028646036840967	0.0041832053343899	0.00201085005560974	0.00497482408508839	0.0140562529697729	0.151080301393433	0.00492856888667337	0.0305245911530471	0.00198618312411668	0.00380683222937659	0.00130068507233016	0.00688162312200267	0.00207944183181555	0.00572556355199428	0.0182803470841294	0.206190367163721	0.00158945068156159	0.00687121622937193	0.0220848865966507	0.292497573104453	0.014590505719106	0.166613482450682	0.00168164933098591	0.00574810992458034	0.0282880821765307	0.349471480830472	0.0289667171385311	0.387742744124374	0.0338918074460775	0.448505651163251	0.00108448310664106	0.00544075279855144	0.0464453349105553	0.642915753291497	0.0503170831112999	0.805195466409234	0.0510480160208881	0.815025000916771	-6.14484145195575E-6	0.00801560016170087	0.0530376730183738	0.894369327663713	0.00448281180037444	0.0008759597715233	0.000830252293436452	0.00684805526577035	0.00172095799169025	0.00488109406668604	0.004935898838265	0.0026998121566112	0.0023786581805272	0.00693652112908887	0.00158262988205711	0.00459337185031086	0.0851962974740918	1.77288264914112	0.00148652959080228	0.00494250320287639	0.000734771512752441	0.00782329115412398	0.101427648647457	2.26119665049852	0.00343826040692933	0.00311695461025025	0.0019023279729241	0.0056232162990756	0.113540720994652	2.7230938738186	0.11509575786968	2.88083552145622	0.00333553043061096	0.00155083391201447	0.00238599114983613	0.0063664044023616	0.0798605002414759	1.69804111585245	0.0019384365301206	0.00606178917535464	
0.0142439948753002	0.132441048739018	0.00158174607602709	0.00774709005365	0.00907736598685392	0.212190313430777	0.00161142407620311	0.00768973550149099	0.0113748899014621	0.192597499282591	0.00284057925462263	0.0068220084756171	0.00345216401426453	0.00732629688845143	0.0161358466072055	0.749869934987867	0.34810811332758	0.864771517479469	0.00250121662314484	0.00689620868784222	0.034528707607134	0.721089100208558	0.00243188519167625	0.00899454815250348	0.048001019101681	0.821469079800953	0.00265315528266042	0.00750263767093406	0.0201476375025736	0.649727966509642	0.00243165358855698	0.0067631059635492	0.0447540294072591	0.876974767562269	0.00291100218234923	0.00517739020289443	0.00108366157223625	0.007971754788453	0.00337512884567499	0.00574435280214577	0.00277471916551192	0.00717610748800777	0.0195586938149143	0.222724149687978	0.012241212611676	0.0899893055251582	0.00226830968843706	0.00538537668149191	0.00135376657394407	0.00925787709685812	0.0023120142123002	0.00830820096426807	0.0258332356778005	0.306336541145247	0.00220143394169124	0.0124854464938472	0.0313643940418022	0.434139448159387	0.0250198017417108	0.306382642519996	0.00259588433127346	0.00723048799263324	0.0381985673366817	0.523924896368541	0.0391578349309929	0.577577154978472	0.0454165517660066	0.670510066796198	0.00232674021521058	0.00656732461905271	0.0603877105237205	0.960747145496444	0.0667029780103101	1.20212687508695	0.0673248115586177	1.21837758740316	0.000619083516999019	0.010781842717669	0.06989652967906	1.33539344484271	0.00550972127365971	0.00111330422610881	0.00134416302443599	0.00979642821984392	0.00208690506950937	0.0072633679866866	0.00665720051818233	0.00187028754437606	0.00264766948542902	0.0100646643426289	0.00257197340864099	0.00646048616782316	0.110597421771688	2.64639356627844	0.00292335558343127	0.00669890109762181	0.000634280989239798	0.011147483217277	0.129937562738973	3.37208095870341	0.00254305753756023	0.00685462841104153	0.00289137056862942	0.00708903428838519	0.145443559368264	4.0596720900682	0.147661769573089	4.29434074588457	0.00342948295430192	0.00448948391344056	0.00292778605445713	0.00900579428133042	0.123113979170074	3.18776694032027	0.00213884299166683	0.00970673271974701	
0.0155382960494127	0.140633893038772	0.00165388355269685	0.0105574812993346	0.00992731714656458	0.22554914559889	0.00293260103656258	0.00974131352565532	0.0123192688758829	0.207552676475433	0.00335737251508187	0.00936679635817966	0.00419803437802408	0.00988983764137913	0.0174814991561246	0.790245851685723	0.350399049528948	0.911055831621543	0.00320364437619064	0.00960213537704302	0.0359177814763115	0.763809272130697	0.00393955617386064	0.00943318298810614	0.050375450819709	0.869533355025387	0.00310137366007483	0.0102646227971403	0.0217146127093555	0.696044382175185	0.00332008413880075	0.00822086219220518	0.0466292435683931	0.933183632937851	0.0023341981548304	0.00815810978924753	0.000906837579558367	0.0106550871292245	0.00409934960116187	0.00652524741710793	0.00308285306068212	0.0101610707764378	0.0256428254106166	0.2970897298699	0.0206725819712361	0.163761822430117	0.00360480824816438	0.00769819232388691	0.00164196552918231	0.0115034048569634	0.00302926909679753	0.0139463075098938	0.0326019316612247	0.410838205011155	0.00580887370903344	0.0473012592280966	0.0389987060655702	0.581797550345259	0.0346924385477181	0.455979845525606	0.00413243842745973	0.00873941966673787	0.0467278829573068	0.701670362428528	0.047597387245639	0.773019553553083	0.0556018584154985	0.899129142493511	0.00292676188922816	0.00901563114818389	0.0727270820045641	1.28673377985398	0.0811841186613481	1.60973973828091	0.0817363493075407	1.63307723297673	0.00252898336312334	0.0111721669023107	0.0854197044691562	1.78867522171297	0.0064373782706451	0.00252618416932142	0.00311602168984499	0.0104403461180149	0.0024287096869893	0.00891728038532524	0.00730691738816083	0.00190437995165272	0.00276243654102653	0.0129049088409866	0.00319945868002017	0.00825809872251653	0.131758052810626	3.54352072731051	0.00343558102333916	0.00717342265977566	0.00056399506315591	0.0136958217669866	0.154621594814882	4.51231240399374	0.00246469183442055	0.00948308252623565	0.0029104743426332	0.00818205041714518	0.173470805900588	5.43611603289198	0.175961429273119	5.75130730034628	0.00383621562526993	0.00715157477908739	0.00349597522953464	0.0114559437877004	0.156968223027119	4.73950417698155	0.00320101352069341	0.0120364542193858	
0.0168802243150573	0.145493068341029	0.00135871074349161	0.0143858635498988	0.0107739698876744	0.235512375821237	0.0041404735339523	0.011379746325205	0.0130709925528215	0.220932055946873	0.00417454929663442	0.0116826335123607	0.00488741953890917	0.0134186905590671	0.0184100650822606	0.817812358300732	0.352214854000104	0.942905199515479	0.00503672511983449	0.00966045945050807	0.0371224308615871	0.795405087465738	0.00447063305344579	0.0112503271679661	0.0518780516100897	0.904757748457934	0.00461531714574073	0.0105059837351252	0.022820433076421	0.733676098829619	0.00456227863547031	0.00883668466350444	0.0479746453223282	0.976067499346619	0.00346600551984826	0.00988292002500601	0.00178125875654934	0.0123717651184933	0.00496691209989602	0.00861660514602264	0.00364338900617329	0.0118364663484066	0.0307565993721252	0.374133764545366	0.0260167815542964	0.245529321252867	0.00436238437677871	0.01030152767454	0.00263731099885582	0.013605112407719	0.00599843352501412	0.0445889524338659	0.0382154061707494	0.516971866092409	0.0135216640336389	0.132087778276262	0.0454323276762621	0.732166557794093	0.041975842581396	0.611163237483753	0.00479480056801081	0.0119238014824908	0.0552859529238406	0.882910674491425	0.0552526226854126	0.972923219878847	0.064771756397889	1.1307371232291	0.00339946519781942	0.0113550062515025	0.0837900403520725	1.61664104923378	0.0937232950545666	2.02269385260191	0.0947497913068103	2.0532113783457	0.00402572885610472	0.0117263292737372	0.0990803464038959	2.248792091049	0.0083950334821574	0.00284757411581112	0.00426517686189434	0.0126279481633156	0.00388667178902637	0.00963323458055489	0.00769929586387504	0.00372613913478391	0.00337570864899327	0.0147256080080932	0.00383829345068254	0.0102475564425109	0.151005589733061	4.45059976807159	0.00471035884205809	0.0275640109616662	0.00110604444985244	0.0160641276680208	0.176298271115702	5.66843849807944	0.00400739705356555	0.010871677143075	0.00517066594830882	0.0333573609695533	0.197883239770951	6.83100947504259	0.201386174150107	7.22421064594785	0.00480272733741113	0.00882628913955693	0.00404463092200688	0.0148364262942618	0.186492952180525	6.33764153192079	0.00512085595619297	0.0119084337512449	
0.0178183543012648	0.150178551991371	0.00199908103161554	0.0169363039417644	0.0115553268229306	0.243597477745757	0.00440843597227324	0.0136278716020552	0.0136155948849579	0.231876958323899	0.00455261311501043	0.0145424185034578	0.00546457718755234	0.0205441796671046	0.0190846181655619	0.838922122227933	0.353234638652193	0.967779150831758	0.00576963018465956	0.0122739942153229	0.0382039769983755	0.821120590551617	0.00477686590940499	0.0139189201246139	0.0526134879452523	0.935491391960475	0.00546318096003281	0.0117690878008681	0.0237157777483427	0.766037053831024	0.0055778557924622	0.0109840906828748	0.0489387010633014	1.01253373861385	0.00438795422948368	0.011535254450412	0.00374444261896318	0.0131131966465331	0.00550983183982737	0.0113763257157941	0.004286375276734	0.0143750551153763	0.0345252038369504	0.450309224545937	0.0309278112444973	0.326390352215267	0.00455659979532523	0.0133291403507419	0.00473380015812241	0.0137033169124679	0.0127117462013638	0.11743647325329	0.043370738878636	0.622943971818471	0.022041155852804	0.237541006385671	0.0513024884671579	0.880550334854105	0.0485320693823658	0.764435060844465	0.00494201768258253	0.0154078129029061	0.062940207034856	1.06534278835492	0.0626989910249417	1.17193380610563	0.0734865164271899	1.3628405093432	0.00405203073235578	0.0135978992055819	0.0939783363548318	1.94724331805188	0.104931211476429	2.43779268629507	0.106406631391114	2.47538803043911	0.00485411457379525	0.0235977211265277	0.111407563583621	2.70996414881195	0.00963632610623444	0.00338717547775391	0.00455626597515971	0.0155304734916504	0.00533270682635266	0.0113855242879275	0.00870490585944721	0.00550074192936268	0.00507771314394335	0.0147371767801503	0.00447263436144405	0.0139746146216473	0.168902330330439	5.36419317710204	0.0232307099799893	0.309813167241661	0.00304999859258132	0.0181088681113419	0.19631212654657	6.8294838377706	0.00456056672177773	0.0134502691231075	0.0282532453445178	0.409075228741545	0.220028792198193	8.23238305935959	0.225128246463438	8.70500881263944	0.00595709860619918	0.0100120009639188	0.00414128426152957	0.0146411541530873	0.213826571626272	7.95306469868515	0.00562032180477103	0.0103758734059105	
0.0181307957032351	0.154426314052435	0.00450361343658213	0.0168226675863962	0.0120165128153806	0.251970649370455	0.00473865260713139	0.0174747720733626	0.014367676748563	0.241674471343497	0.00486823341752058	0.01769662146745	0.00735933891245803	0.029070299644293	0.0194612634675	0.855967070763632	0.353887448869068	0.988038850119355	0.00600011670916065	0.0163884289069126	0.0390747426239513	0.844613492418744	0.0054320330637969	0.0162935872586638	0.053025511598719	0.962550706146205	0.00579759659374207	0.0156901298219952	0.0243604524725043	0.794892103374473	0.00661799006265305	0.0222188812946489	0.0498339496023638	1.04585602219342	0.0046253273015937	0.0138594475867687	0.00500259772333583	0.0144213836364158	0.00576573797633327	0.0136794208498085	0.00501715593891587	0.0189058537331773	0.0384182367509966	0.527071068494698	0.0364541167941055	0.407224462135773	0.00507497587856728	0.0159618577221481	0.00581795353940108	0.0144832449619817	0.0201018529003113	0.208311127718079	0.0485721427625296	0.730909748043786	0.0300282553949837	0.34750985364703	0.0574306933699552	1.03032108399249	0.0555881330610024	0.919285243063539	0.00536542165729568	0.0207502547858337	0.0697172989639806	1.24732030040827	0.0702916469484709	1.37008128917739	0.0815299029957491	1.59660758674251	0.00434944889453039	0.0157376963926386	0.104194657425538	2.27953826556895	0.115324083999507	2.85312109099196	0.117225387565572	2.89741008299248	0.0148962137321721	0.149519401194538	0.122866700842133	3.17308220500213	0.0101136116983694	0.00537845036807613	0.00481466661134992	0.0167628078312001	0.00562237899948299	0.0148150303755755	0.00954389799711408	0.00680487859847019	0.00661138995595448	0.0154603723718515	0.00478208563004435	0.0162913958312839	0.185340162027239	6.27858053858964	0.0616216560888566	1.05067348807063	0.00453723350671852	0.0182718750200089	0.216049498539983	7.99163651995038	0.00503118512383102	0.0161750787404096	0.0735661056424048	1.39913600917818	0.240499417956053	9.63922583523624	0.246777239708132	10.1936719981001	0.00642566755361387	0.0127677261236552	0.00659818451955291	0.0440597120350736	0.238592436887504	9.58122602935878	0.0079550966880838	0.0411884064751363	
0.0183414081572831	0.158329486777257	0.00599224843927931	0.0189009460999996	0.0122522314385413	0.259470647915264	0.00527187721054853	0.0228257820780949	0.0151087893551639	0.25202518994614	0.00527827047287701	0.0214209197850449	0.0095097679044081	0.040014472606603	0.0197180965355284	0.870601349137101	0.354416726358039	1.00671303100664	0.00653925722984064	0.0194236854309724	0.0398947715708686	0.866156146699597	0.00590836294802654	0.0198838624433712	0.0536232417394706	0.987914343938575	0.00607273138924355	0.0189742595549326	0.0251325149655817	0.82316204953821	0.00929741916193557	0.0421054999615829	0.0503946134239526	1.0780849695021	0.0052301183001058	0.0163629811326788	0.00522839821304819	0.0187845626160151	0.00617219938304726	0.0167804174667794	0.00722301883106313	0.0405346089638629	0.0421636582904011	0.604291501478183	0.0411175345109424	0.490379631528789	0.00569085544154577	0.0201297161299824	0.00598848841549351	0.0189845274085674	0.026940222628943	0.302743841702527	0.0533128084207591	0.838530236440963	0.0366154738741445	0.462576440297569	0.0632964399348509	1.18078299086373	0.0619926099924753	1.07574707892144	0.00986338692227208	0.0690435321250976	0.076162751073652	1.43058781058151	0.0775598273562427	1.57063530966765	0.0888317893499741	1.83072123253843	0.00498325516873869	0.0236742514640681	0.113167770775904	2.61339154850997	0.125520218343304	3.26791212258882	0.127188449355534	3.32030455192618	0.0369533303342648	0.475290216107572	0.13323716614122	3.63626824773703	0.0102865000314024	0.00794566275094049	0.0058152589268558	0.0289238173440777	0.00582081228371287	0.0165912479779205	0.0101622951035092	0.008534670591221	0.00696913244385045	0.0168971538346914	0.00627173883492037	0.0320618876918161	0.200874052697311	7.19427454558737	0.0951107168682039	1.96597401129927	0.00637840763670927	0.0385776202031797	0.234180531905365	9.1589096134022	0.00549419807432649	0.0199210907882306	0.112000702596878	2.6186668903781	0.258941801140307	11.046762446398	0.266901757582228	11.6805470443024	0.00691948923703194	0.016517739947974	0.03244977752824	0.495377897213425	0.26093975013242	11.2137170784761	0.0346209831059707	0.511150599145977	
