X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	X_Cu46Zr47.2Y1.8Al5_Pd_[¦Ìm]	Y_Cu46Zr47.2Y1.8Al5_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.000739625189862851	0.00248751882290145	0.00162380064912509	0.00329518645950173	0.000887780839239153	0.00340739263451935	0.00286156078013078	0.00164306212736185	0.00252574511106051	0.00149055806301212	0.000716152142726428	0.00302310385643198	0.0021506670517436	0.00287923362487609	0.000988357587939635	0.00263155367299054	0.00207339146632194	0.00256458940026904	0.00128768285846456	0.00389016149423715	0.000375199179722017	0.00422133032729584	0.00267130281810187	0.00110501418229591	0.000109595601492197	0.00453257672249102	0.000920653307685016	0.00437453834051131	0.00108125567439586	0.00360902396234663	0.00162181319610556	0.00270608585076604	0.00196134004267334	0.00212660314804478	0.00127111091526204	0.00362681003988971	0.00121631085182518	0.00365688520925944	0.00176497719057346	0.00352030002991874	0.000989912446076794	0.00527286622366758	0.000753044367669967	0.00471994622194464	0.00141479789447269	0.00148491373916101	0.00144174860870315	0.00255244582758775	0.00124218293407752	0.00414205331588656	0.001680748661386	0.00224925395972146	0.00011504535915593	0.00460468232588489	0.00133411537217332	0.0034073235129253	0.00107693413500336	0.00362341944380254	0.00151448248298105	0.00280946628961686	0.00209318596372258	0.000160976916589008	0.000973943352572943	0.00352849139356119	0.000998540292464758	0.00312266259872746	0.000330955868515038	0.00441264252872693	0.00147432769839548	0.0036112081137692	0.00190494621263994	0.00217818695659513	0.000900319292662724	0.00421524853651396	0.000859167500679702	0.00418681477762928	0.000510252882267709	0.00542080871755723	0.00121068049934966	0.0031169909900366	0.000823275857945965	0.00498970233767776	0.000357162168970726	0.00496623373750791	0.00121586378060845	0.00358012386007577	
0.0015646689798237	0.00571405844456332	0.00286094877004139	0.00776316264325632	0.00185103765555099	0.00693561891038756	0.00538635777406663	0.00351984437309479	0.0040719161049275	0.00573806182759241	0.00254193218247487	0.0056026271589948	0.00426290739017207	0.00576408792674217	0.00175780561428001	0.0070239599455642	0.00304969921604337	0.00518647696402825	0.00318460076781012	0.0067705947425679	0.00143588349235642	0.00663392679921326	0.00339238587167591	0.00484121823971893	0.00119928741830248	0.00790843667981772	0.00157043286357975	0.00946611317489597	0.00195876553482632	0.00740805045381601	0.0029557070743041	0.00605461235300383	0.00264190722896324	0.00629633670649138	0.00278512677152584	0.00655506997433624	0.00137543553247017	0.00857328409644543	0.0023870252477648	0.0108047137798482	0.0022232958482718	0.00873450475760294	0.00179937538758662	0.00742005396431987	0.00232672618208494	0.00443391924676962	0.00313633380728761	0.00513427015163677	0.00253626830083787	0.00767176115855359	0.00305368656096923	0.0062402893255304	0.00372907014365856	0.00540264019751023	0.00235855964105108	0.00669621263141106	0.00274531955620858	0.00672329010638614	0.00300964119455567	0.00558902202839719	0.00303664941495717	0.00380775582120237	0.00223951824669668	0.00567209390626937	0.00152425937612584	0.00735868876809021	0.00118062751777599	0.00806102760090734	0.00247305403691329	0.00828401522755993	0.00324413607231639	0.00486284420371051	0.00253630328928	0.00845874506762857	0.00196273629184133	0.00862774190811688	0.00130197352678037	0.00991323575571294	0.00306765984324454	0.00520540900484113	0.00236132719123263	0.00857928858018134	0.000889234898983614	0.00933042566678328	0.00201623674582777	0.00795134072609397	
0.0031657385670559	0.00894618782039678	0.00365720253806675	0.0123990897486419	0.00377043581543473	0.0101134860159012	0.00653834810868064	0.00691439858101371	0.00511493559623574	0.00972114093412814	0.00365596052246248	0.00890308868751626	0.00501372588169527	0.0100054280460213	0.00299166648827986	0.0102583539630975	0.00441930399525256	0.00840266471748622	0.00427844376123336	0.0118356869114842	0.00316818060053487	0.00953695735183095	0.00480136076413909	0.0077127329834277	0.00345621495196742	0.0100179181361675	0.0030587165877247	0.012783440372366	0.00358971868731975	0.00966404285946285	0.00480745275311601	0.00818373571074752	0.00350663134685942	0.0106235299383086	0.00435846130611616	0.00974184103255729	0.00205809111348348	0.0123227012922682	0.00358389063878872	0.0179223189334378	0.0039863846298027	0.008401527849163	0.00397452384551741	0.0110487957708644	0.00387887857846861	0.00798455365203578	0.00505255409699666	0.00825852436601674	0.00376116145864869	0.0107707150505213	0.00416025031120997	0.0114270718797639	0.00554879160899351	0.00717701516367702	0.00432891315286239	0.00963759475479151	0.00476720310436609	0.0105025532789247	0.00466554452563369	0.0084542721728977	0.0047906990385759	0.00746436090610697	0.00401649184613115	0.00859948527331697	0.00233328468371914	0.0127453470980863	0.00320659968828149	0.0101760265066034	0.00379975743806745	0.0113461700561471	0.00404678984761817	0.00916332785114206	0.00420213730699247	0.0120615462675212	0.00370764408633253	0.0116162995194376	0.00325686175726878	0.0117564631055124	0.00446685035675656	0.00815003256718473	0.00373306373980617	0.0132151502019515	0.00304837458538489	0.011611572875697	0.00352860309629275	0.0114585012866803	
0.00510800663466037	0.0107986538169381	0.00480583823420459	0.0175077139698962	0.0054453615556656	0.0137485324394189	0.00750344835088659	0.0101982600130269	0.00702849997041575	0.0121197093604317	0.00408531291170631	0.0127416727396657	0.0057076552596533	0.0147037137431773	0.00475487316433153	0.0132939051634267	0.00599599843974771	0.0120963880983966	0.00487088388890627	0.0173398803730762	0.00418568511504549	0.0140112872652703	0.00696147275749626	0.00936575771527957	0.00447999378922455	0.0154136498122512	0.00492681596939071	0.0150845819118538	0.00538284722472363	0.0136142328201552	0.00581482902237158	0.0116223640298209	0.00528848141142438	0.0136716103370544	0.0056159250619863	0.0134160393821374	0.00436146707423545	0.018337684234514	0.00541345125775519	0.0213495749313004	0.00518392271821585	0.0156133693823062	0.00540985630195783	0.0140981349102176	0.00593736138459166	0.0118428555483831	0.00587813638421808	0.0129213015727127	0.00454123901262057	0.0157334726994442	0.00503427009594312	0.0160208038899596	0.00568917156531763	0.0108205062450996	0.00559453688612206	0.0135665425582382	0.0054846748986207	0.0162452990040088	0.00567358351985126	0.012086861141848	0.0064501516287157	0.0112168085381321	0.00511681993588065	0.0136151118467427	0.00315908634870134	0.0186249517604033	0.00444923529406209	0.0143388363095879	0.005871056363712	0.0143725353604247	0.00515241572946913	0.0123601106265647	0.00489951792722284	0.0174903289794975	0.00487417447103445	0.0151295054910194	0.0047021678223073	0.0173878703134832	0.0054781604230722	0.0131779518704158	0.00473314200855161	0.0168742072844556	0.00499936792790216	0.0148870233011076	0.00543499246002102	0.0151213345910068	
0.00604818440858265	0.0154698911429481	0.00597502990618404	0.021692888246535	0.00622204852484031	0.0185110866671284	0.0093161178665889	0.0120062917385289	0.00824850243396044	0.0152402655695299	0.00595903638779603	0.0156452890068435	0.00766064964822579	0.0184323344341372	0.00594986195164234	0.0187139167089157	0.00703516823078557	0.015922944993181	0.00584541015032183	0.0218604935601957	0.00479001544015129	0.018847817969519	0.00816150366521524	0.0121130373076164	0.0050205277064464	0.0215679664266959	0.00598055381413157	0.0187497544364422	0.00616314393399558	0.0186591742254161	0.00665520594789433	0.0161316476419787	0.00712083700666075	0.0164339447944746	0.00648997831375996	0.0176751010048388	0.00597462690599172	0.0189016800621891	0.00662526109523497	0.0222681317946527	0.00579548822703307	0.0208576392749188	0.00593525068511687	0.0193074292762402	0.00687183270788843	0.0167351801119566	0.00674169707935328	0.0175140385957519	0.00527486202656031	0.0202624632418639	0.00585051984882246	0.0207857173468135	0.00694462617844708	0.0141225011816155	0.00645264860712738	0.0180793386387673	0.00597893983919699	0.021247083068731	0.00649254647405684	0.01700460244315	0.00757250579718059	0.0153872453633235	0.0058933506469514	0.0199402470194769	0.00371271455967409	0.0245761945884922	0.00506856307715271	0.0192674133302522	0.00723075989208008	0.0188305507586786	0.00645209682560512	0.0167759436625539	0.00580933314940605	0.0233800945161401	0.00564115485916341	0.0191871895349033	0.00512692796287573	0.0239479425084416	0.00681869242517215	0.0183573420520644	0.00543489875513625	0.0228795932390641	0.00571768840513396	0.0212378862587435	0.00652623371178325	0.0211927389438919	
0.00678634531233163	0.0212315870987382	0.00691882144380784	0.0266062767064012	0.00700437020115132	0.0237699885098083	0.0104765491116844	0.0151200012718373	0.00929068659167306	0.0184817336365176	0.00796499667547839	0.0194955837122167	0.00928648987433146	0.0217953819280938	0.00678612128522944	0.023471857979717	0.00789485862541308	0.0205651621636252	0.00712592053807528	0.0269895225214888	0.00575309508611958	0.0241477475709944	0.0089390921375461	0.0169555070119855	0.00572227948846335	0.0276229980567373	0.00648727464629481	0.0242481444126178	0.00670562004396262	0.0235814575430431	0.00796531431441032	0.0208666678283945	0.0079196837415423	0.0201513077605506	0.00726999189914896	0.0232775444459126	0.00648378439270069	0.0250446289028962	0.00756770235918873	0.0247680997804407	0.00645258018747211	0.0233110083923802	0.00680681735508706	0.0234212045842023	0.00761961657310548	0.0217642053606925	0.00761634710844513	0.0226265372642517	0.00616970149585117	0.0247062632386042	0.00688515589061241	0.0267487681440546	0.00906757696452615	0.0167685067247307	0.00729687984296721	0.0226990439974226	0.00719265112778295	0.0258884962458971	0.00754430732123611	0.0222498564089833	0.00870435030859614	0.0201511965748286	0.00678210875589111	0.0260804946610481	0.00473276462625886	0.0308798447689069	0.00581874301635346	0.0247783688846307	0.00785396840030518	0.0247422696773899	0.00721277677348002	0.0224471376238586	0.00668257463568215	0.0289356007568742	0.00627978517377416	0.0254949442647121	0.00568073365219078	0.0292612703304798	0.00771916997382233	0.0244006357440423	0.00596853696090911	0.0297789214935852	0.0062122281553541	0.0280390472977968	0.00741517378969557	0.0266501652806453	
0.00763834141596044	0.0255096644357612	0.00783664546226039	0.0319888661846685	0.00819019349537551	0.0276217238547207	0.011096527687712	0.0203618591846155	0.0101379941926208	0.0241701024949549	0.00880826452141276	0.0246542410536285	0.00990106771710233	0.0264748901985289	0.0072555955964206	0.0285426290332814	0.00859760045735452	0.0258146416416422	0.00786202592019677	0.0328428039072764	0.00675462662603494	0.0291902501911974	0.009922620855665	0.0224010235161849	0.00668484657691267	0.033501029293295	0.00707372741144134	0.0305088073279949	0.00745533780014561	0.0297352039043369	0.00893952699251016	0.0262493773599567	0.0085480684127758	0.0254604737350312	0.0081672929393197	0.0292536082927286	0.00719830825377653	0.0307081285393894	0.00836037798696556	0.0288056412461212	0.00716883733371977	0.0321052869579339	0.0079666670296109	0.0300768828576701	0.00854450645773324	0.0269739726639375	0.00842787174947995	0.0291678338514785	0.00737266805983853	0.0322030312583855	0.00814495256369721	0.0321048986037147	0.00998588640151665	0.0218443843634294	0.00826914031287763	0.0271402046406638	0.0084750885364777	0.0299372099439635	0.00827905331138633	0.0280546369457394	0.00952851335061344	0.0253640052282119	0.0078970292785314	0.0306909450020576	0.00559814316956676	0.0366208624541396	0.00668433825150373	0.0306262048985237	0.00851273363108984	0.0297896976410473	0.00789210552145303	0.0276325704880188	0.00721495098522326	0.0325373342100377	0.00690515024583069	0.0291677874672509	0.00695484172757648	0.0347487936644748	0.00851419635982606	0.0299416992095982	0.00663162024717685	0.0337099247549603	0.00660158735871414	0.031631820409584	0.00807737262473961	0.0326044703772497	
0.00849460650219236	0.0302989141506891	0.00866916832748473	0.0377317028592184	0.00924301102715194	0.0336688155963928	0.0122280035667343	0.0265383974820531	0.0108872161381291	0.0307344820566163	0.00942979713430621	0.030271887607415	0.0107328898403037	0.0324039368094753	0.00777766422665583	0.0351771379090761	0.00939334958096512	0.0309495393445934	0.0083228902716226	0.0398849123640051	0.00760225315685338	0.0362367937737596	0.0111014941373309	0.0275407815585915	0.00804155638068007	0.0383377127926463	0.00794585265012877	0.0358581056637798	0.00871334086454287	0.0371112637930322	0.00957765677089473	0.0318781524903855	0.00951907768281676	0.0310449491996302	0.00934735854016424	0.0361125950021741	0.00792836211636606	0.0356857127702363	0.00936398422313803	0.0335648121537008	0.00825793480642159	0.0368771143931823	0.00926777048305765	0.0361853000051805	0.00960957412101681	0.0333015343684207	0.00934698642932007	0.0352862299743828	0.0106191825417178	0.0655777235581527	0.00924072233001958	0.0360921559287119	0.0106985886331258	0.027534284583498	0.00941052392816561	0.0320100610481919	0.00930897759771662	0.0356605070352686	0.00888858458759601	0.0331776020787701	0.0101990254179997	0.0300405103472844	0.0090394773693318	0.035147861730764	0.00661589711207863	0.0511064639167817	0.00839728594278449	0.0462613312120522	0.0105427692833097	0.0452711266332341	0.00863860415132857	0.0318715286407872	0.00928716974322723	0.0570608208545816	0.00936951466031898	0.0555674888328608	0.00795837166951401	0.037997170252889	0.00941074780028703	0.032045076592547	0.00970281323648252	0.0649747640698096	0.00971756813023138	0.062944979356654	0.00832457206985212	0.036709350827451	
0.00938514114696524	0.0357268292047612	0.00950142198663923	0.0461666000674045	0.0104981421921286	0.0402052918619291	0.0132307306209336	0.0309944410958872	0.0119700856701294	0.0363948239276549	0.0104619838304613	0.035717290424782	0.0117268898748129	0.0377281803864057	0.00897779201320089	0.0415031025409389	0.0106400930827373	0.0372343875419313	0.00985849285489439	0.0497721042854224	0.00916896194402945	0.0442901461492433	0.0122373842928288	0.0327755535984847	0.00895034946196365	0.0453539402146233	0.00916453439384489	0.0430909128677924	0.0107637086183031	0.0493605124776846	0.0106788325129831	0.0363753343666163	0.0104136814258128	0.0367091436900425	0.0104727438380135	0.0440777891509074	0.00906792123761508	0.0451580887253512	0.0107085116398374	0.0397173179642803	0.00974236614746627	0.0423384842987753	0.0126129911671675	0.0602047774517502	0.0106890132892836	0.0414331987814809	0.0105463281730604	0.0426514123069616	0.0170508388297577	0.140103018278078	0.0106372649792057	0.0450517915371304	0.0122347877907701	0.0314557331487374	0.0110425534066967	0.0416926867025187	0.0106551042749915	0.0462840376556982	0.0102772107700488	0.043994855061476	0.0116663398115026	0.040688571857645	0.0105656027866828	0.046583505597685	0.0149776373974949	0.170881006011687	0.019795427483137	0.191651990454526	0.023969034324012	0.213896049289808	0.0109717091499902	0.052098067753132	0.0285730031273267	0.344706660142073	0.031570310746282	0.38950317562793	0.0106945466147885	0.0668175971536746	0.0123674914261324	0.0618402234708412	0.0366280876771738	0.488778771317827	0.03734747521396	0.507196405589798	0.0114577223209514	0.071405444278682	
