X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	X_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Pd_[¦Ìm]	Y_ZT2:(Ti36.1Zr33.2Ni5.8Be24.9)_93Cu_7_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00425970011650596	-0.000816699927530556	0.000342941782625205	0.00392468136400334	0.00122710392651296	0.00259176612384873	0.00142717815418394	0.00273783835565985	0.00170873972274713	0.00200826186312091	0.00215796853739197	0.00262395348087616	0.00128024134355669	0.00327199752893939	0.000472679971772385	0.00484647989369244	0.0014091486346001	0.00340783010145013	0.00224620444367488	0.00247475361062104	0.000916891052603521	0.00334356429938061	0.00170551817955695	0.00239137909840121	0.00290553176406764	0.000764417527606437	0.000506862609588217	0.00408061581483154	0.00119833936930426	0.00374650635816802	0.00118790018624905	0.00354644595498976	0.00248646304267017	0.000954782490350626	0.00110245306100909	0.00309267655983427	0.0018949332483838	0.00226341206307149	0.00109219917970023	0.00331333542541358	0.00124868122699121	0.0028237535412084	0.00342721069674948	-7.27814005577458E-5	0.000715251231287602	0.00293727120752369	0.00329279683905098	0.00028737029878573	0.000912558220151003	0.0034708903683497	0.0129570403789209	0.141730896392115	0.001412210390406	0.00234884999129796	0.00118801776688525	0.00237063966432808	0.016252618248848	0.236989737116754	0.000690757521589801	0.00458453474546082	0.0147913191487761	0.338992728117268	0.000795229759208218	0.00350733154558213	0.00100453061130406	0.00233663002106535	0.000461189159682759	0.00379402608983654	
0.00508853086619898	0.00319376724640615	0.00137529510003103	0.00770387177696921	0.00290111720896264	0.00625644331490867	0.00233564532425171	0.00619196787432035	0.00353500726836962	0.00426019996895349	0.00345789136175914	0.0068962409749026	0.00226757546173392	0.00704330171372077	0.00165676244777279	0.00791650344269194	0.00259456248117555	0.00680656843954582	0.00327030729105859	0.00690412083662449	0.00125775560089286	0.00757695816382778	0.00325720379274504	0.00606237193405713	0.00608096894873524	0.00140016338889642	0.00195270799007413	0.0065926055010166	0.00180912535856775	0.00769102482385635	0.00239924641464438	0.00682735675895685	0.00305652554270953	0.00513531311463649	0.00216610362768417	0.00540131051631939	0.00246720141807589	0.00712461371942861	0.00276312675629256	0.00600275660555057	0.00172164371794676	0.0071187784016992	0.00471747377841166	0.00302625252693996	0.00134305454404905	0.00723881168774851	0.00778516519141067	-0.00117898247338309	0.00175946585561711	0.0063377039341683	0.0391131591836969	0.505922651044507	0.00109883819717736	0.00740899996623956	0.00259225948119812	0.0048254639732431	0.0507524332757362	0.849100713509474	0.00165507444410915	0.00888038269861763	0.0467462781527656	1.20666061501047	0.00139958186944074	0.00812601099426247	0.00369014011284984	0.0331788017022248	0.00154041650008994	0.00722275910702467	
0.00544599830906889	0.00738099879996273	0.00307208193310192	0.0110067187962933	0.00398846256853964	0.0103595079590241	0.00357565332998447	0.00934593709818526	0.00465195302148574	0.00794510807288559	0.00497693323273189	0.00958656255475158	0.00355148394691812	0.0100236711446303	0.00336389211117896	0.0101092013865646	0.00351414671738823	0.0105031377429297	0.00398050237998772	0.0103806068708611	0.00280958032088811	0.00985688301192035	0.00417112214508221	0.00957436100178581	0.00917156468663734	0.00234656534071562	0.00356277478995668	0.00852834210001298	0.00292024107428051	0.0105591512452146	0.00378658229933409	0.0100839569980739	0.00382307372506824	0.00896758135165967	0.00368039167643195	0.00788138239695644	0.00376887386414625	0.00981684160008196	0.00397451642777204	0.00884923659928742	0.00300795564211136	0.0110758623319036	0.00531023904362132	0.007552807442664	0.00207283085868586	0.0127181386558804	0.00864877995746213	0.00287304542321915	0.00320063704031966	0.010116916175006	0.0631577987708508	0.964210228307898	0.00179067508775458	0.0125685286035343	0.00377164317001915	0.00940862401752749	0.084151071684333	1.6090636235897	0.00330872441383721	0.0115418787547577	0.0786477929048545	2.27225796819184	0.00324077483290397	0.0111903968132471	0.0260274520300812	0.46396890663317	0.00338966033359427	0.00935923118160964	
0.00739847061471386	0.00950923858364561	0.00384262696206543	0.0157977826120046	0.00448574220639188	0.0147728971828658	0.00455992584596947	0.0141746852566405	0.00545378010702678	0.0136912789548538	0.00571206600469737	0.0137972617989833	0.00483669086830496	0.0136620990692886	0.00452520904008864	0.0134610198047191	0.00447543253281201	0.0155514787255375	0.00488372631897583	0.0139711016985286	0.00425429402893714	0.0123169132682611	0.00506178625242556	0.0137076504271423	0.0113770751842612	0.00476189939155535	0.00447400279010916	0.0139327485361502	0.0041658625113501	0.0144222260558433	0.00469703162813935	0.014180129946414	0.00551163749070103	0.0103728427423345	0.00436321857496012	0.0121913611686235	0.00515671796119828	0.0125387917661775	0.00468700898463398	0.0120884109207462	0.00466820036212185	0.0137282216047036	0.00691619991993074	0.00962051808308212	0.00316219494866945	0.0170975300598899	0.00865074160128986	0.008267711171563	0.00416653845740969	0.0144839757409398	0.0818699288289446	1.44210848947053	0.00382607274168695	0.0153572029357614	0.00485386023706718	0.0147724051462555	0.111390535457514	2.40389757751368	0.0041437489901305	0.0150049724801468	0.106227440476633	3.38281351954351	0.0046944008465394	0.0154768415011289	0.0724324886401939	1.5769428697656	0.00442279443837793	0.0144254947796462	
0.00922333967573618	0.0121036021105524	0.00428341319835739	0.021258470851351	0.00532179576125426	0.0193148889514298	0.00496274273441578	0.0196148130049878	0.00635599964553705	0.0182308314587436	0.00627077343554888	0.0178416463024749	0.00560928894828805	0.0183862835363422	0.00517097926857041	0.017718607136579	0.00542384374742281	0.0197428325636341	0.00607675444743585	0.0185340709613926	0.00494825816287166	0.0166676392196216	0.00609708540917181	0.0175870253147288	0.0135923866190966	0.00693854202622022	0.00530861853261501	0.0192104432669601	0.00513078714613398	0.0194621616025034	0.00555968846843773	0.0187164682961804	0.00662705610509838	0.0134129807516006	0.00525276120584826	0.0161707313559416	0.00582060988648239	0.0174783518443388	0.00571731738705335	0.0158531203597583	0.00553512323835199	0.0188051990498182	0.00851847196721024	0.0121967308250877	0.00417785581755165	0.0218184221562794	0.00994526857711482	0.0119288018841237	0.00509897214149545	0.0192890615768629	0.0979396817287107	1.93205212699514	0.00481924200444424	0.0198942170400591	0.00584039627300382	0.0197033213871816	0.134832636045538	3.21914938093245	0.0049566571612425	0.0190796522507155	0.130131682302665	4.52430411289492	0.00533029158465992	0.0207586516952689	0.114774703782702	2.94793531615781	0.00507569652987907	0.0201240281503876	
0.00995591577132208	0.0168699607544187	0.00491110700368032	0.0266550856467482	0.00634574039630553	0.023052642787751	0.00557757171213971	0.0240567085199131	0.00701036995271239	0.0228896287168136	0.00728746123927737	0.0213881370500766	0.00659381281122955	0.0229752989072385	0.00610229817271938	0.0223028085522475	0.00631219443002176	0.0242730018111313	0.00689600026231695	0.0228969423044237	0.0056048594414561	0.0217540899610998	0.00692532840641463	0.0229275433890798	0.0156466543025297	0.00974707244583341	0.00647515373627435	0.0226754596640574	0.00600474127153343	0.0247124869105529	0.00634526752295152	0.0232339027994682	0.0072069728288462	0.0190956916437668	0.00656293399533097	0.0202615219148923	0.00664944773127745	0.0236916046221537	0.00680422241526708	0.0220857617447047	0.00619372199358846	0.024380514084216	0.00909423403611525	0.0162249918072721	0.00468068426194637	0.0275871648766842	0.0116297570666253	0.0154332994443497	0.006278331088786	0.0241196369100872	0.112169435834461	2.42745331454778	0.00506214685958099	0.0260177354368805	0.00653331648982552	0.0253982713489683	0.155688372768596	4.04337913354408	0.00578550453572278	0.0251976081782051	0.152029540839739	5.67754310713643	0.00608779545442816	0.0263583120826875	0.149587446395922	4.37342992118101	0.00561237152391778	0.0262140516779231	
0.0115696293172744	0.0209917614432482	0.00614200121309151	0.0322712842850382	0.00712420000703814	0.02827867549347	0.006423958216687	0.0298610943359874	0.00762811693614612	0.0277100449947016	0.00838175372772076	0.0265057525355256	0.0074745056657458	0.0267766991797668	0.00706947166594475	0.027591527267814	0.00747869769340647	0.0303311575553249	0.00771197642882048	0.0281239827302244	0.00660081573795738	0.0257056077839937	0.00823544922300334	0.0275380628516834	0.0172265325296428	0.0134352842891128	0.00754589248684917	0.026861830835667	0.00713587981642467	0.0297148930696216	0.00693205406847187	0.0284304988010678	0.00810346045806384	0.0241109180395428	0.00734235092163572	0.0250093459671115	0.00798246503265725	0.0289846889120814	0.00758793219841145	0.0271060158269533	0.00668388750283745	0.029449349733147	0.00972742255669453	0.0212441363060372	0.00511381607134784	0.0322850722240622	0.0124371989424621	0.0196012497111445	0.00701001963677563	0.0286665244883983	0.125143565763246	2.92579561865136	0.00586896702975683	0.0318552686952812	0.0077853694423285	0.0308845577702276	0.174364817903711	4.87357912923672	0.00631091441867296	0.0302519046455241	0.173390031069488	6.83844642014171	0.00692874061714608	0.0297326973370578	0.180239540245425	5.83695671154671	0.00667469286281001	0.0281725429237823	
0.0135574986628091	0.0238525368740285	0.00773747761543632	0.0391393168283578	0.00805475203516504	0.0337104267960118	0.00708414664824617	0.0377295400809203	0.00874444135935825	0.0330607785130577	0.00910099629615806	0.0327306504829489	0.00825070569400221	0.0318611890507612	0.00813620861871961	0.0331423514300457	0.0082911807184879	0.0363835607458031	0.00903566331861849	0.0334979756649788	0.00799183598369002	0.030772122402556	0.0100288776959338	0.0330363709733397	0.0190566628986549	0.017986250041473	0.00893335384869818	0.0334111327948785	0.0081317678762658	0.034348777450004	0.00812500920488814	0.0337233884591385	0.00916370153590974	0.0286821255050242	0.00832708768237163	0.0297431201458451	0.00868563731680026	0.034477119879254	0.00843732051005677	0.032450908570612	0.00782665249906401	0.0341478173292347	0.010545185709306	0.026791209712297	0.00600474919048004	0.0450969270285514	0.0129631230280708	0.0240609931492497	0.00834025338740458	0.0413314849915919	0.13783433663614	3.42465247845298	0.00754578724272484	0.0370092184923402	0.00894442032912183	0.0341594297570354	0.191374276071951	5.70488460477291	0.00861537053024071	0.0527502195338207	0.194132448299778	8.00233695016318	0.0100689170069689	0.0601057698632178	0.207906246250554	7.31838817755897	0.010799184854387	0.0606697693288715	
0.0144645339484021	0.027983090539452	0.00863375927066105	0.0439405464069286	0.0092918397296164	0.0387826675929445	0.00864487376906115	0.0464824002597226	0.0105336101743706	0.037954667407444	0.00994399931396872	0.0382638522766761	0.00974720581185543	0.0371428391738412	0.0094513914907441	0.0394282619171449	0.00915431964309169	0.0429202662039934	0.0104804167788573	0.0401079572888212	0.0101644093761593	0.0419616242730591	0.0120813412452683	0.0470650314055782	0.0215224460379502	0.0301987042102181	0.0132165540831494	0.0477042961017022	0.00945579360013352	0.0408819031372182	0.00972418313849263	0.0377221599865133	0.0102009488734185	0.0358170601698383	0.00985022434187782	0.0369602913176875	0.00944924878656469	0.042665409429757	0.0096087588216749	0.0369070540478479	0.00921886644677397	0.0386459960116113	0.0114677832743777	0.0321868049641819	0.0116473730525776	0.139406684611118	0.0142793680694946	0.028820156780872	0.0173641229060665	0.156387667023237	0.149574961453415	3.92529771034356	0.00901187706709924	0.0417130775727639	0.010402239321057	0.0510857729132991	0.207407018270316	6.53765039403674	0.0287217989588033	0.336950976728142	0.213938505993897	9.16657486348849	0.0360901332336699	0.452282245878461	0.232460007199905	8.81090890094046	0.0394478745613222	0.532994225218235	
