X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	X_Mg65Cu25Tb10_Pd_[¦Ìm]	Y_Mg65Cu25Tb10_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00136807441667539	0.000329919187397809	0.00152906913812732	0.000188330877940287	0.00263314189078826	0.003000248255662	0.000429297786351497	0.00438461294074202	0.00200107388732399	0.00269208963746524	0.00205088195379174	0.0025597754450412	0.00228319319202142	0.00093262538147844	0.00163871908812033	0.00190368600722823	0.00272256076074042	0.00239009551722088	0.00137917516437901	0.00300927999236898	0.00380306622933633	-0.000141242701487264	0.00293077180070675	0.00074883151764245	0.00901706460774284	0.00802756729241839	0.00380142208992068	0.000383994101818	0.00952375332509947	0.0161208419359401	0.00123311752415023	0.00157294554615373	0.003415973648663	0.000884598151790439	0.00748463406594352	0.0187159048642394	0.00165173732717319	0.00132429084336785	0.00212716325379762	0.0014485901141132	0.00176079118036616	0.00217940374676147	0.00975915245223564	0.0154471173966974	0.00113627733639955	0.00363669988480704	0.00244340358217658	0.00181313970329992	0.00356520184513728	0.000173948129409594	0.00242744249625075	0.00226242571611427	0.00209013986677807	0.00106336842187979	0.0036014553767836	0.00598398645478691	0.0180599823689123	0.0667517965793688	0.00258247540947979	0.000348027226050023	0.0516634846920358	0.230993387901073	0.00333732215700663	0.000686595707650873	-0.00498320470573725	0.0099271678496403	0.0373346249669791	0.149119230820722	0.00289900427273768	0.000100964821037645	0.00177963487998317	0.00246255865149154	0.00253325161814252	0.00145880032852402	0.0021057144704558	0.0022051680251364	0.00324479196006611	0.000577703731169095	-0.000763719914289688	0.00426483873277272	0.0012029428618328	0.00318631631089176	
0.00237866919142254	0.00114207063266486	0.00296624650857974	0.000704687375399232	0.00572991829167397	0.00353091292308964	0.00389735112694334	0.00515800989490171	0.00491576659009263	0.00507032722017105	0.00547217652073175	0.00253113636773736	0.00488174413676368	0.0019606099136664	0.0045075002470281	0.00182880003603054	0.00503854271844841	0.00512689414995573	0.00412689731983985	0.00389647202292567	0.00500263029251422	0.00272700877538654	0.00622198796997619	0.000926742315279452	0.0195814236284919	0.0181633941351128	0.00773863736756731	0.000256956797403007	0.0168893536856907	0.0360094746787956	0.00513313270771293	0.000554020490259822	0.00610387051287164	0.00203193475852844	0.0174697894716162	0.0433227739790813	0.00301337848303266	0.00459592548393847	0.00453096839669201	0.00361592634468421	0.00369777476828114	0.00458072112067059	0.0322760459105912	0.0555911529743822	-0.000948111931253042	0.0110057057329305	0.00569980857627962	0.00222107784362054	0.0191514953825689	-0.0140226727741537	0.00666326661722827	0.00146332125594155	0.00249144949804013	0.00338617412413482	0.0240111748706813	0.0607915297452775	0.0539203797039198	0.253891716730103	0.00407187394439311	0.00388593052508546	0.0898114618116093	0.538909047332721	0.00721116850692453	0.00215001626904045	0.000375722045039478	0.00808762395320803	0.0931980616969328	0.587967705809182	0.00671159666620142	0.000195024758627394	0.00354380427254996	0.00496589176751628	0.00594331963047433	0.00228260603834604	0.00297982962389504	0.00584521303129768	0.00703437785880513	0.00108929811459574	0.004511368425775	0.00180053748951535	0.00241500825531726	0.00609678652981658	
0.00289148819540392	0.0025021616869045	0.00419259489175273	0.00175693995356193	0.00809810706602924	0.00488526324704436	0.00827367157982645	0.00456490414880131	0.00701220252800049	0.00683761358496892	0.00987613162652646	0.00298738618220045	0.0078958998910955	0.0033312961259311	0.00703237431763944	0.00293481557194554	0.00742325678049623	0.00721115099932363	0.00745721737029811	0.00411829367742596	0.00684464616042079	0.00438356052752436	0.00899513128367085	0.00226086911600612	0.0301668320841622	0.0315361270195875	0.00913297567808598	0.00170140166223609	0.0228548317976408	0.0577233613380078	0.00698825973103934	0.00297575010753865	0.00882950367131928	0.00325663116193545	0.0277352089485266	0.0710800925734595	0.00504889055785491	0.00851412760799412	0.00684729214451772	0.00520856063120676	0.00724719584975332	0.00567446939263074	0.0542136882203968	0.115229038767464	0.00488754350677287	0.00763153875727814	0.00962880056626848	0.00247239372777741	0.0204174231100685	-0.0108599305648122	0.0106849139545981	0.000572024789677541	0.00651969810050575	0.00242059274895561	0.0619698801805892	0.221883421011044	0.0834651428619101	0.501178308537841	0.00686525686310319	0.00518657882743001	0.116737781646001	0.863583390037294	0.0114679677705051	0.00305700436033567	0.00774263309703094	0.00350066040226148	0.132154012712077	1.1471158832983	0.00947264576961371	0.0019632060661693	0.00798815362738434	0.0039310578310546	0.0099374335255415	0.00160358460221177	0.00695569231766171	0.00577926375461514	0.00880458299401522	0.00235236064068005	0.0100687187084531	0.000697866165459925	0.00586464176619424	0.0068958030532245	
0.00337640834911213	0.0031811340103272	0.0052059290927434	0.00245967009645591	0.00958138930999698	0.00592144687357937	0.00999303945582742	0.00715726116706646	0.00788204280458589	0.00775169209662238	0.0118419553252041	0.00575216445176826	0.0108314376316344	0.00416920127669767	0.00908605878604868	0.00475428601176842	0.0109468023963501	0.00785356482070295	0.010780318060207	0.0037741445366001	0.0111533927774474	0.0042289955482783	0.0115843277480542	0.00361045004997127	0.0390347746789315	0.0460337192598081	0.0109121808707981	0.00391335951974607	0.0265986037967515	0.0798164927179309	0.00907989694351252	0.00498181883797724	0.011638623945331	0.00407156293237376	0.037008253138089	0.10000306317801	0.00753864868278346	0.0106241388449825	0.0087531367187821	0.00749807837421063	0.0106562428336818	0.00533987540268786	0.0693337120574473	0.182149844920247	0.00951801227403391	0.00531925045125487	0.0123564467048193	0.00403091991824043	0.0158241679783525	-0.000969959227718254	0.0125818973195338	0.00279790217871992	0.0125816565009931	0.000658614194985177	0.091395102215616	0.441310867202429	0.104729809408814	0.758128099193999	0.00924757784529252	0.00619052996326515	0.140698540312082	1.19434206283284	0.0135955261478874	0.00510183211514406	0.00737648342343703	0.00882868565798228	0.16297465087901	1.72100742031226	0.0118198049101972	0.00443011210212883	0.0108757391166227	0.00453301960375719	0.0120732187685563	0.00323427942120633	0.0103789643268133	0.00643983336311625	0.0110611445622464	0.00357402296990606	0.0114947358822105	0.00367682497015402	0.00826312474575874	0.00998882704001835	
0.00391069212532912	0.00362475821993996	0.00615356610240156	0.0030243898818792	0.0110603151550951	0.00732062073228726	0.0122736649835228	0.00875542540848679	0.00903974217388449	0.00862558185830277	0.0141272386234587	0.00624735837276417	0.0133207979379867	0.0057099247913401	0.0119992318534074	0.0064127204178495	0.0139130419924515	0.00862737697338513	0.0131965638950306	0.00659008324495471	0.0151621934425606	0.00447516301054665	0.0156073114898139	0.00299753023087486	0.0464689694917257	0.0598251216394536	0.0145341412956354	0.00493570063757758	0.0290441898548099	0.100732134105206	0.0122120910515963	0.00603834604103523	0.0141796845973266	0.00474707462862059	0.0445441947743227	0.130876455991809	0.00908864357892384	0.0130124081537724	0.0105389328323953	0.00973919326623252	0.0123287118721502	0.00625709849212334	0.0803640342369986	0.250657857495429	0.00916567049647034	0.00899252111628318	0.0141094369134463	0.00691299116645127	0.019879487507331	-0.00207013126045191	0.0146076055887368	0.00470974316980425	0.0148378933528747	0.00285370320031525	0.111745040176943	0.66874495139515	0.122939596158875	1.02076995853286	0.0109908271869239	0.00871059050505039	0.161829195267706	1.52721012295204	0.0156877433444073	0.00585553397668318	0.00864205506320681	0.0110048317085636	0.189290017200346	2.31171340353565	0.014901132504164	0.00483474627572851	0.0116688231937416	0.0090335411443742	0.0136669613831448	0.004702822256513	0.0110125104636221	0.010156552406974	0.0146303409432292	0.00472987426563763	0.0120027945599854	0.00716544275364133	0.00957086083594867	0.0134355062058095	
0.00401315712327686	0.00443005753244931	0.00720262539906829	0.00345283462564036	0.0126919228780237	0.00757838243246311	0.0154883672610892	0.0100967017467245	0.0104151017513668	0.0111372059276351	0.0176845337601069	0.0059076048196232	0.0155972310557356	0.00603119013706157	0.0145621211971159	0.00935378058012081	0.0157409369759607	0.0105210935549134	0.0149636664799422	0.00932007078587833	0.0169147033041967	0.00761323062980104	0.0189933772960303	0.00282730057037684	0.05293544886595	0.0737472584193012	0.0183072631555802	0.00410489954958914	0.0316581493999621	0.120478107153896	0.0132994562373843	0.00994314858028611	0.0168445416273717	0.00664534004768371	0.0505609235618502	0.163043041070742	0.0102433691617443	0.0163393214249438	0.0120022300938462	0.0128101037998978	0.0146461638113217	0.00793650311654716	0.0892227167393433	0.319102845728751	0.0110216377743023	0.0121066526551132	0.0162624106736796	0.00946250751174376	0.0261986220465001	-0.00627095748541753	0.0194982980786882	0.00358881828795125	0.01392813484786	0.00776544911282798	0.128829482840205	0.900272139901233	0.139152895615038	1.28714973905507	0.0128931111937843	0.0124997307895811	0.17961358400154	1.86243023812171	0.0200762121870198	0.00428657929309127	0.0122368175691507	0.0111579505913025	0.213894302467485	2.90563454496454	0.0181062231904947	0.00452125438085387	0.0146782397532054	0.0100477040862358	0.0172763033376701	0.00458060800227243	0.0124910427281594	0.0132177950124186	0.0175396596844457	0.0062780451772918	0.0171207893089754	0.00448495099206222	0.0122006087871804	0.0139953620137987	
0.00420825202752584	0.00434715527533095	0.00829660238944155	0.00490422075370768	0.0142911760628173	0.00851090549579246	0.0171203102940658	0.0138225730353315	0.0115868848182338	0.0121457991242076	0.020458165739622	0.00690254695611783	0.0175534052085081	0.0075207468464546	0.0165467808985501	0.0124786823546977	0.0179208501975223	0.0119769343878184	0.0169171547248299	0.0103838652491622	0.0187877754847627	0.0102085918723483	0.0205243417925156	0.00452567861762051	0.0587142890523658	0.0882813104813948	0.0202298187502958	0.00526699634514114	0.0342402258253695	0.140732131194823	0.0160022586056657	0.0121020706210233	0.0198766747349213	0.00786769814032353	0.0556908831923891	0.19532783135146	0.0122157401207103	0.0195698628231034	0.0136127386802328	0.0171491854911446	0.0179668378126526	0.00912187206142276	0.0963347433792729	0.387260666480596	0.0154576306830623	0.0127817559882584	0.0198360178239447	0.00971166448295483	0.0287144073520204	-0.00522676143831414	0.0234996125604471	0.00366350621668703	0.0172697563260313	0.00865983160815536	0.142980888433303	1.13323956049289	0.153862472694823	1.55453208828123	0.0149159211747117	0.0161096133148854	0.195778235752967	2.19691949793567	0.0231819844611397	0.00580798195795428	0.0142233680043923	0.013565408418399	0.23803589014159	3.50175104642817	0.0210860273583662	0.00607355439825796	0.0179496531580432	0.0104381610570976	0.0202742748787144	0.00635811708703267	0.0155496189603111	0.0137623713101438	0.0197447116170227	0.00873155617591984	0.0223401849030903	0.00188260301154782	0.0143140405457578	0.0140609620445324	
0.00448582745452467	0.00482546943021105	0.0092805403449845	0.00625736326875582	0.0157823806612207	0.00990433134825816	0.0190959524748357	0.0161732110931282	0.0131253775049285	0.0135955881796544	0.0226161268878014	0.00960039255790352	0.0200250086251591	0.00927890006589107	0.0190045697500309	0.0136845449427149	0.0203624440572488	0.0136974045150662	0.0198565576862118	0.0112230868934471	0.0227257198381939	0.00961200703206718	0.0227052485379048	0.00741496488695782	0.0640292820320728	0.102864438875265	0.021551940344482	0.00810405147310486	0.036994216924622	0.160784407492606	0.0181629730439423	0.0145518563295298	0.0227770122084787	0.00827907530732188	0.0595806886735823	0.225920088452357	0.0147760930590395	0.022863872396517	0.0163985274871473	0.0193576386109877	0.0199877323801813	0.0114222578108493	0.103002489434902	0.455342700861532	0.0178441704328328	0.0147990296928906	0.023337682062737	0.0108891199148062	0.0287320660326804	8.53724446110477E-5	0.0241989806017977	0.00854484021943268	0.0255669612626389	0.00299110783434333	0.155496153185049	1.36807940503188	0.168294746719445	1.82098614177523	0.0173167733345032	0.0182482026930355	0.211064311929897	2.53144566140489	0.0242275951452436	0.00889023752799061	0.0170506758046158	0.0144040188822733	0.259055890621917	4.10442871511833	0.023371829546949	0.00820105521753075	0.0194904923799991	0.0134337017684069	0.0214931268307303	0.00961510477087429	0.0173689879231441	0.0145142978381094	0.0223105105392445	0.012135409057228	0.0227001273922791	0.00633047572536928	0.0201739139694351	0.0436290845041319	
0.00462677032795663	0.00511352639746401	0.0101226789259199	0.00679251356383954	0.0173763911794803	0.0109675742598751	0.0220136842029545	0.0177197731087313	0.0145989173551288	0.016558765433033	0.0251432049792654	0.0114035671271814	0.0230282229221411	0.0109247952691144	0.0220027643590218	0.0155051113236014	0.0220247987194786	0.017987709098279	0.0225448262977058	0.0132004241191872	0.0255752760422028	0.0107927821194223	0.0262540050017563	0.00833367909288603	0.068610598294174	0.116866218283375	0.0250548464605043	0.00823141846933359	0.0401873294405307	0.180208201153443	0.0196905449937156	0.0183433867660233	0.0248634546935208	0.00993647288949218	0.0628318625150245	0.255902183776711	0.0192023401061182	0.0345955949735795	0.0189570430229836	0.0228357790160083	0.0216468135336855	0.0143415983311792	0.109273044025094	0.523121269616708	0.0188806032108812	0.0187108753587775	0.0255785207426352	0.0124518290985777	0.0298859413388134	0.00509384220456849	0.0257326574695572	0.0126780832605616	0.0272731333975598	0.00566414355871145	0.167120954879436	1.6035966702964	0.18180462236197	2.08460024362815	0.0199910015135806	0.0196581849862659	0.224971477114775	2.86714203163353	0.026670412674525	0.00974269595753635	0.0200256962602641	0.0160449691630379	0.277865383991326	4.70690871060142	0.025838695422604	0.00958614646094528	0.0211682204138396	0.0163306532587266	0.02449977104188	0.011067909710609	0.0229098138904668	0.0354093628182285	0.0259804228729121	0.0133971182552604	0.0241797148387466	0.0102085827774017	0.0693825510868629	0.496388607713562	
