X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	X_Cu49Hf42Al9_Pd_[¦Ìm]	Y_Cu49Hf42Al9_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00239403358067916	0.00211227769767757	0.00232179618109809	0.00143798381477858	0.00345112018910901	0.00184839146047089	0.00182377448423718	0.0021714476011751	0.00117506496759144	0.00229563727781409	0.00212933578723803	0.0024606232468581	0.00240231297636192	0.00117284429393238	-0.00121505456507435	0.00651761425581218	0.00199113437986374	0.00204274683102957	0.00158162120622809	0.00444831472822553	0.00319723198115262	0.000966509969225611	0.00310724990952174	0.000387469280908412	0.0038076260034086	-0.000264248216080797	0.00216147437385932	0.00167164026852357	0.0015274516318065	0.00272097336883224	0.000425832566885224	0.00493075616986625	0.00166264894488542	0.00362121482875016	0.00200660176948786	0.00198295028571229	0.00671715049306881	-0.00304729823333937	0.0030237919821896	0.000505351612090196	0.00164136092821782	0.00277012609816023	0.00219436424157533	0.00246479327986766	0.00209143519660171	0.00175249070569218	0.00157836245341789	0.00292979152345157	0.00132783851657467	0.00251125026702763	0.00718339292497531	0.0366160002956949	0.00186903062202463	0.00208368500460132	-0.00212237374471543	0.00749973751984154	0.00101384873251696	0.00465236167386598	0.00136093517918601	0.0103314009360956	-0.00272354012519814	0.00740354845525606	0.00210959377350581	0.00206566245844701	0.00146148868157372	0.00296681523201281	0.0027742522613145	0.00161333438495169	0.0160884313189135	0.187198889965407	0.00144844678217499	0.00378281383968563	0.00184943293946243	0.00251914922813735	0.00139256384487744	0.00213607553491383	0.0099418782862489	-0.00987483873863896	0.000753161921042925	0.00468128087552467	0.0296810221383514	0.467217559707961	
0.00396243918257286	0.00456616704608359	0.00410800955196357	0.00405399968102203	0.00507860962251655	0.00463552328975714	0.00467264983414383	0.0033395534279363	0.00332539746434661	0.00397294733603921	0.0049611791260437	0.00569231970323408	0.00537428475555933	0.00146824452105866	0.00135824314453257	0.00769316975332177	0.00577130111607362	0.0012490226570399	0.00412269117690364	0.00730437624819047	0.00509852512318017	0.00329561487411848	0.00517417840552409	0.00164339591190155	0.00473441732823361	0.00412101124746578	0.00443731108054066	0.00340954267989222	0.00484646855388826	0.00228724082312614	0.00773748284634971	0.000433485163158976	0.00350360440653957	0.00678688197291365	0.00319128279684411	0.00588867050507367	0.0106613000592899	-0.00203138178577603	0.0049862224639925	0.00309624723586383	0.00181903129126862	0.00867611520052247	0.00386683879426258	0.00560061080933674	0.00448438905572784	0.00329330016757985	0.00328651140345325	0.00629830689929551	0.00378721437310438	0.00376321968676131	0.021362413284019	0.129859975657557	0.00610818890304815	0.00204903143912032	0.00179529775903059	0.00726907785099654	0.00411279269647744	0.00624476312975593	0.00972978484323553	0.0885707371476036	-0.00194628685987202	0.0110506147601815	0.00343159144423938	0.00614195203456138	0.00366320168992679	0.00470351711043215	0.005142858386418	0.00334165072261897	0.0461216530880492	0.679449486157346	0.0029179234764267	0.00645028891371122	0.00445143546053581	0.00313742187804681	0.00373183338866025	0.00391816301578533	0.0178266952465107	-0.0162222819679369	0.00316721344023079	0.00783987669871774	0.0822503111042814	1.69349523235624	
0.0052332129334158	0.00701714783057148	0.00567837000030869	0.00742305529669316	0.0067893632971737	0.00696789687582036	0.00749220928445781	0.00435461313153126	0.00558838371862674	0.00688611511612137	0.0065831077589421	0.0117915109369279	0.00752009883442228	0.00285499832070906	0.00447655896781757	0.0088346026028573	0.00788977562151373	0.00318309942828438	0.00657317255220991	0.0110991608565723	0.00647635646711977	0.00610067871220795	0.00711812250486321	0.0026517019355356	0.00616883164631424	0.00725678694018057	0.00633064073260033	0.00579276065534838	0.00861656066910362	0.00219530910303745	0.011352534372886	5.89698146726372E-5	0.00586745860625776	0.0105597168372054	0.00531228181602015	0.00758871429178451	0.0116801553755253	0.00257735142931815	0.0066939752041205	0.00587938820258826	0.00407433133031718	0.0111443854784699	0.00571355307124614	0.00802154370929466	0.005897269012315	0.00576769862053671	0.00519388705816394	0.00919317746583647	0.00577632302695536	0.00559959581329777	0.0329562205180651	0.252406813904878	0.00739065397693509	0.00582109323295229	0.00677429674724291	0.00529303335822681	0.00562589006531704	0.00926295025806365	0.0263452839870011	0.284708135160511	0.00338123876697367	0.00944663725627726	0.00489099562288632	0.00949016567063662	0.00640771694577805	0.00582739057396825	0.00720852039521847	0.005893765494151	0.072160479811702	1.28887743875536	0.00552985196640367	0.0078532899259424	0.00595808257579018	0.00699351552136308	0.00614880512426775	0.00629630419205733	0.0157519461551936	-0.0074843588746597	0.00547834895200457	0.0112926626663939	0.124714309885247	3.20520899968975	
0.00670812359749934	0.00991460681891074	0.00709092760323114	0.0108472535735137	0.00901615058339159	0.00807286376439403	0.00936832094484864	0.00611375406216694	0.00653063388009671	0.0112971078215376	0.00704803182629467	0.0146162485513569	0.00883625921953484	0.00618698839106466	0.00559977081511763	0.0135231980891736	0.00879428848570861	0.00752676269887374	0.00810016624324131	0.0183995416947276	0.00796899547179718	0.00906619905120062	0.00888359115179743	0.00580491190189085	0.0078292666737258	0.0102798089420933	0.00801090873158286	0.00830116511358934	0.0110881848768038	0.00374555184352385	0.0106036422223298	0.00611279727378612	0.00950461797215939	0.0210279567016514	0.00735234767980569	0.0091700253698078	0.0127779094741183	0.00718491685327072	0.00898087237012056	0.00842579862362172	0.00613883755615766	0.0138856460351563	0.00716298714703054	0.0110263685420786	0.00709381166223499	0.00929150475236425	0.00716377221294459	0.012270656369926	0.00678258978897886	0.00876461266878038	0.040011753514576	0.380731504371104	0.00835658758840964	0.00986620897014937	0.00824298883169002	0.00898539613512791	0.00630464514295873	0.0133638762254895	0.0406135387180831	0.529253553723049	0.00577091205778276	0.0119608151866108	0.00666842985346841	0.0112218507765193	0.0079860485480439	0.00906569359954412	0.00935008372138708	0.00886078445296734	0.092607277357829	1.92105265311961	0.00722865131833909	0.0114945791207966	0.00745005686573583	0.00978497290724551	0.00756630619670652	0.00917114768621648	0.01335885109773	0.00148176143067439	0.00673338983276233	0.0164582444453887	0.157419463985624	4.77684184673691	
0.00777738270332845	0.0129812681935312	0.00871691235805143	0.0127650140105833	0.0104148680254159	0.0112007286725685	0.0106914351100077	0.0103937831747272	0.00744447113360888	0.0156200850908651	0.00750318905121225	0.0150649932158974	0.01038749122856	0.00984654933360963	0.00631971887220824	0.0195144198013431	0.0111663953441935	0.010627533306422	0.00890780716817557	0.0251244743484671	0.0102570042081271	0.0118655899589898	0.0105232535493541	0.00964418722682418	0.00912278877504405	0.0148946976170367	0.00985398125971238	0.0107597983861345	0.0116810082598173	0.00769092875848304	0.00981498654985559	0.0118979108980452	0.0150735032982915	0.0409990551441891	0.00843536147549414	0.0133877304513946	0.0141190157711936	0.011168830875903	0.0105575740996683	0.0120466714823802	0.00707081917371551	0.0209376602529588	0.00815191169341282	0.014809547998617	0.00850457760988544	0.0124423616855075	0.0091151499785	0.0162493498932181	0.00815367053666506	0.0131372729028217	0.0462764277921503	0.511860668910766	0.0103799731710741	0.012267547717183	0.00833276784970998	0.0138687094256243	0.00885358932242403	0.014784899783875	0.052942597258119	0.782155001754961	0.00602204213855183	0.0176866006553018	0.00775152559608546	0.0146200866188161	0.00913409759536	0.0132195958118426	0.0108084285249667	0.0137078016306293	0.110636434946379	2.56890062868636	0.00779728710078814	0.0162998650455446	0.00896280866515171	0.0117113808195289	0.0083274608129611	0.0135062630712572	0.0178365935331506	0.000755425353917113	0.00817001700342742	0.0190659935451982	0.186405020018765	6.3893229656278	
0.00894090759829671	0.0169907935857489	0.0104725392493951	0.0165650991538353	0.011571840373385	0.0147973580417081	0.012485954695915	0.0140759086797514	0.00960360278080434	0.0179816243516394	0.00796709332179945	0.0167190147538951	0.01190214117489	0.0132551188542172	0.00818567096193313	0.0228248498460698	0.0136380526034747	0.0141209968774502	0.00977086091751045	0.0302391958219125	0.0122768627108472	0.0154316766785051	0.0129993632335036	0.0118144006437476	0.0106553937022506	0.0183786624258507	0.0115298927303131	0.0136324881969421	0.0134195185053976	0.00985347786391864	0.0115480136563193	0.0143221689104749	0.0211776890703759	0.0671632374109932	0.00968923299758523	0.0166044784535622	0.0154642338239769	0.0149624495121325	0.0115029199371837	0.0173332183247021	0.0102496085155491	0.0426215153985449	0.00923860103477838	0.0186515844924903	0.00961064601038608	0.0157614314747434	0.0104951619153409	0.0199858522648891	0.010280140002047	0.0169762735035248	0.0524462855646243	0.643006655463633	0.0121054833918475	0.0148273495375693	0.00948928495738057	0.0174702682558133	0.0115609524326569	0.0168111374678621	0.0639782917586344	1.04250336294745	0.00707385439491958	0.022417762765376	0.00888507043513662	0.0182969188649274	0.010747367146371	0.0172338724041567	0.0124134266654792	0.0163079231682196	0.126862955678572	3.23057455287787	0.00965128453169032	0.0186488350901375	0.0104214728134229	0.0156386878946115	0.00947091745644378	0.0192463367010344	0.0210637590360145	0.00251997050181404	0.0113009137508092	0.0490122833438204	0.211942856733404	8.02620100952452	
0.0105498297617112	0.0212779476794644	0.0118385999081844	0.0211164396179948	0.0132160531202897	0.0186078750886939	0.0151458367125311	0.0157020996811967	0.0114403577051503	0.0222254028260982	0.00819488078952775	0.0194023077590226	0.0128132302038889	0.0177755001201988	0.0106863805426054	0.0245596681610513	0.0154174883648241	0.0185747417435347	0.0113368765343008	0.036129305147536	0.0135221521646047	0.0180671111652038	0.0154394573364184	0.0126162816205827	0.0119188146695331	0.0215979024433829	0.0130190878761998	0.0169305450215863	0.0154838301979612	0.0122663344513084	0.0148615931208365	0.0159670663980577	0.0261826689189176	0.0964168929974441	0.0117137104515608	0.0194557878639361	0.0171670763044233	0.0190997152481363	0.0132182837837413	0.0213123447674517	0.0171762411909822	0.0866124187057294	0.0108211869480422	0.0225477759363138	0.0113305332812411	0.0199810501330918	0.0114882685404669	0.0274229792629397	0.0125035473749303	0.0200480589710516	0.0581141811638449	0.7756373447529	0.0132633159620986	0.0189167030949594	0.0124064359084672	0.0180033903778084	0.0127032295802893	0.0218406174639273	0.0731214177486466	1.30877324741107	0.00861124298232592	0.0258135975417742	0.0105806707704174	0.0220960599527237	0.0125862719717708	0.0204422712453587	0.0143277105276411	0.0183328220760693	0.141595708152694	3.8960280167283	0.0125058198717766	0.0200604581117319	0.0126702204633576	0.0199662199131891	0.0125679734963925	0.0192543475299871	0.0204701265187491	0.0112134088470984	0.0359986120655987	0.473915378506939	0.235216067685654	9.67883470232895	
0.0118073033754101	0.0271273043684265	0.0133486594875864	0.0249539431904898	0.0150756558903795	0.0217468722114894	0.0172039603482825	0.0186046318307414	0.0124284865922768	0.0271439644915823	0.00842860691206578	0.0218162084462804	0.0136899134742392	0.0230192170400591	0.0123988520617636	0.0279034907569149	0.0175986378904112	0.0213099628009409	0.0136456876364955	0.0423625558939037	0.0150263637027918	0.0212678711607684	0.0173211048222702	0.0158605868561578	0.012970131749326	0.0267333567570651	0.0149859649903869	0.0205298519430007	0.0173963061672757	0.0164540043812904	0.0172016523746856	0.0189470001810258	0.0297873645596401	0.126841657562019	0.013166831108647	0.0242483244925602	0.019212221051295	0.0244618774763721	0.0161903334607944	0.0231025031039234	0.0234644545099905	0.141512746822298	0.0124885033917352	0.0272424745865365	0.0139313490672458	0.0233717262557866	0.0152075228757334	0.0604978621054758	0.0141201978473566	0.0243591727920526	0.0639020161574298	0.90940709970448	0.0149282915876145	0.0220084792550817	0.0152413900012879	0.0196861246621773	0.0143687415934019	0.0263897278471839	0.0812997307814508	1.57570763050011	0.00923326517076168	0.0310829622110063	0.0120334035682124	0.0262197160106567	0.014416566303035	0.0233536145791557	0.0164656240071792	0.0214185191738936	0.155502189926859	4.56142909368639	0.013581662703357	0.023228228007546	0.0157192177965135	0.0208028422217397	0.0186044748039385	0.0390052791435558	0.0196887468812119	0.0192714860473333	0.0840767894569203	1.58677347929583	0.2566385210003	11.3342381483387	
0.0127089608213627	0.0327403088614757	0.0144970316274383	0.030424393490754	0.0170345695726201	0.0253997119885075	0.0185953241119857	0.0225097035804113	0.0137534332868554	0.0312885934963419	0.00870812967490916	0.0232847949373307	0.0148436149103604	0.0274926501917651	0.0131625180733831	0.0332726251712033	0.0193627391990226	0.0244941354329224	0.0160725487236555	0.048165335542411	0.0173270701185066	0.028967200011918	0.0188582784234978	0.0214062832875045	0.014068386656446	0.0331540470766077	0.017822162070883	0.0234251299631487	0.0199458740942155	0.0184587634394207	0.0172249900462573	0.0243126439548146	0.0326137826904723	0.157040590964891	0.0139640225129619	0.0286028357606897	0.0213014402822222	0.0415528136999873	0.018660718964901	0.0256710979186688	0.0286231240375881	0.198200501153385	0.0134202531241591	0.034339603377383	0.0158443927533426	0.0264297019564176	0.0233239849465237	0.134217853874913	0.0148318201274699	0.0294799042062018	0.0695800319443308	1.04088032971146	0.0164736389594492	0.0253972563529293	0.0156320201900238	0.0264852011394731	0.0161116066724214	0.0350261508818169	0.0901390651414313	1.83990776705528	0.00968537136908643	0.0370308681031929	0.0136208882371307	0.037971769431317	0.0160621634896908	0.026962154690344	0.017922286153153	0.0249022184102674	0.168208958406859	5.22772796556377	0.0157177007065706	0.0427949505729671	0.0198245057175704	0.0407044661862983	0.0424202305611146	0.369148988030759	0.0214849626949331	0.0230443591104007	0.125241501037879	2.95939259690265	0.276513535461805	12.9935252093002	
