X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	X_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Pd_[¦Ìm]	Y_ZT3:(Ti36.1Zr33.2Ni5.8Be24.9)_91Cu_9_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00173371988988446	0.0023176340882527	0.00167363394499906	0.00291057822141553	0.00127714847052833	0.00236841322140389	-0.00133642041343366	0.00600066795106715	0.00137690404450808	0.00298311110255782	0.00114374743809095	0.00396899603649504	0.00139509422139682	0.00298028302891698	0.00234148268511636	0.00238804170775157	0.000491885932181429	0.00378076372503837	0.000813405905731381	0.00364480712019358	0.00102873486864732	0.00358388985008327	0.00151811609490371	0.00285313522090097	0.000895293717763992	0.0033119204790985	0.00199065301905958	0.00230888133903225	0.00103150203875375	0.0031970299305961	0.000947763711179459	0.00384517788842407	0.00112452129680382	0.00296278435168601	0.00152490818357267	0.00314435131785048	0.00117160410777495	0.00279818400837725	0.000835490795284455	0.00334837734511379	0.000897076527176561	0.00367372041013698	0.00116470206769769	0.00360648192477591	0.000928733014165387	0.00315826021966406	0.000914979857347598	0.00426562271716841	0.000974573364056021	0.00404958681293863	0.00174822835365353	0.00275214902673885	0.00110349168158591	0.00407515452678047	0.00188490801630678	0.0115662618518068	0.00211324427060764	0.00194047961364085	0.00144211518327136	0.00343417361423573	0.00108299819075977	0.00437375435611562	0.00254245046949496	0.00269349389721808	0.00165618842110657	0.00228808665315861	0.000481668623372203	0.0036356976216933	0.00103722593000918	0.00280153640568875	0.000953042396432576	0.00335427087050135	0.00155612867958226	0.00244132740818178	0.00103631062781513	0.00513334792405298	
0.00263487149794058	0.00616780737608899	0.00254705344374267	0.00668595989812496	0.00339588906624325	0.0039153240282086	0.000125504660820017	0.00915102989174249	0.0028672836741883	0.00580501382213602	0.00257424686195577	0.00760018893114441	0.00271348386120166	0.0067570937491087	0.00361384060952397	0.00491344416641395	0.00220170273150643	0.0063869435770796	0.00236041828188212	0.00629969842612313	0.00247512548529477	0.00746472811457537	0.00248899126240734	0.00750489935677627	0.00123941083791756	0.00685191038625438	0.00302487618654594	0.00557946505852489	0.00211881198196968	0.00765425816122299	0.00224741510121982	0.00628433524235049	0.0033337051556809	0.00502429405752197	0.00282897753808748	0.00687859905226291	0.0026451387756748	0.00581318426740132	0.00240087470961668	0.00646056438436379	0.00216883551840832	0.00764098101713662	0.00250929481931676	0.00683190195851307	0.00286508317326192	0.005072655526497	0.00202351993430703	0.00787903226275868	0.00247544043837797	0.0065889340984536	0.00410997904764655	0.0048226736436306	0.00235235356751268	0.007366055447451	0.0104593645549281	0.111932249778374	0.00309599289283762	0.00609200804488043	0.00225730771549645	0.00740260985676842	0.00251532956096744	0.00787537791322053	0.00531901077225544	0.0039637814488701	0.00307996894693474	0.00489615717406476	0.00366550127816477	0.00444500234867901	0.00230398046004434	0.00679120025355256	0.00220302289772614	0.00682770191217978	0.00324079259752401	0.00646527738568452	0.00258221331674183	0.00979016430275666	
0.00383847070317473	0.00961189993907113	0.00441711409866838	0.0098379996290717	0.0044771301870185	0.00766988418895195	0.00250469337721655	0.0119190609689567	0.00400103952019415	0.00964551327003639	0.00412827935351432	0.0105397657076276	0.00414942282118805	0.0105626076659777	0.00486610200980287	0.00831525295847699	0.00378960462781618	0.00941925009837094	0.00350582145922077	0.00962745934631636	0.00386156150510145	0.0106250301497479	0.00346545710750078	0.0108195699203486	0.00212597397961643	0.0110675945707098	0.004096294688824	0.00978952947548497	0.00303172389001303	0.0121357430691414	0.00335737301148405	0.00936183233633316	0.0052062860437603	0.0079851066247882	0.00410237184021252	0.0104089080708993	0.00349785563912285	0.00970487371266488	0.0036904390154015	0.00972614679272893	0.00371082823952554	0.0104702139226024	0.0034042586096218	0.0111693602017943	0.00412598248280368	0.00849736857729424	0.00364184276940748	0.0113826767169949	0.00401360734588729	0.00902277818458463	0.00536031996713816	0.0092393961653959	0.00385494322753145	0.0108694397862149	0.0279125360031916	0.357815032942624	0.00436803750082028	0.00947683793590988	0.00335882353930228	0.0107727113912969	0.00399500230312356	0.0109005281326343	0.00688419502648847	0.00679883273272731	0.00434011240962388	0.0090581284229741	0.00379394941202939	0.00917240642682395	0.00353484050847268	0.0104752720771461	0.00316821393096718	0.0114773896717496	0.00433201074266614	0.0104940113050914	0.00382120377706985	0.0140246404658475	
0.00506342796326306	0.0132066994049577	0.00586449807762026	0.0128801619460741	0.0046300369841543	0.0133742255925831	0.00376323178829891	0.0162153909542825	0.00479001017923006	0.0143529539404256	0.00508050739329887	0.0152163926989843	0.00556989884852887	0.0143833483424205	0.0062351418345473	0.0126335117695157	0.00466246646499239	0.014223773866595	0.00394123942726122	0.0142011479132264	0.00493997124814855	0.0154085264014658	0.0044494656160023	0.0137409195143793	0.00457945274806131	0.0144470257014459	0.00512470198473941	0.0143754098182932	0.00375557882141751	0.0177117465909957	0.00405614200393973	0.0134124450592467	0.00605223444907647	0.0113492746161642	0.00502962432250877	0.0147300663509095	0.00417242367490287	0.0147489565549681	0.00438668235379679	0.0140221957442053	0.00475428034326708	0.0146746422011633	0.00370224140029282	0.0167578192529978	0.0046541643944722	0.0131162190109704	0.0046327593447498	0.0157091973775122	0.00465178198473479	0.0142029487126503	0.00595342889710785	0.0148767769342841	0.00487681725273315	0.0148496612605334	0.0455616049083157	0.661527750209984	0.0054934874970372	0.0122475752144807	0.00511857220953156	0.0142822693798032	0.004967543011636	0.0148130395486113	0.00790582661678195	0.0109296665225057	0.00521174809314438	0.0124817682700742	0.00489050703832428	0.0143760109942625	0.00429011192781149	0.0156620691832942	0.00396300673653897	0.0170805206907852	0.00503957788057064	0.0152389031465314	0.00454034798765864	0.0189593802223183	
0.00573653193648873	0.0169752505494075	0.00652527799942806	0.0171074421874263	0.00565571653330816	0.0179527324348205	0.00410260909883252	0.0216787417392419	0.00580924590235914	0.0174313550720989	0.00604000170659801	0.0199898608625967	0.00632937156896916	0.0184843961821306	0.00724561024073122	0.0169830853911438	0.00553159883982502	0.0199431328460285	0.00475993738297215	0.019495137377713	0.00585517149425301	0.0197439983084127	0.00513313685321501	0.0187024584404597	0.00666570146507262	0.018042103472698	0.00587142345100355	0.0186597408405884	0.00462639702581228	0.0224889673295694	0.00468584647404532	0.0168923062281612	0.00651247106930773	0.015573748157	0.00565418371922595	0.0196384525901535	0.00529630257849713	0.0195881993722886	0.00534319182352931	0.0190855216744946	0.00568013772830764	0.0193043524558102	0.00435083555243999	0.02233474773092	0.00563678089968249	0.016315180935595	0.00549499119536338	0.0199479590794342	0.00506917301867985	0.0194207741385703	0.00671093220189791	0.0204820871025217	0.00569722197887234	0.0189921038401338	0.0602878330432777	0.978404536821292	0.00640051280620072	0.0164778931679925	0.00641505067759134	0.0188920685226373	0.0058081699712595	0.0190957189286066	0.00914128807067591	0.0140744189275006	0.00607141835265053	0.0173253366439909	0.00736235703481505	0.0159421025886692	0.00513596133626266	0.02228994238606	0.00443675595732857	0.0226031941743447	0.00595360628913262	0.0199240666547535	0.0055703273070622	0.0237411829949819	
0.00671313047094668	0.0212367641697085	0.00745153888192984	0.0222496513179378	0.00729329419347554	0.0221757507842027	0.00445281340448701	0.0280115057531722	0.00681958792052179	0.0207710722090738	0.00716328965873326	0.0239174080442693	0.00716637561282802	0.0226164450567728	0.00814283198970033	0.0214783245867838	0.00678445649105254	0.0242036423842264	0.00577577669250972	0.024705359655661	0.00645270409459613	0.0243456738449563	0.0056824874616649	0.025365596389117	0.00717365392632475	0.0225928864166318	0.00682300100325968	0.0230200328567678	0.0054060170419204	0.0274796300936066	0.0052297454761088	0.0212280891822814	0.00769852438565635	0.0193989990174547	0.00607786127860792	0.0256556528803769	0.0064720561972858	0.0240922715800527	0.00654407350078571	0.0246937895193619	0.00644135923171232	0.0241074646883242	0.00579506972940097	0.0295900885745934	0.00673396978515311	0.0197536673735017	0.00641566359516134	0.0241315763012176	0.00621295396523927	0.0230546855127542	0.00798201386417232	0.0244014270043953	0.00653864408970511	0.0244182180947819	0.0732547282984138	1.30580375462678	0.00773644441091905	0.0221865219294442	0.00725788157680404	0.0238727195694729	0.0068042353652866	0.0242299981751899	0.0102342529364126	0.0188258409405892	0.00735627584125951	0.0221843555131674	0.00762449949392195	0.0206834692288126	0.00605982756859284	0.0286412855568756	0.0050250759558485	0.0283814174670705	0.00681348654733034	0.0226676482418086	0.00655385517252978	0.0291952260116054	
0.00788250587122408	0.0258583922000719	0.00952211938679344	0.0256390141303456	0.00832826104222883	0.0271044687765391	0.00591412399644545	0.0327592170280538	0.00764375005613674	0.0259929448862244	0.00809397816327213	0.0279843953090157	0.00819104326961194	0.025945191869176	0.0091625287693466	0.0244936340739918	0.00759798284716902	0.0289176823478583	0.00657223554645205	0.0295641643388454	0.00729656667003048	0.0303782464138989	0.00673829837625416	0.0310374379106186	0.00725315180993579	0.0279693895566439	0.00807334452245084	0.0274107583832124	0.00612829866399327	0.0328725696210885	0.00570184254847198	0.0273560895687802	0.00949835527620854	0.0222640236072799	0.00704917164087346	0.0305029429064364	0.00703038794861499	0.0296197144536018	0.00765686450123689	0.0312726991676887	0.00756656258369204	0.0316183808070143	0.00945233239377299	0.0641252815067867	0.00753596733637676	0.0260689181582864	0.00707700630283218	0.0295522081220638	0.00735567649461087	0.0281778216307807	0.00891045482867352	0.0282064470656646	0.00738372845485983	0.0296015773111205	0.0848789955183019	1.63761522933526	0.0091157204763215	0.0264605283683753	0.00797223008002548	0.0290160610208343	0.00797991050050262	0.0295189060656454	0.0108665251108823	0.023913499490974	0.00861624900870305	0.0280492791127057	0.00899237012538882	0.0253249769934231	0.0067688426075152	0.0325495878315726	0.00580457979710629	0.0322600920437698	0.00981710827325712	0.0543453035442061	0.00742923890082547	0.0315182063368349	
0.00874124436450135	0.030924675806991	0.0110485281172101	0.029694054273257	0.00885059119057232	0.0333975333486225	0.00796853524016048	0.0364058813363401	0.0086343299660064	0.0314123834500785	0.00897495176679636	0.0335257789166914	0.00927224094080079	0.0301342478690176	0.0103426683737777	0.0283388483422022	0.00836462557001728	0.0340782823698608	0.00767931404668539	0.0341509205250098	0.0088189363773926	0.0361699920732084	0.00798925352644935	0.0361330636342126	0.00874094853968416	0.0316091871802581	0.00937324184549601	0.0319380590845565	0.00734531548998003	0.0385646601316686	0.00679457166044566	0.0344650490661454	0.0107613158321669	0.0278136399606051	0.0081383920881749	0.0340450244239334	0.00778381751712254	0.0350351257751077	0.0103929803744752	0.0527257682246722	0.0113165738650743	0.0618045285339761	0.0158127552084949	0.140442571742394	0.00859862401214675	0.0314952506916525	0.00807605496536347	0.0344123802304674	0.00807611107882218	0.0338512456729882	0.00964823678308746	0.0332101628970417	0.00834009810015093	0.0337894109501411	0.094977120845875	1.96952449290943	0.00999369080682631	0.0302023276369379	0.00884676811466894	0.0329747674895095	0.00920045466382088	0.03404367473386	0.0111985181929875	0.0281858215457975	0.00955117556975132	0.0329366996810802	0.0106528523730382	0.0278757966445613	0.00956063245072504	0.0588759366339792	0.00861577797571954	0.0600444480953581	0.0344409423900155	0.484610273535248	0.0111226084016324	0.0642354431378119	
0.00961534031523056	0.0370304845238206	0.0116574937513768	0.0359259662434873	0.0100668319960222	0.0400286188865224	0.00905413613973492	0.0420373885887233	0.00976992261496294	0.0373484841015968	0.0100192606347367	0.0405312488358468	0.0108671565881842	0.0357886198171174	0.0114531778507389	0.0349956252852175	0.00997048780307298	0.0394061621064362	0.00900068140175322	0.0399828931330679	0.0107859934518334	0.047064643051359	0.0088537542702151	0.0426939980301073	0.010950990440054	0.0364589655837035	0.010226600581006	0.0407797114078861	0.00928092853380027	0.0523976809868905	0.00910229139808919	0.0493382080306778	0.0115243964135038	0.0344896036029376	0.00915169477662055	0.0418840898534157	0.00953378955183613	0.0408140948534535	0.0150425475740415	0.0981715137396267	0.0175524869683286	0.125842505829497	0.0222770554551468	0.230725661777417	0.0102633686736596	0.0391704033557879	0.00970631687622581	0.0435807885187723	0.00923830614446045	0.0443378536915588	0.0114593090125295	0.044169846381259	0.00994560183166965	0.0449760424555017	0.104294589258064	2.30226461259602	0.010893086700691	0.044788431897331	0.0108069200331917	0.0469826114080025	0.0114650900082442	0.0500245181570058	0.0123292214555167	0.0466359975366519	0.0117401572049156	0.0528477678381734	0.0123478370786067	0.0514736541952879	0.0306686818863718	0.394972993829406	0.0293975544779069	0.4438070580569	0.0838153354767298	1.60356903166322	0.04017151928713	0.536124811334428	
