X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	X_Mg63Cu26Y11_Pd_[¦Ìm]	Y_Mg63Cu26Y11_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.000768708943117702	0.000414554941335412	0.00183100882375788	0.000313892072524414	0.00098484381408746	0.00138950411149793	0.00259683543773071	0.00226689724660315	0.000357790770239659	0.00322769467987825	0.00136766185841589	0.00218176490858196	0.00149440363688612	0.0012353556808055	0.00102924105636077	0.00306948626502994	0.00291717116424003	0.00260472721854123	0.000483761704289326	0.00316851931941278	0.00163583684019025	0.00571506070767707	0.00146399244190548	0.00976152613494747	0.00215918259598723	0.0109469978527195	0.0092460418251402	0.01700325730055	0.00344034871354756	0.000423782674141306	0.00336297082804331	0.0238695054153495	0.00586628482583684	0.0245712569419908	0.00263626026072982	0.00137512681993519	0.00275317883391952	0.00089008968053891	0.0188798440951014	0.037670715785393	0.000893026641710945	0.00324531341040415	0.00242797615277434	0.00147333405316804	0.0247713614406677	0.0850389220058126	0.00758139992995245	0.033311544266633	0.0295916181774199	0.128891865887227	0.0472846456482023	0.15218051708191	0.0426423664464549	0.165731521833402	0.00144978227801607	0.00179653935099625	0.0337828205635735	0.203691013086828	0.0562009056582765	0.30878155655427	0.0023870764747925	0.00119749705614769	0.00337385150247765	0.001464759337527	0.0761560543059023	0.41184624796346	0.00242540072243178	0.00221653307038994	0.00128619778076143	0.00282478127017259	0.0442290015220859	0.251917869576429	0.0429150101848257	0.304202447399194	0.00243279117889777	0.003345281425296	0.00292618966788857	0.0010954244706159	0.0016171908963632	0.00345434802475222	
0.00162884781613778	0.000571988466734614	0.0035124883937422	0.00207527036002019	0.0017078070711596	0.00223983068556398	0.00414807905354803	0.00353665365337456	0.000718449808108129	0.00505755427718603	0.0029045551459224	0.00370938851690962	0.00281728512619914	0.00329466986653566	0.00215586593001512	0.00546013299285734	0.0052405565156209	0.00406716552569955	0.00187739460926006	0.00484580936875541	0.00324123195258185	0.0111666735545729	0.00291702762922042	0.019956233661838	0.00450893869828084	0.0215503376917287	0.017398826417279	0.0344525016778358	0.00612934240272137	0.0019715534081457	0.00700871915341548	0.0462188305266571	0.0114743042444298	0.0488316267818092	0.00421685347582722	0.00473466912147764	0.00525987965174754	0.0018296922502906	0.0336929594914452	0.0791201999782303	0.00316454741794441	0.00494152185813979	0.00504423562051592	0.0027675558662551	0.0438333880271452	0.169896337981603	0.0150725144428681	0.0668037651041597	0.0550358677679928	0.256237358024246	0.0898415504279888	0.313056210553398	0.0806112700688953	0.338527125059736	0.00348115245838809	0.00393268764548277	0.0662178114755223	0.470631653499124	0.0841539017645023	0.639435863018754	0.00515278931188652	0.00407681344503771	0.00569888406882158	0.00237120537000571	0.132743788963896	0.972348801242384	0.00423189304614624	0.00440559212613367	0.00474974197821349	0.00321487444317099	0.133190835472953	0.953860288232682	0.118399928065629	1.1496257247581	0.00475744530885922	0.00576235442992293	0.00405264975419726	0.005133944552549	0.00672602191868428	0.00146165250377331	
0.00243160870336218	0.00152761633237038	0.00426135912514415	0.00305684428927576	0.00226226165893941	0.00333791088058291	0.00527431567337259	0.00526236519833968	0.00107101938680501	0.00592748228013367	0.00508397513413575	0.0055500892905476	0.00366504186801239	0.00676536696727042	0.00340911155203975	0.00811467141485937	0.00778080187082368	0.00607443478908746	0.00339436144187221	0.00782288370051694	0.00469197918155504	0.0169561236493641	0.00425750479387698	0.0302314714837772	0.00650477985801834	0.0333687041869351	0.0245153498231831	0.0530951922220599	0.00799339685325771	0.00379474459061681	0.0105645898617134	0.0692183060756572	0.0165857049967125	0.0734375754880567	0.00815431285175743	0.00444038575379208	0.00845480330996566	0.00314206393878417	0.0454936358114837	0.122495848338783	0.00718202195642431	0.00485095256104965	0.00797404289817729	0.00406667076060529	0.060124658186559	0.254561865136349	0.0225103639109501	0.10089203236113	0.0798545539837374	0.381893034551484	0.120585313283408	0.487000192667348	0.113436340701298	0.515453376538938	0.00647027627524465	0.00551170497797713	0.090743131333633	0.753718312478499	0.103789606660281	0.967437850228203	0.00847756017494875	0.00522082675829328	0.00806022575267871	0.00398435785602569	0.167042080369093	1.55560664894438	0.00723158012921751	0.00494383834103518	0.00784279532687439	0.00459627313827171	0.200874419094198	1.87347749138963	0.175412706350549	2.22544422629508	0.00800169363774639	0.00722889637698073	0.00522489033327797	0.00838862575793647	0.00851720019603641	0.00445081220055798	
0.00306026315019395	0.0018652898712272	0.0049120672756829	0.00340994649552063	0.0025284093482817	0.00440676355525391	0.00584164132833999	0.00725276879277899	0.00132891850560504	0.00762751697189793	0.00724643278418436	0.00648391475022803	0.00423117971925755	0.00926512395029764	0.00456681627607695	0.0112087504154572	0.01050338752934	0.00821555256238842	0.00424250867123388	0.0119361787952994	0.00632623881823052	0.0225270621954648	0.00570855309324163	0.0398314277116183	0.00822455873455769	0.0454934757946364	0.0305832550555415	0.0714456803223773	0.0101012095676505	0.00548110412069474	0.013674727221443	0.0930272173188738	0.021257980625965	0.098709070557577	0.0115750057434773	0.00360728864653807	0.0121105606216727	0.00270857695663588	0.0553321291094011	0.16535347764564	0.00919579944594924	0.00783627873784842	0.0107494447728036	0.00555255584006165	0.0747185695150464	0.339370786856944	0.029538440828236	0.13997963896118	0.099657975957954	0.512926880412948	0.139787063552645	0.663918353282068	0.140124432606613	0.700832951588109	0.00863580455076192	0.00757159032635288	0.111065349462092	1.04461946597966	0.121042106911	1.29417756799091	0.0114675210219749	0.00525075277053901	0.0100284911596005	0.00734315800992673	0.195012997828049	2.14815234341121	0.00996766666108877	0.00622669147089006	0.00855375059157558	0.00956594840356766	0.243109423560263	2.83410035989795	0.216037056537083	3.34234650786065	0.0107374940309416	0.00909939947159088	0.00707485957284366	0.0123659841430698	0.0112116463598029	0.00604351924665321	
0.003892028894554	0.00153691500575965	0.00545324441002877	0.00540582888578319	0.00285644442694586	0.00505812180185298	0.00616283502049322	0.00810588933443618	0.00153937251621992	0.00856765068653022	0.00920323871717991	0.00847687948162588	0.00460430701856872	0.0114678909095354	0.00556820011283028	0.0131808113216223	0.0127146653999082	0.0120743128440436	0.00502383521045527	0.0157777678178007	0.00799731198909644	0.0283080139721663	0.00751732086792376	0.0488245545513441	0.0102590166319757	0.0576797146893428	0.0358858171416643	0.0898296960337884	0.0123933846380117	0.007544416444944	0.0162872007381009	0.116264791293531	0.0260369728334993	0.123197323379048	0.0136302944718686	0.00530031659145267	0.0144710311587607	0.00393825011481461	0.0638769778854622	0.207094160200281	0.0106804693420008	0.0109120987236807	0.0133422916793548	0.00677750326399443	0.0878612829548363	0.422896855447684	0.0364487927015481	0.180795780177615	0.114055844143685	0.645954611414405	0.15313507595713	0.838588534139082	0.16070914941682	0.890595097634615	0.0106849286294614	0.00952022265011319	0.128327012351758	1.34112368865422	0.136822080286342	1.62146678059846	0.0137519941513953	0.00702642467608893	0.0123045550584226	0.0090828757726339	0.219881464606862	2.74688795666091	0.0117319568501946	0.00979579589368255	0.0119620248526134	0.010137372983614	0.28085082368229	3.81082323381958	0.250685811085479	4.48414047952633	0.0121630752853401	0.0141638149764812	0.00852440579150626	0.0165231168803955	0.0148382363349655	0.00624509236682233	
0.00473412766908826	0.00247012928502951	0.00556935111658517	0.00621824772247986	0.00320141199634107	0.00691482968148187	0.00658648603336704	0.00984108145172228	0.00181605383716239	0.0111658149916152	0.0111774606952296	0.0113871241458754	0.0052973365952199	0.013795506019545	0.00654890281490276	0.015054173867439	0.0144894086102816	0.015705095556602	0.00656384252197167	0.0179974659296025	0.00943324827580195	0.0344139973119703	0.00946908304959961	0.0580540335869829	0.0122050762745785	0.0693649020627048	0.0409629855741297	0.1066033823306	0.0141562955220103	0.0112641513730896	0.0189390260271427	0.139341100951288	0.0306240016521968	0.148285638948374	0.0164287071209383	0.00632587004441826	0.0167591415252134	0.00572133985879986	0.071849251459149	0.247043967736659	0.0140906189230932	0.0109202168730031	0.016187444245702	0.00879365647120729	0.0988590627895824	0.505326379070389	0.0433078996851143	0.220196311147872	0.125089687586885	0.779294400947155	0.164698753140609	1.00777735803589	0.177182414508633	1.08116633012939	0.013563438991732	0.00992398370884064	0.142815453582397	1.6393509744253	0.151625098208761	1.94578992739759	0.0162961194117331	0.00888816751814769	0.015037056023839	0.00984160532064562	0.241670124760435	3.34819914236836	0.0141375551939111	0.0122210179704503	0.0165831987386106	0.00982442678553447	0.314186809776962	4.79940533601244	0.281703681263356	5.63911825293207	0.0132487691196312	0.0188659751208828	0.00984012297712151	0.0197396284139519	0.0171107848614047	0.00903248249259162	
0.00522681695011297	0.00276487831398026	0.00568852406230133	0.00592685290982993	0.00334662315479412	0.00772103485067116	0.00721774514460927	0.011416951932698	0.00222954070029449	0.0122243503588793	0.0127532377356934	0.0128862041738383	0.00609923501989229	0.0165545490157958	0.00754996379194891	0.0179810950257482	0.0157912657936436	0.0188236872572377	0.00818963678348748	0.0218201592910773	0.010864949655397	0.0396680533671093	0.0117694160557087	0.0672137216405014	0.0141981191242926	0.0818815276250635	0.0453616253880358	0.123832761831143	0.0157887211338774	0.0147117072917315	0.0216783818461138	0.162500763975513	0.0348618501860573	0.17271713930315	0.0197787280002522	0.00735450122730847	0.0196311527369164	0.00745197722683583	0.0793597029703353	0.287255040346638	0.0170466666421854	0.0135683815564379	0.0188619424948668	0.00977667467798068	0.107819143395453	0.589793083416813	0.0499306033691678	0.261217343320991	0.134162746433926	0.911774332401817	0.17568480008903	1.17570342499681	0.192148340931971	1.27252326414577	0.0157594993948203	0.0113433192451398	0.155503731505803	1.93803740220386	0.164545987717663	2.27395178194014	0.0191213200562445	0.0103347042206955	0.0172237046817801	0.0121551851090841	0.261742369005447	3.94695687452815	0.0175576116517942	0.0132047856008224	0.0176727874534132	0.0142313067561047	0.341682819243819	5.79591997785781	0.313359751855345	6.7967447076142	0.0146641699559771	0.021142680357884	0.0113372791815396	0.020734149909167	0.0198880859439614	0.0119899190156852	
0.00585438103757817	0.00263746175029264	0.00590280572430566	0.0072439976262917	0.00353295377517174	0.00887897434613882	0.00778739019951977	0.0129507237249176	0.00281991255961761	0.0134001232256123	0.0139199052193568	0.0150284206166869	0.00667451863710494	0.0185461167633981	0.00834887385276458	0.0210651986889307	0.0169437528797132	0.0217982004520407	0.00911848782096034	0.0260719231286383	0.0123075474160101	0.0450976637192249	0.0144821209397406	0.0772131133704737	0.0162956377028573	0.0932860376708322	0.0491645022967521	0.141500881554983	0.0180879127503343	0.0170953982044102	0.0245057153258941	0.185819945086895	0.0389988785602387	0.19808485163159	0.0223225581622996	0.00989349017192796	0.0225754939742347	0.00893064819466038	0.0858518797725108	0.32841999095453	0.0184841706725723	0.0176393487698102	0.020385320629224	0.0123053608671078	0.115465333487067	0.67551392996571	0.0564340963227268	0.305181354690111	0.142249289434351	1.04366892764613	0.185681463148034	1.34443974255917	0.205966794168293	1.46306263977114	0.0173325819706375	0.014775941261488	0.167610796946258	2.23717750047003	0.176813645225315	2.59971420039849	0.020943011876917	0.012869156605958	0.0194721987904233	0.0144706566464123	0.2804369232485	4.5460435963718	0.0204866211956424	0.0156600282772803	0.0193413666319148	0.0176673411964118	0.367320420116951	6.79327001601293	0.344533535761546	7.95918982506852	0.0157491495735384	0.0238920608828821	0.0164447916940745	0.047842707773691	0.0226053574663939	0.0149764520918959	
0.00652752434372414	0.00373894709331328	0.00626644282473292	0.0065780729132409	0.00383225501448124	0.0103778943030419	0.00796601308147346	0.0138789976292021	0.00329535350640797	0.0156479574641717	0.0148248748121951	0.0170785343544509	0.0070592853811564	0.0203150111147523	0.00920875692675774	0.0237806223213563	0.0181977166518536	0.0240924480220165	0.0102507545936706	0.0288869982718146	0.0136423250945929	0.0509768700228814	0.0172946860736361	0.0867804442059224	0.018631760837514	0.103794848273008	0.0527301298285019	0.157881593399717	0.0208293859861423	0.0190808941656718	0.0271550407908891	0.208883390852201	0.0431064636426326	0.222299703082736	0.0238257811358582	0.0138849493622478	0.0254850724824184	0.0101548862127595	0.0911798333383913	0.370285092378464	0.0200481515025114	0.0211399591498655	0.0218416467110825	0.016875964428136	0.122087418743776	0.759099021121813	0.0628356236102096	0.350167958197588	0.149757711218097	1.17466310862655	0.194694854570235	1.51198094048442	0.218198560977538	1.65433117363519	0.0200860998827353	0.016822722610823	0.179196885941738	2.53695113088749	0.188829557602397	2.92362759438808	0.0221253716508709	0.0172500432191862	0.0221922579126694	0.0168660327464643	0.297460326924863	5.14694453450463	0.0226334276452751	0.0184917580866444	0.0219083673968219	0.018147714447199	0.390511694757561	7.79074857667724	0.370465147930994	9.12689877746456	0.0205920544535717	0.0504473549567022	0.0540653879920641	0.459089184027586	0.0263029770709171	0.0142876008374918	
