X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	X_Mg65Zn30Ca_Pd_[¦Ìm]	Y_Mg65Zn30Ca_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0024861677165055	0.00163430733177841	0.00467508650251948	-0.000563499243591482	0.00328115940765888	0.000701109423412401	0.00227538400005361	0.00171749517021957	0.00156325959645734	0.00161799827356086	0.00261651009474761	0.00106168852840199	0.000942844799659375	0.00301208441914869	0.00170354638460303	0.0016456978428824	0.00348394797444624	0.000988631607806113	0.00301735874816109	0.00117306257265043	0.00175564271928301	0.00136806914138466	0.0062766182392137	-0.00195286420240665	0.00144621301043388	0.00110942705037931	0.000533281743720131	0.00364273870196631	0.00279065789849972	0.00126600928877809	0.00240687453347625	0.00103200836393116	0.00102449793197646	0.00275225816609788	0.0028891339794602	0.00103321685495874	0.00434684619473853	-0.00143630306864953	0.00357442826964034	0.0011329102024637	0.00475053818717041	-0.00019974139792676	0.00327639497999778	0.0005969140773475	0.00296195502907879	0.000418483958260452	0.00267947240030167	0.00126371554324916	0.0050829022501715	-0.0019109646929808	0.00202903970837631	0.00270350061219904	0.00399555289522182	0.000847134247814448	0.0124888194128291	0.0536408399044929	0.00239633383994256	0.00184705268433347	0.00257253745234183	0.00195691782009992	0.0386992280249243	0.0545597478327834	0.00192327651210242	0.00304786985073228	0.00304408498727796	-6.2127580127207E-5	0.00411556379260785	-0.00100256688496479	0.0035617888874981	0.000197473118248275	0.00175664488676644	0.00271507802445537	0.00342108738713937	-0.00023057781432572	0.00293253797984963	0.00127693413861688	0.00217473267488089	0.00096536218696649	0.00318370383014125	0.00209755116016594	0.00173844954808855	0.00049578736626063	0.000984225707569053	0.00302309567098005	
0.00489146230027054	0.00254965549797525	0.00628458149134785	0.00254287430580092	0.00635762291917351	0.00199809610026153	0.00440278155603484	0.00309680020861625	0.00386332583049704	0.00435046037892021	0.005603780503107	0.000711160106775764	0.00121595721499622	0.00719325328131121	0.00119911563389841	0.00735254399480322	0.00730600172790117	0.00196603550405213	0.00549939486578497	0.00319609701645007	0.00575262783528855	0.00153541615856232	0.00604922825495042	0.0027576914871882	0.00322439053320339	0.00222940060081945	0.00160066611716402	0.00726682980757421	0.0054912918815182	0.0023714163727665	0.00557556584590331	0.000914373870043836	0.00308052898539857	0.00384324612176926	0.00654257875772682	0.000987696647297098	0.00578403843797315	0.00120506223271771	0.00734608249485149	0.00133603583001501	0.00553165375963686	0.00347777842614641	0.00494870976557109	0.00305666602832268	0.00435872546322249	0.00255279689252596	0.00562228806175407	0.00208198788756842	0.00905081073608685	-0.00201562206233225	0.0047322385530904	0.00317139514152319	0.0049034813171654	0.00514127144151847	0.0374335877847111	0.19631501322478	0.00505646784734613	0.00322707258553179	0.00544689333666322	0.00297819664817021	0.146528740791913	0.21778852226472	0.0051908018097535	0.00366587374497013	0.00499745687199755	0.00216526849446474	0.00144934084393364	0.00621087990625075	0.00620080566733292	0.00129225002866727	0.00480871184003537	0.00468781377565721	0.0066565886741762	3.06490604992937E-5	0.00548680383456412	0.00177715074386477	0.00481442459919161	0.0021299046136554	0.0066942827030105	0.00280439949487394	0.00414268910085363	0.00059276177948378	0.00394496496941942	0.00423056806454298	
0.00815637219733551	0.00203682420181294	0.00855777744241297	0.00340349181192873	0.0095023856439873	0.00242397788807482	0.00735222646472306	0.00356096626458757	0.00714233864620751	0.00605385838193188	0.00944681977035755	0.00101720802945449	0.00603485135538498	0.00555500783766117	0.00647440755707634	0.0051261483643357	0.0106360474185951	0.0026577180153284	0.00935977241768236	0.0029232922746214	0.00968088636443202	0.00230013018142745	0.00792264813006829	0.0041498440471319	0.00848417016654937	0.000511803567198122	0.00704330048840392	0.00508620904327274	0.0079691626865669	0.00284657821915998	0.00875216095916489	0.0013395176029417	0.00708801283751342	0.00361512303352703	0.0100819576793468	0.000184889350152242	0.00768895584273195	0.0036713279844376	0.0101438727124851	0.00176469339552628	0.00743981626878523	0.00532531496163824	0.00620504051368402	0.00669225814863558	0.00899040785748628	0.00174665902594141	0.00879824259611128	0.0043654470319042	0.0109599134710354	0.00179834015042023	0.0072958070313671	0.00386858327871515	0.00833460308070345	0.00461134710274292	0.059585263499248	0.380260657167371	0.00855798366478855	0.00361500479922141	0.0084062863311654	0.00400592197438048	0.256668299378258	0.486316470962819	0.00966584020482388	0.00269510006478512	0.00853105409076239	0.00233607068185033	0.00348638906522624	0.00841003799068328	0.00792480124946014	0.00308228103588677	0.00903355686720833	0.00454028282810056	0.0102200542751862	0.00165088105294161	0.00864211343768064	0.00132614052812972	0.0079035904012792	0.00373324410705669	0.00919524530665571	0.00428272485472824	0.00799874284548794	0.000357031223169908	0.00741831101485104	0.00437286214185556	
0.0117600914551478	0.00129815810596937	0.0119548112808689	0.00269230427820467	0.0117453230366671	0.00346319013182288	0.00981383203046461	0.00525321113460113	0.0095718970945758	0.00762039380973197	0.0123049750435246	0.0026092883910974	0.0121223537741099	0.0030113640993791	0.0121878389020182	0.00299627194501472	0.0134910946413099	0.00349798830695459	0.0120685840586674	0.00410664305084963	0.0116243262985013	0.00380261535739211	0.0143157533094732	0.00148079918532562	0.0113682828086496	0.00173618528545327	0.0104410120613041	0.00441888734642637	0.0108038344404014	0.00280522895400256	0.0113558602984944	0.00317950169478873	0.00969511490084769	0.00553391847551815	0.012682784159375	0.0011948886254669	0.0111397369220125	0.00436334428025358	0.0115639678539948	0.00484681890782643	0.0124460981288815	0.00336896284721596	0.00855219011203098	0.0092545865451834	0.0139465199586209	0.0012658091999532	0.0121806776720455	0.00639646865779543	0.0137013735995697	0.00391490884389696	0.0101348768874937	0.00532094620404578	0.0135489354284878	0.00261925366722798	0.0754708566904527	0.574488843992999	0.0118350304443523	0.00451513348180167	0.0114275431081447	0.00485222130609836	0.326805875952952	0.794809841401594	0.0124801876820495	0.00353394517828133	0.0118261205847611	0.00266425910091287	0.0126315256861402	0.00218884987197226	0.0105822530591207	0.00399943727746485	0.0131100491782395	0.00316980898283864	0.0131407412600082	0.00320345391874327	0.0115912927589076	0.00217244440732089	0.0100322354884985	0.00627965725657412	0.0126917377127263	0.00488256204790839	0.0103272046851218	0.00335053239270728	0.00914769307927151	0.00686775241896475	
0.0145275887766963	0.00224878738896162	0.014455094396928	0.00414429522021994	0.0145494064668887	0.00462435105737121	0.0112713665463867	0.00910815790515295	0.0113489848064008	0.0105435296512721	0.0150360953165131	0.00353252164861041	0.0134621720429668	0.00623313978801935	0.00995951127427732	0.0104735094764978	0.0165085172309068	0.00403263656098678	0.0143755720128855	0.00583400623811472	0.0148326809354053	0.00495566904755391	0.0165260460235651	0.00382244052195971	0.0120304682220098	0.00555097059087176	0.0107151946804257	0.00699296550446831	0.0140252485792465	0.00296625862128177	0.0142383609500435	0.00460763158968898	0.0111666624206815	0.00795676859021634	0.0160575158006139	0.00295320737293123	0.0145651393421099	0.00418343532285169	0.0147184970902812	0.00537826665015509	0.016747143472536	0.00292008175847664	0.0110769127736917	0.0118746914994118	0.0148721006728732	0.00411475392421479	0.015228137471663	0.00669226906257149	0.017092227284814	0.00361436087700314	0.0127970708696158	0.00656484977039989	0.0149890314873141	0.00578104090717799	0.0894066792619939	0.771404245564722	0.0148923984684496	0.00577310647577659	0.0148862979294039	0.00538760443181468	0.376640403165345	1.10274657200549	0.0144672277489494	0.00559255996261904	0.0130192535854201	0.0061785064438788	0.0150611645364791	0.00295136564624761	0.0143689303952514	0.00403807988651835	0.0164461908263995	0.00429280933150251	0.014997301497375	0.00493546371421903	0.0133884523852982	0.00446526952765068	0.0121459101972745	0.00846322869155423	0.0159944906506949	0.00565336059003939	0.0127360218945099	0.00541941241588266	0.0116432041675677	0.00829154902656423	
0.0172531241004332	0.00445183083457558	0.0166849480631838	0.00641777629865651	0.01848184721448	0.00449414234508177	0.013164051787343	0.0111142766577978	0.0130819264074467	0.0138228417910031	0.01793388385797	0.00442211542718673	0.0140090624282274	0.0102136686715324	0.0132698071702389	0.010848041195888	0.0196448454956483	0.00467485893374048	0.0175666549691925	0.00689987213232696	0.0178635300118753	0.005375917425452	0.0167486766694161	0.00805174347943262	0.0173141398081129	0.00365620581674949	0.0129150815305509	0.00880135557086579	0.0167094961388833	0.0042268527788627	0.0178331072268729	0.00492304160879855	0.0131481058381607	0.00913845862919801	0.019453003811392	0.00405787594725688	0.017425382810112	0.00535719820638922	0.0190910560975608	0.00374609208335104	0.0186693406152877	0.00539296135535368	0.0128951764634426	0.0145844016863923	0.0176451179436998	0.00443557270805891	0.0176481898262695	0.00782279820801904	0.0201824665979273	0.00357753725726679	0.0145284422260546	0.00963045067424841	0.0168275441380523	0.0083637128802488	0.102944969550599	0.969150619664177	0.0174489291852568	0.00636206975081884	0.0173011927758285	0.00807100657630122	0.414470122633749	1.41455475216052	0.0182822212951055	0.00668619727623084	0.0161104845233357	0.00759411850904576	0.0116216669413427	0.0122062923424333	0.0172097775122593	0.00590772805614943	0.0187065964365706	0.00572757717316837	0.0176879104798842	0.00624645842779951	0.0164515272720225	0.00549803527325876	0.0150860198909595	0.00905633759956966	0.0182909019172872	0.00628197237522752	0.0163289892507443	0.00533413433134244	0.0147686334422239	0.00878430777561181	
0.0208287541098019	0.00493602760090734	0.0193960073484351	0.0078620519974831	0.0220002356085998	0.00441282806563728	0.0159602093105516	0.011953721128274	0.0152601395507561	0.0163633077549481	0.0201729036657399	0.00598365181759597	0.0185841104037329	0.00959126509688374	0.0203267248976936	0.00709111885014264	0.0223020821048554	0.00547028295324703	0.0193899857389762	0.00896099075545973	0.0195351843891514	0.00761854207860711	0.0206063177332842	0.00785897790553712	0.0206247468090142	0.0054671615675788	0.0170480103139091	0.00922661162635398	0.0195439757739643	0.00610669092664846	0.0213526790794677	0.00437582641232151	0.0165102079418097	0.00986289477161352	0.021447769337493	0.00616894856451184	0.0200244951442785	0.00759249869905884	0.0215064853799911	0.00563260774092004	0.0204207192579608	0.00847453480439607	0.0142631869659199	0.0178271994345708	0.0228014073637426	0.00306988280470108	0.0203381227378915	0.00907329151792185	0.0240614898593688	0.00329405141016783	0.0177420166041319	0.0108820381062255	0.0213894245409095	0.00754030371009792	0.115101275805699	1.1692390370969	0.019998085781212	0.00793266516277481	0.0195652324121519	0.00954530105582871	0.445895997241672	1.72274195031744	0.0221848566686971	0.00675021296726925	0.0203309390748728	0.00815034543334728	0.0172993494915406	0.0105876919834085	0.0191847054928491	0.0085791576129505	0.0214782186978623	0.00635607072405088	0.0210459737973138	0.00643149511608644	0.0201287918375508	0.00599700223284577	0.0178293873467564	0.0102895278020148	0.021607558093068	0.00671833517948622	0.0185180280509464	0.00648365918222897	0.0169715491779703	0.00986241956065442	
0.0238679656099065	0.00586029972869411	0.0221844641442415	0.00840172066203062	0.0238431260464317	0.00641862758565693	0.0179799057484097	0.0148667197423496	0.0176439261305454	0.0186274401377892	0.0228618933773748	0.00757119793625112	0.0233809710148269	0.0077358468806807	0.0196296471139018	0.0134132599664607	0.02528451007782	0.00579563647745879	0.0213625009850952	0.0107486607145456	0.0236424537463076	0.007705806272108	0.0238814413330011	0.00752727428961919	0.0219184307486419	0.00846366725272077	0.0194400520019616	0.0107941847875595	0.0230078741329276	0.00750264244578102	0.0239962467798536	0.00543613302043322	0.0207492671615785	0.010818853693305	0.0236224305405501	0.00784902894346698	0.0220308802491177	0.00946835871720799	0.0230043170587562	0.00896733266171397	0.0238867174554777	0.0093357316586214	0.0156263928092372	0.0213681167989048	0.0251447475971827	0.00507233538437718	0.0228716633314243	0.00991607474328968	0.0271876429253722	0.00337010699149644	0.0210214212456245	0.0109409151524429	0.0242711981929165	0.00714348209561539	0.125192534890786	1.37199563537151	0.022819881370684	0.00932370086327778	0.0225762807735543	0.01015760196381	0.472022371879326	2.02967244513492	0.0246743032545837	0.00742814119082391	0.0234073744006004	0.00972918996185652	0.0262234759742484	0.00439575503190653	0.022012106465895	0.00848603991182704	0.0256683226942624	0.00573712322910476	0.0236156180744245	0.00776158739850767	0.0221428522156729	0.00842717923651343	0.0197996771269082	0.0138682264839606	0.0250480966945579	0.00751697517210549	0.0205455038521035	0.00891007468651902	0.019913154900509	0.0114113971940707	
0.0267367705555544	0.00782128298991785	0.0245960922595861	0.00964638229218265	0.0259663345765799	0.00876092921541315	0.0199003693005757	0.0187593477861008	0.0199030872769286	0.0211381619884202	0.0255030269804836	0.0102351096102044	0.0244993739135653	0.0104917193785518	0.0217917581124074	0.0155398640240002	0.0278560333828136	0.0065253440509154	0.0244888150556709	0.0114884072900435	0.0275700957442721	0.00781462185103845	0.0242157195629331	0.01168548568761	0.0264116942698907	0.00714057262220261	0.0207957365904672	0.0145143371737534	0.0260766081323507	0.00878770019068829	0.0267354969098356	0.00691531967172918	0.0225094825633898	0.0142085693896403	0.0274798466560918	0.00763200987551128	0.0243536571969252	0.0124673591461984	0.0267972851489291	0.00976306409041512	0.0277218649045106	0.00897917519166327	0.0180108250087548	0.026270998776475	0.0266096839196128	0.00766879347748266	0.0254676591241909	0.0114844746351398	0.0291274063544284	0.00525785410483316	0.0230615600386962	0.0140666700330096	0.0267119374089285	0.00831544236073963	0.133874368714726	1.57411066883801	0.0251114188881686	0.0109413317009966	0.0255067795214855	0.0113632244452374	0.49256318743533	2.3355765061086	0.0272439369041579	0.0088645088335942	0.0259826017441013	0.0120720372884079	0.0257714308238334	0.0092060531817179	0.0254440808386989	0.00852496992119265	0.0289246687517209	0.00673442777797504	0.0263777065400164	0.0105048306535498	0.024910786013188	0.00956052235843461	0.0222732885669873	0.0137360396207887	0.027290553757982	0.00881200643543868	0.0244442366683033	0.00934613934705996	0.0230884734335193	0.0132336595551218	
