X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	X_Zr48Cu45Al7_Pd_[¦Ìm]	Y_Zr48Cu45Al7_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00184441459142998	0.00268042082099574	0.00189379397129273	0.00683497241248042	0.00185490685252848	0.00234970082355105	0.00192907426769814	0.00191373296734783	0.00195034894505665	0.00289821477840054	0.00200023627135446	0.00197330233795243	0.00322909484790507	0.000660988885538715	0.00138558478988059	0.00257765429103946	0.00192227152177496	0.00172908940812707	0.00162832730576674	0.00350335523493484	0.00104223579663973	0.00272507882772105	0.0027179423069753	0.000826161300987726	0.00179691504662082	0.00246488604832283	0.00241774577344584	0.00145897313250915	0.00203998879200421	0.00235202884565992	0.0023883916314192	0.00168835132338021	0.00136077616696054	0.00282657661262862	0.00180286513277844	0.0020811802563116	0.00288818288701415	0.00144919424594016	0.00370979195968023	0.000369382160633346	0.0025404767597591	0.0019669604601199	0.00172730342418778	0.00281766174598527	0.00138368857278666	0.00334993110305113	0.00160327184298554	0.001673202780347	-0.000839840404195659	0.00604165978482375	0.00222626010497871	0.00182930571506071	0.00191636017280793	0.00854663317446523	0.0020862028433661	0.00860128743698293	0.0012287817313417	0.00172987521151208	0.00182760204331317	0.00254938174008302	0.00803380171689798	0.0976944528683861	0.0122359369286863	0.110913819487575	0.00212866835491328	0.00231373622151972	0.000491477887599151	0.00331373605781068	0.000574166592185797	0.00406687084943018	0.00200561298839966	0.00277581407775495	0.0179529165316748	0.28703260705698	0.00221450367148089	0.00115932920330596	0.000823085913979202	0.00461540526790948	0.0509328209583616	1.1188717958867	0.0270250406705683	0.476608088419761	
0.00390852388413247	0.00484353927008761	0.00632637228181914	0.0484772658349568	0.00345735941702138	0.00539447816507052	0.00307242754920225	0.00527682138856406	0.00342864167206272	0.00608109592796686	0.00425964858945411	0.00424604379827961	0.00408967378920887	0.00551268632271373	0.00301718579345946	0.00517634610302639	0.00528665373119349	0.00238983545859194	0.00345384728296232	0.0064097672886931	0.00168843035433194	0.00728684755763577	0.00402655312261388	0.00462053299879452	0.00370394026042647	0.00431669220648934	0.00467606591753491	0.00328477092667174	0.00292342752201357	0.00597951532220194	0.00441616516277922	0.00341120159814946	0.00386577121182631	0.00490775141197227	0.00409071023746043	0.00424315092314435	0.00446433153591722	0.00377966335018833	0.00566659848275578	0.00235644609068637	0.00543575166892487	0.00298177278116773	0.00501778514837945	0.00351881300615197	0.00257877018935813	0.00784165009961513	0.00355855745820013	0.00295318804616973	-0.000828009690087442	0.0105163034739204	0.00425992679949649	0.00373768016725388	0.00677154109399362	0.0692293500692962	0.0087659364059025	0.0773163009964569	0.00336582316234665	0.00444111062103497	0.00286779003822986	0.00528884695431339	0.024797727957408	0.344333193440928	0.0353100606486819	0.404068802616085	0.00368667338591479	0.00645518017598503	0.00297986912902603	0.00545016174816806	0.00316451733667967	0.00524233448797924	0.00430460907368215	0.00484107999653082	0.0552169476220666	1.02840372919003	0.00305815499603666	0.00475693718869817	0.00233169531389975	0.00703854642089841	0.09430865800186	2.49460001734588	0.0810149149869993	1.71811882162089	
0.00782039749438114	0.00574839550590313	0.0155564210317585	0.145830483583403	0.00619457916095632	0.0067138944581289	0.00509921084164525	0.00780711374525826	0.0054033110041822	0.00906527341301186	0.00553464806967379	0.00764072920080303	0.00445105557605606	0.0114837396781906	0.00496827070026693	0.00753615368597085	0.00780080281097076	0.00388013158714239	0.00668184725394925	0.00665084158087343	0.00448670878344516	0.00965460048591753	0.00530654267979157	0.00813665753873574	0.0061264853494323	0.00553098171726561	0.00545374773403689	0.00719379897810635	0.00412152982556554	0.00982294243340826	0.00653897760689309	0.00516689008706119	0.00531864863601622	0.00758514361575495	0.00592031530143288	0.00722595689024422	0.00605321843813378	0.00605685789531586	0.0077789138089325	0.00449142295605264	0.00723389599186292	0.00452257951457141	0.00822309864199596	0.00325098501909502	0.00491814914689868	0.0108033366912482	0.00628752810482471	0.00490905403569701	0.00378095438876097	0.009519643756763	0.00808008467222529	0.00321026057676804	0.0176076757269608	0.215148680366906	0.0234816559976641	0.246893748322892	0.00657564514398944	0.0068368741658115	0.00457989809547493	0.00771981521833402	0.0405784760047146	0.647959530543595	0.0558927277777639	0.76894184880328	0.00655930558095622	0.00879719440542914	0.00538880822150378	0.00857394757279886	0.00562771264996077	0.00695326128777459	0.00722557795165878	0.00584845810823947	0.0893801970553089	1.94344720740029	0.00455365828550374	0.00863818745427061	0.0047987078292038	0.00923097788283613	0.129227608475866	3.91985108152739	0.126321496279794	3.24731747097039	
0.0106086757651059	0.00807331487374468	0.0258642537063298	0.265594064448683	0.00859820035370637	0.008446995398505	0.00655970403715389	0.0116338425345331	0.00706691559880928	0.0122249378924288	0.00728467833528954	0.0105636526753404	0.00642640454611507	0.0144927480442954	0.00647267817862843	0.0110512486779586	0.00932554559665684	0.00640472505030597	0.00875066150263826	0.00723913546784696	0.00718043341432192	0.01164142612837	0.00693330786255676	0.0113450854837668	0.00758246523337203	0.00901609101142063	0.00673095876927506	0.0089365651395354	0.00627145447369782	0.0133050018509126	0.00823545508633271	0.0092895366059231	0.00617684460242571	0.0112554857079827	0.00754733662955769	0.0101466680190246	0.00748162294545097	0.00789984877650413	0.0108836615634638	0.00488933778311477	0.00845657978312835	0.00811469960919378	0.00955817131373418	0.00618025994958053	0.00698035774628115	0.0137834942099023	0.00811208283910998	0.00837294811638563	0.00728517486664737	0.0101458126392982	0.0114649705532635	0.00347059887531163	0.0294810232421066	0.395832338043012	0.0381353252156927	0.459445793245234	0.00922532536997014	0.00816281733360031	0.00682439381546781	0.0113656482485025	0.0538580086994181	0.964003714812743	0.0732653552552712	1.14723825034765	0.00909817573923857	0.0109140123004423	0.00653720964626925	0.0114778121320185	0.0070292956358566	0.0109842653058492	0.00919010736643204	0.00791365490542129	0.116080533165331	2.89541576129505	0.00734875035922066	0.0110371797050851	0.00579431354350732	0.0144145808437433	0.159663048629138	5.38759117502053	0.161204311818888	4.83155530280497	
0.0118821070127228	0.0135079056186106	0.0342428880410377	0.393779580404275	0.00950845785010184	0.0121877557044233	0.00722952111161525	0.0164390666136443	0.00835024846051896	0.0164140684708324	0.00909268445127405	0.0135309463015436	0.00854871471138705	0.016723751402077	0.00775950069603073	0.0144498737839693	0.0113623269245455	0.00899908039176082	0.00954048848495549	0.0102045537160642	0.0084608468113105	0.0154666260571238	0.00855844911742581	0.0148766350531174	0.00930808608745584	0.0127432964150049	0.00958444745878676	0.00944601015971017	0.00817152126507519	0.016528929403915	0.0105059396580589	0.0122528430075431	0.00743543705177333	0.015011433075454	0.0097863009573766	0.0122630038818687	0.00827776974907889	0.011331683170478	0.0129360541129274	0.00598557716094476	0.0106300260587843	0.0105753701497741	0.0104412998922013	0.0106355250359869	0.00860912008955814	0.0174839478512861	0.0093639580738049	0.0110889392734782	0.00811513953063631	0.0141858206544927	0.0134940979328831	0.0052973871091574	0.0398625678997686	0.585652633540009	0.0501032911945085	0.683020302249086	0.0106586297341655	0.0110294480909925	0.00861617997288594	0.0150972175211454	0.0662770146066817	1.29059081937174	0.0884922883419469	1.53886717419864	0.0105140689034375	0.015088649171967	0.00786525629552275	0.0141814723605301	0.0084105995652211	0.0154432629583344	0.0105957684734662	0.0120907092137484	0.139027222075096	3.87174724692329	0.00997423207524812	0.0133321257669587	0.00661596543790467	0.0197277613276468	0.185913569810569	6.87231207221009	0.191600500223633	6.45989172211431	
0.0193374946713712	0.0404707879046815	0.0417674621626021	0.522411956551476	0.0106586671254889	0.0152030081208414	0.00934227265728163	0.0187593220928767	0.00979209022785364	0.0203086646610248	0.0107460917760001	0.0163451556058049	0.00914188611391193	0.0217364066564532	0.00896050769802074	0.0188048943691076	0.0139416316514029	0.011495355829235	0.0110608134379502	0.0137064755874171	0.00992956586736957	0.0188892727360568	0.00999004523610707	0.0189095635618896	0.0119776704611744	0.0151165970333303	0.0113414779466028	0.0128525511661686	0.00932981582025555	0.0205459071953651	0.0131134752085786	0.0143842401019333	0.00893156943836285	0.0194229223649539	0.012349050833893	0.0143249992578524	0.00935183617597419	0.0163473424857115	0.0142183732145523	0.00894362486444892	0.012922389934243	0.0130243682359063	0.0122831906105428	0.0135435723611413	0.0102945177398037	0.023265521722334	0.0115217162057359	0.0135432106096408	0.00897404010614899	0.017631282006936	0.0161249440631355	0.00624413648793617	0.04929383326156	0.780867440171258	0.0608041929616076	0.910249437277465	0.0121999316833797	0.0139451897409585	0.00973928163958794	0.0186138823009138	0.0778793657079495	1.62101101463515	0.101511692885204	1.9368925376036	0.0122279359416289	0.0181197020117149	0.0102328165420968	0.0172736268704303	0.010049527797921	0.0198029765359109	0.0131943395301351	0.0151913111100375	0.160337954036053	4.85948091429097	0.0118208789193829	0.0164273871106126	0.00747308796409576	0.0227638218449849	0.209919681023882	8.36617203739027	0.218606761561781	8.10882107955415	
0.032584948717625	0.111141018529244	0.0492827177527665	0.653280176159657	0.013141774157847	0.01788557898721	0.0122011206526345	0.0202453908902541	0.0107855665378431	0.0240489432545182	0.0119977011757608	0.0194457593210833	0.00951606640572392	0.0270516689736302	0.00958189611926067	0.0235907207461407	0.0164335636818585	0.0146036793351754	0.0136924557153091	0.0157867008743372	0.0118630297912233	0.0223811792522295	0.0111364544197244	0.0235459454146044	0.0145920173145305	0.0173470685641102	0.0123676140691352	0.0174127977430854	0.0103541148930317	0.0252867572425424	0.0151535459909092	0.0181901023552565	0.0102193527699794	0.0245820890233745	0.0138588468311792	0.0185245872058403	0.0110920040032992	0.0201239681237402	0.0166928069166934	0.011957500988075	0.0145984506014464	0.016678828732406	0.0150750059811158	0.0146035447299659	0.0126566728920698	0.0463025666766905	0.0143988702907568	0.0161410602295739	0.0113465014784401	0.0194606513866228	0.0187781024788994	0.0068942332654438	0.0582517121159524	0.978301122731138	0.0704077433958298	1.14248576968277	0.0149816889654803	0.0155416293531325	0.0105298030847733	0.0237296187703981	0.0881723026503606	1.9533965332683	0.113411528065469	2.33700546046041	0.0135274043604325	0.0223885716248144	0.0118538623714171	0.0208321702412475	0.0110972665686632	0.0243417332319744	0.0162655800751346	0.0164220174541484	0.179990180375289	5.85445607999362	0.0134525820988698	0.0202780565277851	0.00969997133184708	0.0524665495140534	0.232237106609699	9.86211909636103	0.243252164501171	9.76722059014416	
0.0433134423888776	0.203422799474036	0.0562683715324877	0.786907322348772	0.0150516115872564	0.021173806903079	0.0131405854772957	0.0252249105257345	0.0111575066638909	0.0290284956318063	0.0123306413930978	0.0256154127439556	0.0102720312385591	0.0321255414039804	0.0100360502948408	0.0295224849271269	0.0185949247937943	0.0174079387678719	0.0158192632789818	0.0185184553928522	0.0127939935379616	0.0282432179347108	0.0117306933050046	0.0292524568724909	0.0170489880442823	0.0199129380781112	0.0137557057382376	0.0222065007986091	0.011228585662901	0.0299181114087847	0.0170415307364959	0.0217264395044898	0.0114209527425063	0.0298286144627404	0.0149271304630076	0.0245247781269591	0.0122719957939212	0.0254473203959052	0.0198177988628193	0.0145498081475587	0.0162551225912443	0.020952438631666	0.0171989162369963	0.0167497993290985	0.0174243159448137	0.0910591589850141	0.0167094989993873	0.0178406674588486	0.0125991537801337	0.0235009195172897	0.0204763683353403	0.00904926721651561	0.0666670955954527	1.17782638107128	0.0793360519667372	1.37641629418616	0.0177572736971083	0.0174726811451425	0.0109135337277242	0.0290383136266456	0.0974859356666283	2.28811082388866	0.124215519310843	2.73614654825677	0.0141152687122945	0.0259020513542885	0.0125841309664337	0.0259361669536789	0.0115215314209732	0.029033477843546	0.0183411811803035	0.0196275859479728	0.197915731522344	6.85169994738028	0.0141725258699008	0.0240384022114254	0.0328135712997495	0.435164977965491	0.253152867342718	11.361675030137	0.266189174474362	11.4292392200872	
0.0511306281805018	0.300405372683262	0.0627368033137601	0.92000332365728	0.0159861366270386	0.0255289666409001	0.0137320917768244	0.0309724383737333	0.0116363908310243	0.035497651102715	0.0127005202121514	0.0330181408350296	0.0110658399326617	0.0384748400308035	0.0105976992818552	0.0359836222931256	0.0204998147143503	0.0201490465294557	0.0174970321302153	0.0232809696027968	0.0131249603044024	0.0359574861451222	0.0123547254796438	0.0371593269477592	0.0186443861622385	0.0230163412179487	0.0143781469723561	0.0278328821390965	0.0118095695228868	0.0362981436791103	0.0185779862307209	0.025358259040959	0.0127384017977557	0.0361900603002235	0.0161536800474956	0.0372074373962085	0.0128909450504045	0.0341611632538547	0.0221587357335857	0.0155747831619215	0.0177524436102876	0.024846287217249	0.0186812364763983	0.0205848181621863	0.0229649812218484	0.143119702807523	0.018161068792289	0.0222256886347947	0.0131206949887528	0.0285884343675185	0.0224411083010473	0.0112826914217046	0.0747062945739467	1.37843604808273	0.0878502227091346	1.60897672683204	0.01958663664686	0.0206028925495362	0.0116238738112916	0.0401597998486019	0.10649899199877	2.62271195882157	0.133909288784802	3.13484875031068	0.0151638761170428	0.0399443614823628	0.0131472031231248	0.0295342915320372	0.0131629878652173	0.0467646000813743	0.019858861468583	0.0222913139040051	0.215357222265214	7.85103603083143	0.0161974470845055	0.0497369450409113	0.0800838256848477	1.42929525951011	0.272428032063668	12.8599066232748	0.288161221966504	13.0934175869782	
