X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	X_Mg61Cu28Gd11_Pd_[¦Ìm]	Y_Mg61Cu28Gd11_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00212555826828863	0.0015822878752866	0.00178073726132398	0.00280742902158165	0.00138622896824428	0.00295708091068209	0.00238845565966518	0.00104806890273326	0.00232875057960106	0.0023798382933049	0.00204661641662728	0.00201414868098536	0.00111151991894174	0.00337356761867232	0.00189541402129077	0.00200315652854183	0.00157883792804016	0.00272251882763083	0.00310627497130711	0.00104190434793744	0.000983041084167964	0.00350064585034695	0.00391137201773683	-0.000900428815817582	0.00104770425731318	0.0026101543436992	0.00243364120265444	0.00166625424115549	0.00375482431493142	0.000245708167465761	0.00234078600939916	0.00253358859271054	0.00171453170965418	0.00320554848494197	0.00220719526597016	0.00148380796418643	0.00765398543333954	0.0486946932660142	0.00131408551537166	0.00361705661917116	0.00267664321693477	0.00227070802922257	0.00256273876531051	0.00217310742892699	0.00150730503349412	0.00182438489421049	0.00174730546791292	0.00288605938228869	0.0018742711368763	0.00197448198094631	0.0011565056454907	0.00371618062301985	0.000946109739034762	0.00446874197825711	0.00234990416439516	0.00912271891463672	0.00328015472375999	0.00165300131236441	0.00245842234737435	0.00169211390278273	0.000627754825599893	0.00251267544515762	0.00156920847998784	0.00352005537585558	0.00104924816644917	0.00308722027400382	0.00426342769700364	-0.00171271668528342	0.000991861647342861	0.00397074772320745	0.00187169331501751	0.00274159616021542	0.00138688340652666	0.00323390834738563	0.0303487638264722	0.322246399419786	0.00281496759340593	0.00145889355172653	0.0371926748804235	0.411288069263621	0.0062923962623922	-0.00511899609834067	
0.00293293028784	0.00417506433401417	0.00362751391272847	0.00460461775176413	0.0046942076566907	0.00376632015405239	0.00399960366694225	0.00354041532328242	0.00455948146614064	0.00497606355577778	0.00381510476453086	0.0045289268777936	0.00248043974104565	0.00661811614406861	0.00371825921858188	0.00437252653832654	0.00328098983718676	0.00467055065754281	0.00404244784942041	0.00483483813468903	0.00262732592908369	0.00659018283461982	0.00718781968130746	-0.000830350433385119	0.00389363291321087	0.00368662238767668	0.00539455317845808	0.00342032382957496	0.00614920411623493	0.00116951645297665	0.0047185509005832	0.00362371457481925	0.00309385211401577	0.00703616536388226	0.00326868904764292	0.00489666103410561	0.0123818257378485	0.0867536250274304	0.00219139604130239	0.00713569136437005	0.00445976591679244	0.00623485600444008	0.00427275827410499	0.00502592932891809	0.00351004035218356	0.00381831823741972	0.00419076596829515	0.00413001706357499	0.00377047019070251	0.00522226012187519	0.00207147460072507	0.00809082446491155	0.00203925071841559	0.00973276427586472	0.00983883923728402	0.078051758395145	0.00563128579174505	0.00305415832417533	0.00447986987940633	0.00414719650818079	0.00184569479799065	0.00579451234206079	0.00364349336751374	0.00624537976713444	0.00215102956953008	0.00607526583983173	0.0074395694381148	-0.00130132496637053	0.00400115007487541	0.00399249328574663	0.00270980896467663	0.00712627081869653	0.00393043008180528	0.00406029156507005	0.090139607922824	1.17737007032067	0.00516347429832296	0.00409257680646012	0.109768924790819	1.51240891592893	0.00932257709927015	-0.00483756207119146	
0.00522049427261945	0.00687449723135274	0.00468510147683902	0.00842612149422551	0.00809200934641744	0.00447156686866664	0.00539441306824849	0.00709516246339466	0.00603303392157403	0.00781318848745654	0.00493413605735183	0.00782206879330286	0.00459184752156568	0.00873360253890163	0.00539567590564552	0.00810920898993997	0.00472295039833286	0.00737720880782276	0.00606787320278742	0.00730210069255472	0.00413928443611257	0.00962830426685417	0.00985163268496575	0.000139495107500813	0.00710175081065531	0.00493333390510231	0.00847825579087738	0.00508587775984335	0.00848697113256744	0.00206072117396697	0.00668564065431625	0.00509662616771838	0.00503281888519102	0.0100692809375158	0.00400967473407789	0.0096953713124721	0.0168802964023623	0.12203482913433	0.00347526311601005	0.010530165536759	0.00544619012890151	0.0100102738335622	0.0052017337864795	0.00803294422483988	0.00537196365544704	0.00648935125454966	0.00569919815408267	0.00605156281741364	0.00506409602280342	0.00879984103488559	0.00388221783920261	0.0109717342884434	0.00332093577271772	0.014483811577154	0.0269350475926832	0.246491711666037	0.00823975624556822	0.00493146944105223	0.00535611663904723	0.00920854701607172	0.00360209601821086	0.00867251905864247	0.00519851613136792	0.00837718067715297	0.00355800130276997	0.0107884786180716	0.0095594969804893	-0.000255196925238666	0.00720116005325945	0.00446387208910778	0.00403459072430141	0.0106465126409571	0.0057437104362961	0.0065811456409449	0.142855965705608	2.24376882653943	0.00614373852381029	0.00807696831378817	0.171219653485601	2.88765063778131	0.0105200649784877	-0.00167110184768569	
0.006708302226988	0.0104020486621843	0.00555768275363388	0.0137625122818159	0.00929646965423333	0.008399580621099	0.00654907323311467	0.0110762552335961	0.00699595144742931	0.0124605825014974	0.00586621962035694	0.0115808919828846	0.00595066489613836	0.0129582088659577	0.00664386736591866	0.0112831561734751	0.0053529640664863	0.0123125629279354	0.00826914760659196	0.00887737454503439	0.00495716905028814	0.0139607621085026	0.012720470299448	0.0017737900474145	0.00845809301260343	0.00889856213260054	0.0111099627245793	0.00651953965600438	0.0107985347431822	0.00350625561340103	0.0079708810414252	0.00840039689255507	0.0061072181729614	0.0140300683299699	0.00542486238668166	0.0141039138392782	0.0206319847983389	0.158187198156913	0.00506426627420364	0.0139185369999889	0.00632285655841348	0.0131486625044311	0.00597208739214929	0.0124645042424652	0.00593272563156091	0.0104519139805773	0.00647829186306971	0.00948408660833871	0.00581854236746538	0.0131424379229878	0.00503913280987887	0.0151421365528377	0.00566982056526327	0.0224315652563145	0.0461946384916243	0.456638761672818	0.0103827854486451	0.0068821399423424	0.00617081211731846	0.0136000492509548	0.00445660041000808	0.0128788190772107	0.0061314935044765	0.0122928498585845	0.0046065261175875	0.0165617415269295	0.0137733151962828	-0.00154771525483022	0.00855965632258853	0.00735205741516088	0.00591868913335184	0.0143926902168061	0.00724540849164506	0.00990562965188328	0.186028126122349	3.35524173058353	0.00742684302167725	0.0122760005605397	0.218445533850586	4.31869988320633	0.0132599853264855	-7.28850829488232E-5	
0.0072255870787916	0.0148521332670154	0.00682236499107247	0.0180114712378499	0.00986799870668504	0.0115570077436558	0.00767082699173983	0.0144295802296525	0.00813582295428564	0.0165353659544572	0.00705068447073535	0.0153746452243236	0.0071015910009839	0.0179001136213487	0.00773651578061432	0.0146516151606502	0.00612803502719006	0.0173190445325692	0.00925934626628693	0.013561841380348	0.00576965696845362	0.0176904978399138	0.015412694651031	0.00284725135889416	0.00915225372094862	0.0135572807193826	0.0129098071560526	0.0092491550430824	0.0120651115146607	0.00699976829714078	0.00897181883723508	0.0125591303404799	0.00688552177661271	0.0185424351290202	0.00645120881843842	0.0188348049199441	0.0234771577242339	0.191832068577935	0.00632957595166498	0.0187143059726296	0.00758898032367671	0.0166247638224271	0.00706866076725411	0.017510620714825	0.00665077105504075	0.0150058410475458	0.00773050303927697	0.0133881360860123	0.00678880627967745	0.0170855447392792	0.00559173352148286	0.0211365576398424	0.0137809010780538	0.081755035107949	0.0621478838599134	0.681477308181028	0.011756768080067	0.00952080404457368	0.00717518686032755	0.0174953621229381	0.00542844554970344	0.0169258083734045	0.00687792113046362	0.0172418468533231	0.00568908068193265	0.0208242865141733	0.0173391517913249	-0.000900055923007566	0.0103161100014634	0.00970547761711817	0.00727065166325603	0.0189536404015281	0.00897383017913378	0.0129093421726998	0.224262078270088	4.49734094320853	0.00896960743482736	0.0164832600959728	0.2593229933424	5.78533356553338	0.0174109905753852	-0.00078708031550879	
0.00868123631250848	0.019370007965718	0.00820076174135198	0.0219836818832156	0.0113425183562589	0.0138171383499992	0.00924882379536103	0.0187421328712033	0.0092591665678609	0.0199062987671036	0.00808573380220072	0.0194785361443364	0.00900186665145301	0.0213091870019971	0.00880271704101004	0.0187381529225774	0.00729871043500389	0.0225830177174653	0.0101462771248792	0.0186478300985397	0.00724160501156183	0.0229293253164896	0.0173757996873776	0.00551381182235372	0.0107894622316777	0.0169243199853957	0.014199053217816	0.0134234408496688	0.0138371622734656	0.0102702255968759	0.0103609585381416	0.0159674624829815	0.00806792173422559	0.0225214851742184	0.0067947075900805	0.0240108063244949	0.0260538064423924	0.225435902599961	0.00768267776433961	0.0232511122573978	0.00897916203875816	0.0209816379576795	0.00810344585994859	0.0219831625617656	0.00815940990021356	0.0194082663132783	0.00955028762918131	0.0168050020168954	0.00788156568001035	0.0216178840410317	0.00655797314154418	0.0266690609416719	0.0299961613525519	0.228482222217048	0.0749414220525664	0.912089064847406	0.0130948117216671	0.0122989582520851	0.00844105750539281	0.0212289286458512	0.00661053267242367	0.0217594705314999	0.0078364965488848	0.0221093167468671	0.00742126077342986	0.0248974838084485	0.020645600079218	-0.000702968430494526	0.012005142564803	0.0132439720876817	0.00774755866021099	0.0224571302416724	0.00987096084457165	0.0183154166220408	0.258985488538457	5.65200579224406	0.00997905434976368	0.0219527990825891	0.296766844745146	7.27053921610001	0.0211528069808297	-0.00233900925909218	
0.0105543737476806	0.0235865598080777	0.0101101394547487	0.0253215964017772	0.0128178263181874	0.0172890923723521	0.0113850526676979	0.0227577446016763	0.0101649004869501	0.023408096947183	0.00935249225161234	0.0234290062293836	0.0107558463756732	0.0256647860257383	0.00983573838809663	0.0226582567999641	0.00895383461088067	0.026418609532188	0.011627552175151	0.0215660564879129	0.00905628650234749	0.0296287102652698	0.0188028983229608	0.00904683613729324	0.013182790752963	0.0192659813309123	0.0159177380300815	0.0160252249434949	0.0157188189559001	0.0134225650063126	0.011800593480424	0.0191929416338715	0.00894826800832118	0.0275149528197827	0.00742169959190927	0.0296042457684488	0.0289098576976572	0.257163107171358	0.00920931241778838	0.0273206588401135	0.0102472250329936	0.0255290803277324	0.00912958415311507	0.0265217027981003	0.00992130939481331	0.0241469481251895	0.0109457193407784	0.0209578564913471	0.00889018461443392	0.0262722811639436	0.00769966441342318	0.0330098248706189	0.0472352161976241	0.407732647278472	0.0864865060006368	1.14215471726503	0.0146747443118259	0.0154435396720842	0.00951937624931042	0.0269224161402269	0.00728488980620442	0.0266388366151781	0.00883198726413025	0.028442910219926	0.0089967970751905	0.0288039507229246	0.0247514505835289	-0.00234333299669904	0.0128877764116201	0.0180990801298264	0.0103888987855378	0.0412457128240784	0.0107043988779284	0.0240015190197889	0.290687913354298	6.81447978069683	0.0111778292243742	0.0281654625078653	0.330528711065096	8.76379754692556	0.0236106864001576	-0.0020388250900618	
0.0118443004454497	0.0277756958434493	0.0114793207946856	0.0304984399983818	0.0137045045446162	0.022627665947123	0.0130733356094941	0.0269712441799618	0.0112551201069508	0.0283271351878681	0.01109753398393	0.0284887905874724	0.0120977733189139	0.0305371853803318	0.0113296669875282	0.0263702501095759	0.0103179064850596	0.030394165298908	0.0132223929276486	0.0256956406320304	0.0104254282701692	0.03520127498782	0.0203876812836659	0.0114361841067482	0.0149246271692864	0.0222728743545498	0.0186578763761383	0.0177171978746056	0.0166323170202732	0.018863696836763	0.013029845473458	0.0230414100739703	0.00942322771308173	0.0345752070591919	0.00890782157610481	0.0363490781653179	0.0318608757101843	0.289644704820234	0.0108831105746449	0.0331365918277467	0.0120860614403775	0.0316953959052077	0.0104272550287592	0.0305761099327294	0.0114647209088063	0.0287044094884013	0.0121503506074957	0.0254500179570625	0.00989715633753287	0.0314826341817488	0.00879343808079347	0.0387681775240441	0.0620639250027317	0.597928760520307	0.0979579978194729	1.37372468839985	0.0163990284349658	0.0188956339690725	0.0104299828641278	0.0317194656813468	0.00812663031367228	0.0311547213395678	0.00987599792040054	0.0338830234163588	0.0112325413235354	0.0426574497598789	0.0280888059282708	-0.00198861461844589	0.0145971718303305	0.0226453292428872	0.0351856623741956	0.270167079080051	0.011929700481808	0.026426617405283	0.318967938600693	7.9789374861393	0.0131255496527	0.0323377401502456	0.3611603369327	10.2569264239194	0.0255894563227554	0.000866709301350941	
0.0134823361124163	0.0319661197232575	0.0127078307284428	0.0349462908843315	0.0148624985368982	0.0273765359181996	0.0142963513945198	0.0317909001203152	0.0128372357914411	0.0346518774589098	0.013119371000152	0.035007109701645	0.0134874875233404	0.0350216925390006	0.0127434126588334	0.0315561850147877	0.0115983711151563	0.0359807707999973	0.0143097782722029	0.0316725921456332	0.0121620797268499	0.0400355556022834	0.0217259094696532	0.0146426311724128	0.0164658214468776	0.0262653321700048	0.0209380834289702	0.0212263738753553	0.0172107635632045	0.0233320586462529	0.0143045045069118	0.0275668263023818	0.0106313467057232	0.0405698973566156	0.01199348866251	0.0502022061284515	0.0344855219563366	0.323031715315657	0.0142338666008496	0.0518248573766856	0.016325981030834	0.0536062245377875	0.0121555313208733	0.03730751273147	0.012522625846913	0.0338996467049809	0.0137316210687293	0.0288583091723046	0.0116357642610187	0.0394896141530757	0.011075258647802	0.0466058423317522	0.0746341367300948	0.794889622273044	0.109073019859645	1.60704694287559	0.018734723261654	0.0223188408967152	0.0122442652606294	0.0424097932274808	0.00922257631132764	0.0356534020629958	0.0118202026030793	0.0459279159271869	0.0267218508775092	0.184302893671853	0.0298570225755446	0.000969433085058269	0.0165159604164876	0.0250977233820745	0.0865267658464044	0.875980481626171	0.0151566853333552	0.0459138319476515	0.345868333955498	9.14265944678278	0.0148970896099953	0.0338950023705069	0.389595177455713	11.7558853799534	0.0285633105336168	0.00280142362835109	
