X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	X_Cu46Zr46Al8_Pd_[¦Ìm]	Y_Cu46Zr46Al8_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.000906619228055293	0.00374365554716072	0.00117253435460163	0.00259066279314104	0.0010394391733651	0.00340647040693556	0.000553531731322391	0.00350543433972434	0.000974485855384566	0.00265093685157578	0.00189139390818036	0.0012770259975774	0.00160043222425783	0.0027845488644559	0.0016167358710014	0.00345712812254982	0.00183336314338437	0.0017818000805594	0.000930138636229841	0.00274446015889527	0.00150974606784817	0.00242514567921643	0.00166779978069531	0.00213506554109548	0.000288355982952543	0.00408585564093325	0.0017927911046837	0.00277704371453335	0.000591857219319453	0.00451206677949979	0.00196032827155999	0.00314936718089252	0.00134259034805251	0.00278582488546188	0.00156449072432126	0.00294914011281808	0.00178256970859363	0.00267285041483143	0.00195590892565356	0.00186809111477561	0.0010717610206222	0.00305861780385998	0.00239022522294651	0.0015423301369568	0.000959318340265469	0.0019857251539156	0.000933934429656777	0.00344005076871944	0.00101371075562295	0.00375839390810291	0.000967934032343226	0.00450453786902928	0.00076837233639271	0.00605435860399409	0.00114109642413914	0.0100155043373436	0.000786595972548746	0.00344320125821674	0.00196649471368369	0.00287583848131563	0.00111794118483598	0.00509927461616415	0.00127208242995711	0.00300661017079873	0.00135191136628157	0.00279884975846732	0.00188861148075402	0.00181645910300835	0.0124815621584532	0.171688111580588	0.000498191172007094	0.00439299471561775	0.000980919915598852	0.00424870065955097	0.000952831430223551	0.00319019621510524	0.00160108321182707	0.0030958834380004	0.000973201589928398	0.00412490752258312	0.00108547381915497	0.00462857475056563	0.0279741377943033	0.476214088057709	
0.00219330690804844	0.00621691804128902	0.00258349850333956	0.00603324559498995	0.00187854167179985	0.00701760439689008	0.00153087962538887	0.00709456219692	0.00262493112090995	0.00552716027650566	0.00311457420515631	0.0044515625336513	0.00322705416670184	0.00515164331860486	0.0025465642856182	0.00703006760010044	0.0033180582574504	0.00460543993493548	0.00214627735072155	0.00584898197716281	0.00310763184244903	0.00566308672591818	0.00362664322761894	0.00421652182903596	0.00160770298157648	0.00738402524291511	0.00314239070641223	0.00595617137964374	0.00122776056762946	0.00966777508448114	0.00416881547259057	0.00535624505598704	0.0024572750970158	0.00634340692042489	0.00207207047055205	0.00667959980197755	0.00303696251209461	0.00522425788373617	0.00281298086165571	0.00541005348847226	0.00218436505297604	0.00695973507075432	0.00426625311487243	0.00413915566590434	0.00225598564962325	0.00470711143332284	0.00185473375780976	0.00635438452095388	0.00212472180090849	0.00767322453545923	0.00247460803553541	0.0080917521494633	0.00149888892605932	0.010952145592487	0.00832623253973819	0.0814955417299432	0.00173506992651487	0.00700716157922033	0.00285358452848709	0.00637226518594145	0.00291078384076067	0.0164557524300242	0.00212461143963958	0.00650310054005065	0.00248213888333657	0.00554285062256001	0.00278991931457883	0.00637811141760677	0.0385091286393838	0.604953933731745	0.00205512880883812	0.00783969661877535	0.00202711703479224	0.00828781555099078	0.00157836317318668	0.00747006707559487	0.0025052001566524	0.00685126691878344	0.00283782500361585	0.00707967740733777	0.00256976691555048	0.0091986544426704	0.0829172960773331	1.71638965399622	
0.00309517157937034	0.00975766896810046	0.00358506882470297	0.0106879337561926	0.00324046945223289	0.00969673009749201	0.00302675125530193	0.00956614485441391	0.00340757628875373	0.00982488360764844	0.00400413641890415	0.00823510413959404	0.00453324387906258	0.00814594347919978	0.00322406123110505	0.0100698946190367	0.00465989823544549	0.00807375506915943	0.0031058009236478	0.0103298538856813	0.00491536696993828	0.00906652851564069	0.0043896667188495	0.00918964987711636	0.00346815857957722	0.0088159536422569	0.00365291206556135	0.00982907976020773	0.00261097391791618	0.0132224576504726	0.0050184021199313	0.00871778096982108	0.00338569292615411	0.0103797805949638	0.00298787563504639	0.0095133614224089	0.00340762415944259	0.00934617675002779	0.00423900306219065	0.00833874452338696	0.00365873377790433	0.0107291120363542	0.00527833693962942	0.00825070089296368	0.00446490466418727	0.00714332748152343	0.00286638478204976	0.010246461410942	0.00375815477074817	0.0101421478305715	0.00342428662142263	0.0109780771041923	0.00243178749872657	0.0156558191360004	0.0229767968869568	0.254610457616967	0.00326513459135638	0.0108826456486574	0.0038012031357903	0.00939474512903765	0.010947239481405	0.105800862433767	0.00381745849725457	0.0105501771477316	0.00417554780195162	0.0085187908144823	0.0032490586081651	0.0124809042501486	0.0628704753623137	1.13624503197638	0.00364427497352224	0.0120717398836545	0.00381490635006774	0.0110605446228639	0.00259789543724426	0.0121305323468687	0.00396685086143264	0.0104715868047896	0.00398637284511332	0.0107931113564887	0.0039308582866353	0.0134206632529815	0.130341854602795	3.24340016106059	
0.00416297806708729	0.0137080908499308	0.00395507023491535	0.0145910137125601	0.00414210990155116	0.0132059643058999	0.0042510745208207	0.0126796797647479	0.00441330914100519	0.0137815246139541	0.00475671746320405	0.0130408105350914	0.00574135772687671	0.0119183454240341	0.0041577018147775	0.0141746684309893	0.00576434945104382	0.0116485165487283	0.00385657708883286	0.0149944573576517	0.00602882694467416	0.0135031689704288	0.00505544208405482	0.0134847048646177	0.00396020898476911	0.0132257239868521	0.00464782712704873	0.0150980005960464	0.00404417202238837	0.0171516855782742	0.00560682328791466	0.0134843096891886	0.00445125696927657	0.0140172808350703	0.00451984948006683	0.0124869378377136	0.00400151651359944	0.0139705259884097	0.00586164524889363	0.0118498713901793	0.0051874695107308	0.0142514957185357	0.00600525709783513	0.012733014350516	0.00544988967677808	0.011668319885424	0.00391712687601757	0.0143105637586315	0.00515025800530547	0.0134737213523734	0.00405556630033927	0.014622007471535	0.00338146697373327	0.0208069895173828	0.0373201550306486	0.466622568302321	0.0046798918790699	0.0150473635714356	0.00522061281124145	0.0125103209453855	0.0272373944619095	0.326673692088473	0.00540792028540887	0.0152684062437609	0.00550419852758241	0.0120028975044631	0.00413508297993418	0.0175368141609919	0.0838270751618726	1.69080848327141	0.00462480724574414	0.0156494008321949	0.004915216831637	0.0151153846769504	0.00361086059329215	0.0165237116899022	0.00554040484436191	0.0137376112275588	0.00448214006102839	0.0166882993002857	0.00466096475658208	0.0178721739454373	0.167563004020985	4.82968178018809	
0.00534690559290488	0.0183276161286436	0.00458696961551037	0.0188591375400396	0.00502954782781565	0.0177687498508429	0.00511598376358921	0.01742936100506	0.00587174214292576	0.017746558436969	0.00589570894121139	0.0168209354538189	0.00708752640680837	0.0153006396439554	0.0052194543051099	0.0195479083041664	0.00662653352771876	0.0163650176049062	0.00458992793448243	0.0188345257050839	0.00686012418720623	0.017859812094038	0.00623221567009628	0.01688405165464	0.00444075761343177	0.018966421529965	0.00586693346545913	0.0203585977367698	0.00500782373802567	0.0212783920812919	0.00674388793331467	0.0183428665350786	0.00539534585200661	0.0182309550363303	0.0057022268574728	0.0166917899407854	0.00498583768009418	0.0183127690830897	0.00688467652188744	0.0156262987583724	0.00589930224500778	0.0195414222430088	0.00718040164148198	0.0165066277422355	0.00565535109970138	0.0170595950376807	0.00494864550211084	0.0196154569272061	0.00583643707975929	0.0183679922345163	0.00484903278469171	0.0198459301496461	0.00404646970528078	0.0260071707469265	0.0495592800888438	0.688900501720909	0.00532290625556135	0.0195786296694911	0.00617214694421971	0.0173048057115682	0.0435296242457006	0.599558061993484	0.00612160899642546	0.020188459480485	0.00628951473303278	0.0168750858562958	0.00507112912023166	0.0225971260259827	0.102738270542883	2.26079638189928	0.00529139398655565	0.0209256467380137	0.00549651384956827	0.0206375743093516	0.00432454843082973	0.0214524997133273	0.0062671561890736	0.017634322902327	0.00532985627975577	0.0228379638495518	0.00549826322570221	0.0236074436244279	0.200754534410405	6.45791808232542	
0.00590973792220589	0.0243240144570361	0.00571610085684136	0.0234709484850584	0.00599219725973374	0.0228233464513992	0.00617114749884607	0.0227517855926733	0.00664547017276234	0.0225399281627004	0.00739489926418404	0.0202116388613534	0.00863402330064129	0.0185628805689449	0.00612333935615893	0.0256222294064216	0.00754191916504083	0.0211203140652403	0.00541833411617456	0.0248169360056275	0.00768088720914657	0.0229667701210778	0.00726910459002465	0.020781952038927	0.00594666565455341	0.0233920461854484	0.00662630894072397	0.02543209727431	0.0056928357832538	0.0264742714011005	0.00804245574026687	0.0225229076238644	0.00639395428817834	0.022945917227546	0.00656443544775861	0.0211631549016378	0.00617360969123024	0.0231409660877818	0.0075833683730026	0.0204483248418061	0.00642098292154664	0.025507994603568	0.00845076400076563	0.0207977872504274	0.00671875584869053	0.0218264057003924	0.00603175441202577	0.0251557564172488	0.00632677219558179	0.0240144988728087	0.00591373047353413	0.0253257627968081	0.00545090918047726	0.0355793328180015	0.0607936538966747	0.917869405443697	0.0061250081665739	0.0248502826272841	0.00702117822062298	0.0216725774118198	0.0574537910298689	0.88574649066029	0.0069542566556025	0.0246833567061334	0.00697884144496569	0.0221252965680183	0.00595384758461806	0.0266060584276831	0.119533536297037	2.83978120541657	0.00595801704385489	0.0258387277886852	0.00627386703780188	0.0255591482211449	0.00533871795940759	0.027444374215288	0.00689690260034349	0.0229685090748649	0.00646866480412507	0.028447625040236	0.00666887093364014	0.0295484155293375	0.231281983285247	8.10605954090456	
0.00678417961662061	0.0292461231516886	0.00664416803029503	0.0287401421692946	0.00696465124719763	0.027603068300284	0.0074069325760563	0.0272077782748065	0.00728082813888868	0.0286019847294846	0.00840460025592516	0.0254141465782337	0.00986463743625344	0.0224323437837423	0.0072271928394666	0.0306268401805427	0.00830016310447488	0.0261404881119589	0.00681728337821001	0.0301740741853693	0.0083186036440166	0.0281815069031372	0.00807424364191481	0.025240774158943	0.00714523864608093	0.0270760670773411	0.00761892828005368	0.0309208720729551	0.00636009622008013	0.0318347674351217	0.00893939785853977	0.0275407169844708	0.00757020880189894	0.0269885136645388	0.00715946282565853	0.0258059505106849	0.00728113921116082	0.0277649988220225	0.00849791465348856	0.0245022426683089	0.00729345603977754	0.0296522343446138	0.00953348952192004	0.0256245008693314	0.00820215137785951	0.0262772106249931	0.00724527827376007	0.0316714379969115	0.00730761962408797	0.028988070413222	0.00659391591531412	0.0310392046039929	0.0116461984865989	0.0988564014163087	0.0711395109396175	1.14851643595091	0.00763888160469625	0.0292027238855707	0.00769185527726001	0.0269729267450801	0.0700059701721525	1.17890493714446	0.00763038794288479	0.0300110818286169	0.00778912438926222	0.0274411400522821	0.0067553552496183	0.0309989612843403	0.134806223716283	3.42188176845925	0.00692386260823768	0.0307643143909122	0.00703201557015163	0.0292596564322082	0.00631377044236341	0.0312502455635578	0.00801302816381236	0.0280341032848328	0.00730487593158471	0.0314138909374751	0.00725264233050534	0.0330641835473726	0.258451033383712	9.76419176192835	
0.00804785139125346	0.0345047630599067	0.00750686401460715	0.0351587770309088	0.0078398547689356	0.0340018507124908	0.00874814701787113	0.0323839815871715	0.00854151883471736	0.0341128347824827	0.0094180517262492	0.0294916566961799	0.011218243987521	0.0264692376892258	0.00853833277233687	0.0364148805586131	0.00902223954163252	0.0313115400465778	0.00800759183065059	0.034648962528529	0.00951848492075579	0.032425096202707	0.00914369883043334	0.0308940819982922	0.0075476386767251	0.0321372993509264	0.00890937613392941	0.0367196572209219	0.00767438092752208	0.0380073767156343	0.00973262954082744	0.0328389235483156	0.00840387589258846	0.0326577794971673	0.00768397051078052	0.0307872782215465	0.00820881136105173	0.0324369546488128	0.00945267933275624	0.0288235792092722	0.00867525091838545	0.0337492131052214	0.0106583774178484	0.0294687674441076	0.0089041940088257	0.0316974895619117	0.0112857013380994	0.0635753355525973	0.00884516673314624	0.0330724253879686	0.00754013220474414	0.0367161793133475	0.0237726038060595	0.247798717336045	0.0803255271108433	1.38151470660139	0.00884646935420665	0.0336886353039924	0.00827710477291169	0.0316238641503108	0.0815950323567549	1.47623151761335	0.00799432854423406	0.0354050945597959	0.0089948857275237	0.0320012698728221	0.00852962910068435	0.0461445466409234	0.149024141206743	4.00381678892215	0.00803946745433971	0.0342158720860519	0.00957641841916621	0.0488091422548599	0.00861166580801857	0.0534176535532574	0.00928379548289058	0.0305494017125857	0.0101921527735762	0.060113427808243	0.0102158880853288	0.0637764066317149	0.282527092917752	11.4225884785508	
0.00940095250902606	0.0413222549850494	0.00891478944549243	0.0417036970448554	0.00838894507072366	0.0409943184960072	0.0101810492171461	0.0392722613005803	0.00992470074476942	0.0402556562939377	0.0105444328698718	0.0343196035898409	0.0131884101985365	0.0312836276555061	0.0104578225694442	0.0454975853462512	0.0101032714181189	0.0371585429633635	0.00905180928418832	0.0402948397965177	0.0109441997108039	0.0384278919165279	0.0102967962305562	0.0368604015193363	0.0084787699731237	0.0385975781539674	0.0103757284912236	0.0433456605026697	0.00904708685483956	0.0443181345968057	0.0108857402055667	0.0386725969113852	0.00944792833904662	0.0399537274583568	0.00850307715550783	0.0365418510151707	0.00922401008092973	0.0395055998859421	0.0103998650867863	0.0361745916150704	0.0100754653774137	0.0378230652356508	0.0119492088540279	0.033705466412144	0.00940162845986504	0.0368364836288051	0.0186038172071376	0.13766757984781	0.0102980495215302	0.0402436488896598	0.00915013953066766	0.0460678653272697	0.0369021633096866	0.428758090136887	0.0888593898280293	1.61497048944491	0.0105580433450565	0.043734003807945	0.00973308849185281	0.0418918332909388	0.0919520411230932	1.7749865140132	0.00975218662707693	0.0464518421486891	0.0113681542113241	0.0439494176178283	0.0195067622035832	0.194069705562382	0.162314313283688	4.58635996299739	0.0102066596958754	0.0514684109585812	0.0269952282276506	0.288152862550764	0.0281960797507385	0.339537404459405	0.012455113005222	0.0541918754332833	0.0348895718855483	0.441196950267959	0.0361582632225179	0.49175690793935	0.305367498118432	13.0888641837802	
