X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	X_ZT1_Zr61Ti2Cu25Al12_Pd_[¦Ìm]	Y_ZT1_Zr61Ti2Cu25Al12_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0018299025753034	0.00228142945779121	0.00155341699947679	0.00227328735607429	0.0018728814924507	0.00222850565807541	0.00184834335953219	0.00204626475636894	0.00200887421303751	0.00199588239026256	0.00279792509878906	0.00135358271046288	0.00229786560237379	0.00200141120829203	0.00153426458073749	0.00280358686139651	0.000530765719181778	0.0037918796824423	0.00154650445400815	0.00318663918149555	0.00323763415998516	-0.000603871711485593	0.00179738447939603	0.00231803182163558	0.00118385634462569	0.00305760053408437	0.00204314900940407	0.00258216947727195	-0.000655564601926648	0.00501041289529548	0.00149556093487933	0.00330479618006423	0.00126136490598361	0.00331622216145989	0.00242436963306208	0.00115874303399851	0.000924656036170467	0.00300077849104795	0.00241180551101289	0.0017444416779638	0.00160723585079416	0.00296038629848843	0.00149308565909548	0.00304644967482292	0.00216387935610876	0.00263292207875864	0.00236911669187522	0.00117012217641926	0.00159400703583574	0.00337180376746885	0.00348589112734521	-0.000253003224122185	0.00127805114675057	0.0024365980359572	0.00111439091459771	0.00422218889025353	0.00245836496435152	0.00226594409620096	0.00235577367942465	0.0027235144969083	0.00203753043629476	0.00192448160259653	0.00142674820650188	0.00248984167225945	0.00128005424244299	0.00286927192988073	0.0017207844602803	0.00206893482022856	0.00139053619246272	0.00308583716000179	0.00148274960839541	0.00408880240362704	0.00157578392265309	0.00370399475883694	0.000648099604217791	0.0037011976080145	0.000954581771515963	0.00387667732642913	0.022399710417165	0.384334245544349	0.0278429776618802	0.425847096049039	0.000928701978931485	0.0034686125389773	
0.00359275991767668	0.0042628439836128	0.00282861895870606	0.00591691940916899	0.00344695049176359	0.00489183980292051	0.00301795305392183	0.00659868842866681	0.00321481334169056	0.00477810840536046	0.00409324972147713	0.00613315176424501	0.00372431259823505	0.00522962248113635	0.003274550978934	0.00539450385829462	0.00198573417064768	0.00602262997333507	0.00356738244961077	0.00565274418003454	0.00454020824381663	0.00216692559373267	0.00328387181231972	0.00540937716550678	0.00269949823799509	0.00564164675358428	0.0045740952452818	0.00435742483426825	0.00333015066195338	0.00418944321719256	0.00405992102151996	0.005180847646839	0.00259801505581335	0.00638687348914747	0.00375828488861552	0.00429349599996973	0.00234656998764525	0.00608469843630947	0.00428963659406012	0.00449925006708433	0.00322277753917913	0.00699065675227752	0.00239319943597009	0.00590625103682391	0.00352856868663035	0.00498138803593701	0.00398575587438266	0.00332039856093207	0.00255377474111746	0.00768508889328033	0.00456507175464883	0.00364286080162423	0.00366172224363287	0.00358182279609799	0.00163231123689867	0.00913877877131783	0.00311733957855339	0.00635640632757989	0.00360953979653562	0.00699431223868399	0.00251939480684662	0.00587644416837846	0.00194889925833409	0.00602639800970554	0.00193648980927406	0.00733910348273881	0.00507625126364234	0.00320800775849875	0.0036863551506272	0.00509005961628348	0.00279566737858975	0.00574089035598058	0.00294493282564529	0.00693147115999714	0.00236543516435487	0.00615308243019301	0.00210747955173979	0.00956545909544135	0.0693337570696769	1.37313771146115	0.0830965159809257	1.53626999214779	0.00232619694256586	0.00745257749331048	
0.00471790358570774	0.00782312630821712	0.00388027286222412	0.00995787329880843	0.00425125270291716	0.00862412228990601	0.00431449982230646	0.0105254843677513	0.00420555211281985	0.00860893446807223	0.00499544230065403	0.010942297584324	0.00559554084622197	0.00807441541912497	0.00488734242595251	0.00736861021794693	0.00306957115727058	0.00882963607990049	0.00477852928844246	0.00865381387990349	0.00530526078511499	0.0073131837944641	0.00428764520266137	0.0084970064847333	0.00398883383476109	0.00892058258990027	0.00581821529848852	0.00731818101286564	0.0058228468027715	0.00647787343195845	0.00552050158036234	0.00813394315192723	0.00403380536052822	0.00940520340811659	0.00458438084798731	0.00836702525979533	0.00337199118643779	0.0109729721106737	0.00585890614789129	0.00740856704678208	0.00472629487019907	0.010312278128778	0.00418130201360105	0.00782009337090444	0.00422995916237585	0.0078282723000496	0.00477279877618711	0.00684178077580767	0.00364263187470478	0.0125865707038237	0.00464189191504847	0.00851175496380357	0.00535742739781555	0.00633277492786616	0.00338097028577048	0.0121314491174846	0.00378949809292544	0.0104845989448698	0.0050724292731219	0.00959559792943718	0.0028741640713328	0.00976061845927821	0.00335768960177139	0.00846966627948873	0.00305304468025696	0.0103853594351995	0.00658324101101939	0.00591151701089706	0.00525999110158593	0.00753640379700196	0.00380446421281741	0.00861628955137612	0.00440894603314248	0.00966413153519206	0.00353298864822003	0.0108039804997797	0.00346097302098181	0.0147331731846632	0.111889961714841	2.5892073324769	0.130669301243873	2.90660166520468	0.00376509837191207	0.0111919756959744	
0.00567562644574982	0.0121212329913585	0.00477903562500374	0.014959131675618	0.00504547105155244	0.013150612460979	0.00560315804794896	0.0137569211634023	0.00529380666555803	0.0127150145417282	0.00613441163460231	0.0149438630792899	0.00693924756285376	0.0110652382974231	0.0060096935081042	0.0115699101759428	0.00323281160904463	0.0135155853915076	0.00536429821440838	0.0126579216966572	0.00636871795355941	0.0115557999347492	0.00539746897227728	0.0129159099746899	0.00484705469874784	0.0123419489277276	0.00699888321120477	0.01042778599678	0.00550264849922332	0.0115870237958727	0.00584471417851824	0.0129040548255022	0.00495064844165105	0.0132284824841515	0.00566123994913081	0.0127407832538896	0.00422529811204115	0.0157852502303568	0.00698915703559249	0.0121925980813592	0.00611132183887281	0.0139206709018316	0.00581724470515439	0.0102029038927536	0.00508948706777159	0.0118216450671311	0.00546613285556311	0.0106718420671984	0.00482456714473412	0.0166650230582362	0.00610429955825651	0.0113839008968054	0.00629062182583681	0.0103516317352809	0.00435729708685748	0.0168365596625586	0.00536331356722383	0.0134094464553573	0.00645005904997563	0.0121425958840201	0.0042746474732205	0.013418778780049	0.00468722990435345	0.0121529504807079	0.0039282910266472	0.0140821587270451	0.0069190294796437	0.0108834987546472	0.00653510358090791	0.00980109824754204	0.00477803947137209	0.0135519842772384	0.00591058944159193	0.0135350845022401	0.00410956141973899	0.0158201623196945	0.00450398222790565	0.0188190961282012	0.145400713188681	3.85603507913622	0.167495094388322	4.33325623243948	0.00466272290552564	0.0162068419318656	
0.00710549688263232	0.0152210854640489	0.00535632735840777	0.0196069049489315	0.00623377745813102	0.0171823286133713	0.00644515055013798	0.018026595451901	0.00641272613159316	0.0171264242504454	0.00738180702580136	0.0192572906547023	0.00737281941864823	0.0159101552245448	0.00738150194785816	0.0154868600395405	0.00323215982292957	0.0200334461203723	0.00601483261123169	0.0170222975712273	0.00751145558436341	0.0165279217406767	0.00673991504154453	0.0171445226257169	0.00537610933811662	0.0150547327519067	0.00878935562444142	0.0136543765501427	0.00638836153786036	0.0152087915973753	0.0069870773480709	0.0170733156741	0.00582540014570373	0.0173242316079807	0.00682713346825833	0.0180751713342418	0.00531056488363553	0.020210563838667	0.00801147073108848	0.0163235901232082	0.00694144133023707	0.0186861418789112	0.00661347089557204	0.0151146070590173	0.00621527388316334	0.0157716640428276	0.00645689523876712	0.0142665474003878	0.0062707769617479	0.020080120931503	0.00786695167100224	0.0154176115709839	0.00669760125945046	0.0150935695380698	0.00498051531503576	0.0215142107449009	0.00637907854924063	0.0170892072742692	0.00731030601079558	0.0180403613356795	0.00572585361266947	0.0168928610199029	0.00525123596144542	0.0177807547255887	0.00498139954143278	0.0194931571804676	0.00848750312519941	0.0149306881396658	0.00780833646954912	0.0149455420064296	0.00563088488880377	0.0184318705918613	0.00724233649810385	0.0178881969675847	0.00548722496633359	0.0203031995076214	0.00585011673593791	0.0225431093192207	0.174652827524379	5.15625073850966	0.198789760105489	5.801191903664	0.00505464710586643	0.0214344862621196	
0.00858751244130725	0.0198291747569248	0.006286066612137	0.0240714532473179	0.00713775972170492	0.0222845245263788	0.00740520141385229	0.0217820330476162	0.00766893316739413	0.021999139416401	0.00857073872372109	0.02385730363501	0.00898970701703513	0.0201237462070435	0.00873373676851741	0.0195986394614744	0.00323145839732265	0.0270477017579295	0.00710920837928635	0.0213071169921542	0.00840049258421706	0.0210161287236167	0.00791566898702364	0.0216453279286674	0.00603314455977359	0.0180754896573723	0.010067842362946	0.0185562671785351	0.00885616654173704	0.0185712842995902	0.00899829255645513	0.020670348858868	0.00670555892783032	0.0219188822077815	0.00780523807992519	0.0231920701378998	0.00641370405453167	0.0255370884282011	0.00946058270241034	0.0202757227644912	0.00784029188708743	0.0228094596048311	0.0072296506193601	0.0196914624863285	0.00725511518142613	0.0197043589642677	0.0074080399689963	0.0184075861749827	0.00764646409683876	0.023863642358033	0.00903925914632701	0.0202770669975966	0.00740476953190485	0.0192796423954314	0.00611518399304534	0.0253213371957995	0.00707862928349774	0.0224173489453063	0.00843444144210014	0.0225880638212047	0.00627472780524019	0.0214989476055407	0.00597593795533448	0.023981080401074	0.0058771316017398	0.0252428623586791	0.0107301040865104	0.0170604772474995	0.00884562732674595	0.0193715431927017	0.00648759640160274	0.0233043281541129	0.00844144429125118	0.023045411850468	0.00699683853362555	0.0240533506656337	0.00759119297166671	0.0263305979614514	0.20173609838139	6.47391612247357	0.226300830888476	7.28601338368684	0.00580778189658947	0.0275239386270094	
0.00964864117543391	0.0246187664418444	0.00734695623675216	0.0289784032808092	0.00806784371940055	0.0278491066143108	0.00861216206465016	0.0257177213433513	0.00876494331177589	0.0281300895321094	0.00951721267627562	0.0292313838812517	0.010958430588826	0.0234483711896539	0.00992453348309948	0.0237383799324442	0.00323079301390284	0.0337015355762296	0.0083246836704124	0.0264983988164637	0.00939348604928836	0.0250373829589514	0.00925150447888991	0.0260413485330142	0.00679736971018476	0.0224007097405277	0.0111340711741192	0.0223672971805083	0.0102138025920096	0.023240449796768	0.0100971301378162	0.0258117703670051	0.00786765635667212	0.0265606482688751	0.00898920094197706	0.0274582330948954	0.00716454167481765	0.0318608775488406	0.011031983932838	0.0246056412970529	0.00901806178396687	0.0276143817317157	0.00884858904012928	0.02386046049097	0.00816565725613426	0.025146809561973	0.00843121770492479	0.0229931209098206	0.00863935249853536	0.0289355302710381	0.00973470931002376	0.0256836525829357	0.00882632159816371	0.0237086776558845	0.00702734840494376	0.0304565732307637	0.00851374160219951	0.027668065336059	0.00945653866457857	0.0266100492902449	0.00709136564205526	0.026930495181279	0.00757619413379384	0.0285260871444312	0.00664556785796674	0.0306580226596592	0.0120791521113501	0.0212079002198503	0.00960821819248068	0.0241234526949273	0.00745003315473273	0.0282119758836941	0.00999147016168652	0.0273976748478015	0.00794448383059649	0.0268089339442033	0.00875119258621964	0.0292131394184007	0.226474299143841	7.79778271750601	0.251932012515397	8.77501836451615	0.0073177169745349	0.0303327200671484	
0.0109080353045265	0.0294528633383867	0.00829391489710818	0.0340528790471785	0.00934170240860979	0.0335567549405205	0.0100448608944548	0.0300922223945816	0.00975636614351925	0.034215256358168	0.0109343456241813	0.0346506041663878	0.0114900146985384	0.0281512925810847	0.0115018641115	0.0278914745134858	0.00323004050524985	0.0412266216217003	0.00923652101364397	0.0326305846973813	0.0107388183346051	0.0299624129504472	0.0110587067714483	0.0302256660656847	0.00760771356688946	0.0271074291816527	0.0130421440072705	0.0251115936303651	0.010885914893864	0.0278307675640153	0.0112732810479019	0.0308904030923983	0.00908368123662233	0.030803515429686	0.0102709195861018	0.0318733821909013	0.00835900671523224	0.0379708844930142	0.012125161066271	0.0295081230969734	0.00995064228250642	0.0332250597374282	0.0111365715730977	0.0269218849953463	0.00918076500435162	0.0308514347279376	0.00919507574598207	0.0287156976813561	0.0100321350319535	0.0368427987049669	0.0108484217905034	0.02986897237872	0.00991998115669147	0.0283343820413076	0.00769841599424049	0.0363990694487211	0.00968453360687243	0.0317660700066415	0.0102369688003628	0.0303207256515911	0.00814095149868028	0.0311882871494371	0.00898706409243985	0.0329105708090341	0.00789090303265785	0.0351099844614657	0.0134083494152839	0.0260474340754616	0.0103743883724393	0.029462008079805	0.00848791387381367	0.0335605684516239	0.011335593786751	0.0307668868965539	0.0104014313558854	0.0500704776505876	0.0115943904661567	0.0553236287585412	0.24922112556461	9.12655365698343	0.275902469126512	10.2707214169839	0.0108512086983308	0.0656645211808937	
0.0119885572671676	0.0358515311542666	0.00973482340284296	0.0404588808006114	0.0103820243122479	0.0395046062630276	0.0112904622327691	0.0364300213709417	0.0107747035256216	0.039455857349328	0.0127597433887495	0.0410528790380835	0.0125299002051538	0.0339156406232992	0.0131016978171186	0.0321137361633121	0.00322905206930429	0.0511109804672562	0.0103612618511892	0.037945435013478	0.0119998718322355	0.0363927184475203	0.0125706959659177	0.0352306497326158	0.00865601128360763	0.0328779363216951	0.014694658418106	0.0300337314288467	0.0123995625442872	0.0321673490544457	0.0134367270094614	0.0355835337738295	0.0103781716653087	0.0371038141222838	0.0117483316831255	0.0370413527576169	0.0110922653017248	0.0538907699461637	0.0132903720418192	0.0348467366895093	0.011197564836867	0.0377193821624523	0.0126332308201478	0.0306122432460199	0.0103829520629849	0.0370483093259409	0.0100721923674576	0.0341733768576247	0.0140488656362847	0.0714764098731539	0.0123148089665324	0.0338730517169222	0.0104353496311204	0.0337583462505828	0.00912394628709815	0.0465205735695322	0.0109717125799811	0.0406950847488951	0.0115787675525007	0.0410225091924444	0.00938876767124144	0.0358413746000406	0.0104204092431881	0.0444642825440472	0.0105352990949423	0.0460765655531736	0.0145571650342145	0.0293568304795089	0.0118326868932903	0.0324981158908653	0.00937292062396538	0.0374240108117815	0.0131480497789053	0.0506263103089546	0.0312373736232838	0.335554109802635	0.0330645994204012	0.389614422286082	0.270038468880548	10.4574992345693	0.297388824592807	11.7691355493377	0.0381960336309328	0.543577610744435	
